int	string	int	int	enum.AchievementRewardType	enum.EAchievementType	string	int[]	int	int	int	int	bool
200002	日落尘沙	21004	-1	1	1	遮天蔽日的沙尘肆虐着这片土地，曾经的定居点早已成为废墟，唯有机械运转的声音在山谷中回响。巨量的芯石资源引来了开采者，却也带来了纷争与战火。		612002	40029	40028		False
200003	边境山脉	21007	-1	1	1	这里曾经有着辉煌的古文明，这里也因远离繁荣之地被冠以“边境”之名。灾难过后，怀有信念的幸存者们走到了一起，他们跨过沙漠与高山，连接起绿洲、城市以及新的定居点，重新建立起商路，点燃希望。		612003	40031	40030		False
200004	芯石之争	21010	-1	1	1	突然出现的芯石，是星球的馈赠，还是灾难的源头，是革新的能源，还是意识的延展？		612004	40033	40032		False
200005	复苏纪元	21013	-1	1	1	灾难逐渐过去，幸存者终于走出掩体城市再度拥抱蓝天，崭新的建筑在废墟上拔地而起。复兴之路虽然艰难，但终能抵达未来。		612005	40035	40034		False
200006	启航时刻	21000	-1	1	1	灾后一度中断的月球航线已经全面恢复，月海联邦欢迎你的到来，这里是未被灾难摧毁的遥远故土，这里有着过去与未来的“火种”，这里是“宇宙之舟”。		612006	40037	40036		True
300001	新人舰长	22000	-1	1	2	带领月虹号开启新的征程。		613001	40038			True
300002	奇迹之子	22001	-1	1	2	作为“奇迹之子”，机甲即是机师的延展。		613002	40038			False
300003	王牌机师	22002	-1	1	2	纵横战场无人能挡，无愧“王牌”之名。		613003	40038			False
300004	破局者	22003	-1	1	2	打破对峙的瞬间。		613004	40038			False
300005	孤胆英雄	22004	-1	1	2	仅我一人也足以克敌制胜。		613005	40038			False
300006	命定克星	22005	-1	1	2	你注定会败于我手下。		613006	40038			False
300007	幻影对阵师	22006	-1	1	2	无人机制造的幻象，由我来击碎。		613007	40038			False
300008	钢铁咆哮	22007	-1	1	2	这一战，弹药充足，火力全开。		613008	40038			False
300009	战术格挡家	22008	-1	1	2	在一瞬间，化守为攻，扭转战局。		613009	40038			False
300010	格斗家	22009	-1	1	2	近距离的决斗，钢与铁的碰撞。		613010	40038			False
300011	精英僚机	22010	-1	1	2	与战友一同摘得荣誉。		613011	40038			False
300012	战场主宰	22011	-1	1	2	以一敌千，战场由我主宰。		613012	40038			False
300013	哀悼者	22012	-1	1	2	为受到战火牵连的人表示哀悼！		613013	40038			False
300014	驱逐王	22013	-1	1	2	击溃敌军，没有任何犹豫。		613014	40038			False
300015	战局终结者	22014	-1	1	2	这是决胜的时刻。		613015	40038			False
300016	终局胜者	22015	-1	1	2	僵持的战局，胜利的天平微微倾斜。		613016	40038			False
300017	决胜先锋	22016	-1	1	2	由我亲手打碎这僵持的战局。		613017	40038			False
300018	雷霆之师	22017	-1	1	2	势如雷霆，让对手无法招架。		613018	40038			False
300019	求生大师	22018	-1	1	2	以最小的代价换取胜利。		613019	40038			False
300020	完美收割者	22019	-1	1	2	密不透风的攻势，敌方没有任何机会。		613020	40038			False
300021	不屈勇者	22020	-1	1	2	不屈的意志，铸就经典的战役。		613021	40038			False
300022	必胜先手	22021	-1	1	2	先攻赢取优势，优势助我制胜。		613022	40038			False
300023	无尽怒涛	22022	-1	1	2	以洪流之力击溃所有敌人。		613023	40038			False
300024	无尽雷霆	22023	-1	1	2	以雷霆之力击溃所有敌人。		613024	40038			False
300025	战争机器	22024	-1	1	2	击溃敌军，不带一丝怜悯。		613025	40038			False
300026	战场清理者	22025	-1	1	2	列好目标清单，不错过任何一个目标。		613026	40038			False
300027	传奇机师	22026	-1	1	2	这不是一个数字，而是一段传奇。		613027	40038			False
300028	最强僚机	22027	-1	1	2	荣誉的背后有我的支持。		613028	40038			False
300029	胜利之星	22028	-1	1	2	只有团队的灵魂角色才能摘此桂冠。		613029	40038			False
300030	胜仗专员	22029	-1	1	2	胜利总是来得接二连三。		613030	40038			False
300031	超级驾驶员	22030	-1	1	2	努力、阅历与驾驶技术铸就了我。		613031	40038			False
300032	战术执行官	22031	-1	1	2	完整执行了在密斯之眼的作战要求。		613032	40038			False
300033	战地双子星	22032	-1	1	2	同一个使命，同一种行动。		613033	40038			False
300034	战斗信使	22033	-1	1	2	经验、实力与运气的结合。		613034	40038			False
300035	拦截者	22034	-1	1	2	无人能从我这里通过。		613035	40038			False
300036	最终赢家	22035	-1	1	2	沉稳战斗，走向追逐与竞争的终点线。		613036	40038			False
300037	沙色三连星	22036	-1	1	2	接招！喷射乱流式机动。		613037	40038			False
300038	天降之师	22037	-1	1	2	摧枯拉朽一般掌控着战场的主动权。		613038	40038			False
300039	征服者	22038	-1	1	2	我来，我见，我征服。		613039	40038			False
300040	不动之军	22039	-1	1	2	拒绝反复争夺，力求以稳取胜。		613040	40038			False
300041	战阵之主	22040	-1	1	2	立足一方，傲视全场。		613041	40038			False
300042	绝对掌控者	22041	-1	1	2	完全的压制，绝对的胜利。		613042	40038			False
300043	游击者	22042	-1	1	2	我会再回来的，一次又一次。		613043	40038			False
300044	拯救者	22043	-1	1	2	解除最大威胁，作战必获成功。		613044	40038			False
300045	机动战术家	22044	-1	1	2	眼力、意识、实力与机动性的综合考量。		613045	40038			False
300046	拆卸专家	22045	-1	1	2	报告小队，警报已经解除！		613046	40038			False
300047	尘屑清除者	22046	-1	1	2	每一步，都走在对手前面。		613047	40038			False
300048	阵地守备者	22047	-1	1	2	守备阵地，寸土不让。		613048	40038			False
300049	路网掌控者	22048	-1	1	2	我方全速前进，敌人寸步难行。		613049	40038			False
300050	列车长	22049	-1	1	2	听我指挥，全速前进！		613050	40038			False
300051	苍穹猎手	22050	-1	1	2	其英姿无愧猛禽之名。		613051	40038			False
300052	侦查先锋	22051	-1	1	2	任何人都逃不过我的视线。		613052	40038			False
300053	维修专家	22052	-1	1	2	有故障就修理，安全第一。		613053	40038			False
300054	神之手	22053	-1	1	2	扣动一次扳机，获得多份战果。		613054	40038			False
300055	外场游击手	22054	-1	1	2	我不在现场，但我时刻注视着你。		613055	40038			False
300056	魔弹射手	22055	-1	1	2	百发百中神枪手。		613056	40038			False
300057	轻骑兵	22056	-1	1	2	轻装上阵也能屡屡克敌。		613057	40038			False
