int	enum.ECombinationType	int	int[]	LangText	enum.EQuestType	LangText	string	int[]	int[]	enum.EEndQuestDemandType	int[]	int[]	int[]	int	int[]	enum.EAcceptType	enum.ECompleteType	enum.ETimeLimitType	string	int[]	int	int	int	bool
153				使用鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	3	0	0	2			37			5	
154				使用赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	10	0	0	2			37			5	
155				使用赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	5	0	0	2			38			5	
156				使用赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	3	0	0	2			38			5	
157				使用矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	20	0	0	2			38			1	
158				使用矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	10	0	0	2			38			1	
159				使用矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	5	0	0	2			38			1	
160				使用恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	20	0	0	2			38			1	
161				使用恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	10	0	0	2			38			1	
162				使用恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	5	0	0	2			38			1	
163				使用龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	20	0	0	2			38			1	
164				使用龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	10	0	0	2			38			1	
165				使用龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	5	0	0	2			38			1	
166				使用三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	20	0	0	2			38			1	
167				使用三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	10	0	0	2			38			1	
168				使用三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	5	0	0	2			38			1	
169				使用鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	20	0	0	2			38			1	
170				使用鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	10	0	0	2			38			1	
171				使用鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	5	0	0	2			38			1	
172				使用赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	20	0	0	2			38			1	
173				使用赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	10	0	0	2			38			1	
174				使用赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	5	0	0	2			38			1	
175				使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	1	0	0	2			38			10	
176				使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	1	0	0	2			38			10	
177				使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	1	0	0	2			38			10	
178				使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	1	0	0	2			38			10	
179				使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	3	0	0	2			38			5	
180				使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	3	0	0	2			38			5	
181				使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	3	0	0	2			38			5	
182				使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	3	0	0	2			38			5	
183				使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	5	0	0	2			38			1	
184				使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	5	0	0	2			38			1	
185				使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	5	0	0	2			38			1	
186				使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	5	0	0	2			38			1	
187		223		继承-击杀目标1	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	5	0	0	2			39				
188		223		继承-击杀目标2	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	10	0	0	2			39	187			
189		223		继承-击杀目标3	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	20	0	0	2			39	188			
190		224		继承-累计造成伤害1	7	在任意玩法中累计造成伤害				4	0	0	0	200000	0	0	2			39				
191		224		继承-累计造成伤害2	7	在任意玩法中累计造成伤害				4	0	0	0	400000	0	0	2			39	190			
192		224		继承-累计造成伤害3	7	在任意玩法中累计造成伤害				4	0	0	0	800000	0	0	2			39	191			
193		225		继承-累计获得胜利1	7	在任意玩法中累计获得胜利				6	0	0	0	3	0	0	2			39				
194		225		继承-累计获得胜利2	7	在任意玩法中累计获得胜利				6	0	0	0	6	0	0	2			39	193			
195		225		继承-累计获得胜利3	7	在任意玩法中累计获得胜利				6	0	0	0	12	0	0	2			39	194			
196		226		继承-获得全场最佳1	7	在任意玩法中累计获得全场最佳				5	0	0	0	1	0	0	2			39				
197		226		继承-获得全场最佳2	7	在任意玩法中累计获得全场最佳				5	0	0	0	3	0	0	2			39	196			
198		226		继承-获得全场最佳3	7	在任意玩法中累计获得全场最佳				5	0	0	0	5	0	0	2			39	197			
199		227		继承-密斯之眼玩法中获得胜利1	7	在密斯之眼玩法中获得胜利				6	0	712	0	1	0	0	2			39				
200		227		继承-密斯之眼玩法中获得胜利2	7	在密斯之眼玩法中获得胜利				6	0	712	0	5	0	0	2			39	199			
201		227		继承-密斯之眼玩法中获得胜利3	7	在密斯之眼玩法中获得胜利				6	0	712	0	10	0	0	2			39	200			
202		228		继承-在密斯之眼玩法在获得全场最佳1	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	1	0	0	2			39				
203		228		继承-在密斯之眼玩法在获得全场最佳2	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	3	0	0	2			39	202			
204		228		继承-在密斯之眼玩法在获得全场最佳3	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	5	0	0	2			39	203			
205		229		继承-虚拟对战玩法中获得胜利1	7	在虚拟对战玩法中获得胜利				6	0	120	0	1	0	0	2			39				
206		229		继承-虚拟对战玩法中获得胜利2	7	在虚拟对战玩法中获得胜利				6	0	120	0	5	0	0	2			39	205			
207		229		继承-虚拟对战玩法中获得胜利3	7	在虚拟对战玩法中获得胜利				6	0	120	0	10	0	0	2			39	206			
208		230		继承-在虚拟对战玩法在获得全场最佳1	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	1	0	0	2			39				
209		230		继承-在虚拟对战玩法在获得全场最佳2	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	3	0	0	2			39	208			
210		230		继承-在虚拟对战玩法在获得全场最佳3	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	5	0	0	2			39	209			
211				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	5	0	0	2			40				
212				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	5	0	0	2			40				
213				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	5	0	0	2			40				
214				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	5	0	0	2			40				
215				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	8	0	0	2			40				
216				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	8	0	0	2			40				
217				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	8	0	0	2			40				
218				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	8	0	0	2			40				
219				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	10	0	0	2			40				
220				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	10	0	0	2			40				
221				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	10	0	0	2			40				
222				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	10	0	0	2			40				
223	4		187,188,189	父-击杀目标	7					2	0	0	0	3	0	0	2			-1				
224	4		190,191,192	父-累计造成伤害	7					4	0	0	0	3	0	0	2			-1				
225	4		193,194,195	父-累计获得胜利	7					6	0	0	0	3	0	0	2			-1				
226	4		196,197,198	父-获得全场最佳	7					5	0	0	0	3	0	0	2			-1				
227	4		199,200,201	父-密斯之眼玩法中获得胜利	7					6	0	712	0	3	0	0	2			-1				
228	4		202,203,204	父-在密斯之眼玩法在获得全场最佳	7					5	0	712	0	3	0	0	2			-1				
229	4		205,206,207	父-虚拟对战玩法中获得胜利	7					6	0	120	0	3	0	0	2			-1				
230	4		208,209,210	父-在虚拟对战玩法在获得全场最佳	7					5	0	120	0	3	0	0	2			-1				
231				矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	5	0	0	2			37			10	
232				矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	1	0	0	2			37			10	
233				矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	1	0	0	2			37			10	
234				恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	5	0	0	2			37			10	
235				恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	1	0	0	2			37			10	
236				恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	1	0	0	2			37			10	
237				龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	5	0	0	2			37			10	
238				龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	1	0	0	2			37			10	
239				龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	1	0	0	2			37			10	
240				三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	5	0	0	2			37			10	
241				三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	1	0	0	2			37			10	
242				三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	1	0	0	2			37			10	
243				鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	5	0	0	2			37			10	
244				鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	1	0	0	2			37			10	
245				鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	1	0	0	2			37			10	
246				赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	5	0	0	2			37			10	
247				赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	1	0	0	2			37			10	
248				赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	1	0	0	2			37			10	
249				矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	10	0	0	2			37			5	
250				矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	5	0	0	2			37			5	
251				矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	3	0	0	2			37			5	
252				恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	10	0	0	2			37			5	
253				恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	5	0	0	2			37			5	
254				恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	3	0	0	2			37			5	
255				龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	10	0	0	2			37			5	
256				龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	5	0	0	2			37			5	
257				龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	3	0	0	2			37			5	
