int	enum.CurrencyType[]	int[]	int[]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]
48				1000	1		1,1,1,1,1,1	100030101,100030201,100030301,100030401,100030501,100030302	1,1,1,1,1,1	10,10,10,10,10,10	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0|0|0|0|0|0																								
49				1000	1		1,1,1,1,1,1,1,1	100040101,100040201,100040301,100040302,100040401,100040402,100040501,100040502	1,1,1,1,1,1,1,1	10,10,10,10,10,10,10,10	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0																								
50				1000	1		1,1,1,1,1,1,1,1,1	100050101,100050102,100050201,100050202,100050301,100050302,100050401,100050402,100050501	1,1,1,1,1,1,1,1,1	10,10,10,10,10,10,10,10,10	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0																								
51				1000	1		1,1,1,1,1,1,1,1,1,1	100090101,100090102,100090103,100090201,100090202,100090203,100090301,100090401,100090402,100090501	1,1,1,1,1,1,1,1,1,1	10,0,0,10,0,0,10,10,0,10	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0|0																								
52				1000	1		1,1,1,1,1,1,1,1,1,1	100120101,100120102,100120201,100120202,100120203,100120301,100120401,100120402,100120501,100120502	1,1,1,1,1,1,1,1,1,1	10,10,10,10,10,10,10,10,10,10	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0|0																								
53				1000	1		1	600001	1	1	0	0	0	0	0																								
55				1000	2		1,1	100010201,100010202	1,1	1,1	0,0	0,0	0,0	0,0	0|0																								
56				1000	1		1	600002	1	1	0	0	0	0	0																								
57				1000	1		1	100005	500	10	0	0	0	0	0																								
58				1000	1		1	100005	1000	10	0	0	0	0	0																								
59				1000	1		1,1,1,1,1,1,1	200040,200041,200042,200043,200044,200045,200046	1,1,1,1,1,1,1	10,10,10,10,10,10,10	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0|0|0|0|0|0|0																								
60				1000	1		1	200050	1	1	0	0	0	0	0																								
61				1000	1		1	200055	1	10	0	0	0	0	0																								
62																																							
63				1000	15		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	100010202,100010302,100010502,100020202,100020302,100020402,100020502,100030102,100030202,100030302,100030303,100040302,100040402,100040502,100020102	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	||||||||||||||	1000	17		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	100050102,100050202,100050302,100050403,100090102,100090103,100090202,100090203,100090302,100090402,100090502,100090503,100120102,100120202,100120203,100120402,100120502	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,2,3|||||||||||||1,2,3|||1,2,3												
64				1000	12		1,1,1,1,1,1,1,1,1,1,1,1	100011111,100011121,100011131,100021111,100021121,100021131,100031111,100031121,100031131,100034111,100034121,100034131	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	|||||||||||	1000	12		1,1,1,1,1,1,1,1,1,1,1,1	100041111,100041121,100041131,100045111,100045121,100045131,100051111,100051121,100051131,100051211,100051221,100051231	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	|||||||||||	1000	9		1,1,1,1,1,1,1,1,1	100091111,100091121,100091131,100092111,100092121,100092131,100094111,100094121,100094131	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	||||||||
65				1000	15		1,1,1,1,1,1,1,1,1	100121111,100121121,100121131,100122211,100122221,100122231,100125211,100125221,100125231	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	||||||||																								
1001				1000	3	0	1,1,1	58,59,61	1,1,1	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0|0|0																								
1002	101	100	1000																																				
1003	101,102,103,104	100,10,5,2	100,10,5,2																																				
1004				1000	2	0	1,1	58,59	1,1	1,1	0,0	0,0	0,0	0,0	0|0	1000	1	0	1	61	1	1	0	0	0	0	0	1000	1	0	1	63	1	1	0	0	0	0	0
1005				1000	3	0	1,1,1,1,1,1	58,59,61,63,64,65	1,1,1,1,1,1	50,50,50,50,50,50	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0|0|0|0|0|0																								
1006				500	1	0	1,1	58,59	1,1	10,10	0,0	0,0	0,0	0,0	0|0	500	1	0	1,1	61,63	1,1	10,10	0,0	0,0	0,0	0,0	0|0	500	1	0	1,1	64,65	1,1	10,10	0,0	0,0	0,0	0,0	0|0
1007	101	10	1000	1000	1	0	1,1	58,59	1,1	10,10	0,0	0,0	0,0	0,0	0|0	500	1	0	1,1	61,63	1,1	100,100	0,0	0,0	0,0	0,0	0|0	1000	1	0	1	64	1	1	0	0	0	0	0
1008				1000	100	1	1,1,1	58,59,61	1,1,1	10,10,10	0,0,0	0,0,0	0,0,0	0,0,0	0|0|0																								
1009				1000	1000	1	1,1	58,59	1,1	900,100	0,0	0,0	0,0	0,0	0|0																								
700001				1000	2		1,1	930001,931001	100,100	1,1	0,0	0,0	0,0	0,0	0|0																								
700002				1000	16		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	910001,910002,910003,910004,910005,910006,910007,910008,910009,910011,910012,910010,910013,910014,910015,910016	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0																								
700003				1000	3		1,1,1	920001,920002,920003	100,100,100	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0|0|0																								
700004				1000	1		1	800001	1000	1	0	0	0	0	0																								
700005				1000	8		1,1,1,1,1,1,1,1	100010101,100010201,100010202,100010301,100010302,100010401,100010501,100010502	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0																								
700006				1000	1		2	101	1000	1	0	0	0	0	0																								
700007				1000	1		2	101	5000	1	0	0	0	0	0																								
