int	int	int	int[]	int[]	int[]
110001	10005	4		1,2,3,4,5	0,0,500,0,0
110001	10005	5		1,2,3,4,5	0,0,0,500,0
110001	10005	6		1,2,3,4,5	0,0,0,500,0
110001	10005	7		1,2,3,4,5	0,500,0,0,0
110001	10005	8		1,2,3,4,5	500,0,0,0,0
110001	10005	9		1,2,3,4,5	0,0,0,500,0
110001	10005	10		1,2,3,4,5	0,0,0,0,500
110001	10009	1		1,2,3,4,5	3000,1500,1000,1500,500
110001	10009	2		1,2,3,4,5	0,0,500,0,0
110001	10009	3		1,2,3,4,5	500,0,0,0,0
110001	10009	4		1,2,3,4,5	0,0,500,0,0
110001	10009	5		1,2,3,4,5	0,0,0,500,0
110001	10009	6		1,2,3,4,5	0,0,0,500,0
110001	10009	7		1,2,3,4,5	0,500,0,0,0
110001	10009	8		1,2,3,4,5	500,0,0,0,0
110001	10009	9		1,2,3,4,5	0,0,0,500,0
110001	10009	10		1,2,3,4,5	0,0,0,0,500
110001	10012	1		1,2,3,4,5	3000,1500,1000,1500,500
110001	10012	2		1,2,3,4,5	0,0,500,0,0
110001	10012	3		1,2,3,4,5	500,0,0,0,0
110001	10012	4		1,2,3,4,5	0,0,500,0,0
110001	10012	5		1,2,3,4,5	0,0,0,500,0
110001	10012	6		1,2,3,4,5	0,0,0,500,0
110001	10012	7		1,2,3,4,5	0,500,0,0,0
110001	10012	8		1,2,3,4,5	500,0,0,0,0
110001	10012	9		1,2,3,4,5	0,0,0,500,0
110001	10012	10		1,2,3,4,5	0,0,0,0,500
110002	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110002	10001	2		1,2,3,4,5	0,500,0,500,0
110002	10001	3		1,2,3,4,5	500,0,500,0,0
110002	10001	4		1,2,3,4,5	0,500,0,0,500
110002	10001	5		1,2,3,4,5	0,0,500,500,0
110002	10001	6		1,2,3,4,5	500,0,0,500,0
110002	10001	7		1,2,3,4,5	500,0,0,0,500
110002	10001	8		1,2,3,4,5	0,500,500,0,0
110002	10001	9		1,2,3,4,5	500,500,0,0,0
110002	10001	10		1,2,3,4,5	0,0,500,500,0
110002	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110002	10002	2		1,2,3,4,5	500,500,0,0,0
110002	10002	3		1,2,3,4,5	500,0,500,0,0
110002	10002	4		1,2,3,4,5	500,0,0,500,0
110002	10002	5		1,2,3,4,5	500,0,0,0,500
110002	10002	6		1,2,3,4,5	0,500,500,0,0
110002	10002	7		1,2,3,4,5	0,500,0,500,0
110002	10002	8		1,2,3,4,5	0,500,0,0,500
110002	10002	9		1,2,3,4,5	0,0,500,500,0
110002	10002	10		1,2,3,4,5	0,0,500,500,0
110002	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110002	10003	2		1,2,3,4,5	0,0,500,500,0
110002	10003	3		1,2,3,4,5	0,500,500,0,0
110002	10003	4		1,2,3,4,5	500,500,0,0,0
110002	10003	5		1,2,3,4,5	500,0,0,0,500
110002	10003	6		1,2,3,4,5	500,0,500,0,0
110002	10003	7		1,2,3,4,5	0,500,0,0,500
110002	10003	8		1,2,3,4,5	0,0,500,500,0
110002	10003	9		1,2,3,4,5	500,0,0,500,0
110002	10003	10		1,2,3,4,5	0,500,0,500,0
110002	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110002	10004	2		1,2,3,4,5	500,0,0,0,0
110002	10004	3		1,2,3,4,5	0,500,0,0,0
110002	10004	4		1,2,3,4,5	0,0,500,0,0
110002	10004	5		1,2,3,4,5	0,0,0,500,0
110002	10004	6		1,2,3,4,5	0,0,0,500,0
110002	10004	7		1,2,3,4,5	0,0,500,0,0
110002	10004	8		1,2,3,4,5	0,500,0,0,0
110002	10004	9		1,2,3,4,5	0,0,0,500,0
110002	10004	10		1,2,3,4,5	0,0,0,0,500
110002	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110002	10005	2		1,2,3,4,5	0,0,500,0,0
110002	10005	3		1,2,3,4,5	0,500,0,0,0
110002	10005	4		1,2,3,4,5	0,0,500,0,0
110002	10005	5		1,2,3,4,5	0,0,0,500,0
110002	10005	6		1,2,3,4,5	0,0,0,500,0
110002	10005	7		1,2,3,4,5	500,0,0,0,0
110002	10005	8		1,2,3,4,5	0,500,0,0,0
110002	10005	9		1,2,3,4,5	0,0,0,500,0
110002	10005	10		1,2,3,4,5	0,0,0,0,500
110002	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110002	10009	2		1,2,3,4,5	0,0,500,0,0
110002	10009	3		1,2,3,4,5	0,500,0,0,0
110002	10009	4		1,2,3,4,5	0,0,500,0,0
110002	10009	5		1,2,3,4,5	0,0,0,500,0
110002	10009	6		1,2,3,4,5	0,0,0,500,0
110002	10009	7		1,2,3,4,5	500,0,0,0,0
110002	10009	8		1,2,3,4,5	0,500,0,0,0
110002	10009	9		1,2,3,4,5	0,0,0,500,0
110002	10009	10		1,2,3,4,5	0,0,0,0,500
110002	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110002	10012	2		1,2,3,4,5	0,0,500,0,0
110002	10012	3		1,2,3,4,5	0,500,0,0,0
110002	10012	4		1,2,3,4,5	0,0,500,0,0
110002	10012	5		1,2,3,4,5	0,0,0,500,0
110002	10012	6		1,2,3,4,5	0,0,0,500,0
110002	10012	7		1,2,3,4,5	500,0,0,0,0
110002	10012	8		1,2,3,4,5	0,500,0,0,0
110002	10012	9		1,2,3,4,5	0,0,0,500,0
110002	10012	10		1,2,3,4,5	0,0,0,0,500
110003	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110003	10001	2		1,2,3,4,5	0,500,0,500,0
110003	10001	3		1,2,3,4,5	500,0,500,0,0
110003	10001	4		1,2,3,4,5	0,500,0,0,500
110003	10001	5		1,2,3,4,5	0,0,500,500,0
110003	10001	6		1,2,3,4,5	500,0,0,500,0
110003	10001	7		1,2,3,4,5	500,0,0,0,500
110003	10001	8		1,2,3,4,5	0,500,500,0,0
110003	10001	9		1,2,3,4,5	500,500,0,0,0
110003	10001	10		1,2,3,4,5	0,0,500,500,0
110003	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110003	10002	2		1,2,3,4,5	500,500,0,0,0
110003	10002	3		1,2,3,4,5	500,0,500,0,0
110003	10002	4		1,2,3,4,5	500,0,0,500,0
110003	10002	5		1,2,3,4,5	500,0,0,0,500
110003	10002	6		1,2,3,4,5	0,500,500,0,0
110003	10002	7		1,2,3,4,5	0,500,0,500,0
110003	10002	8		1,2,3,4,5	0,500,0,0,500
110003	10002	9		1,2,3,4,5	0,0,500,500,0
110003	10002	10		1,2,3,4,5	0,0,500,500,0
110003	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110003	10003	2		1,2,3,4,5	0,0,500,500,0
110003	10003	3		1,2,3,4,5	0,500,500,0,0
110003	10003	4		1,2,3,4,5	500,500,0,0,0
110003	10003	5		1,2,3,4,5	500,0,0,0,500
110003	10003	6		1,2,3,4,5	500,0,500,0,0
110003	10003	7		1,2,3,4,5	0,500,0,0,500
110003	10003	8		1,2,3,4,5	0,0,500,500,0
110003	10003	9		1,2,3,4,5	500,0,0,500,0
110003	10003	10		1,2,3,4,5	0,500,0,500,0
110003	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110003	10004	2		1,2,3,4,5	500,0,0,0,0
110003	10004	3		1,2,3,4,5	0,500,0,0,0
110003	10004	4		1,2,3,4,5	0,0,500,0,0
110003	10004	5		1,2,3,4,5	0,0,0,500,0
110003	10004	6		1,2,3,4,5	0,0,0,500,0
110003	10004	7		1,2,3,4,5	0,0,500,0,0
110003	10004	8		1,2,3,4,5	0,500,0,0,0
110003	10004	9		1,2,3,4,5	0,0,0,500,0
110003	10004	10		1,2,3,4,5	0,0,0,0,500
110003	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110003	10005	2		1,2,3,4,5	0,0,500,0,0
110003	10005	3		1,2,3,4,5	0,500,0,0,0
110003	10005	4		1,2,3,4,5	0,0,500,0,0
110003	10005	5		1,2,3,4,5	0,0,0,500,0
110003	10005	6		1,2,3,4,5	0,0,0,500,0
110003	10005	7		1,2,3,4,5	500,0,0,0,0
110003	10005	8		1,2,3,4,5	0,500,0,0,0
110003	10005	9		1,2,3,4,5	0,0,0,500,0
110003	10005	10		1,2,3,4,5	0,0,0,0,500
110003	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110003	10009	2		1,2,3,4,5	0,0,500,0,0
110003	10009	3		1,2,3,4,5	0,500,0,0,0
110003	10009	4		1,2,3,4,5	0,0,500,0,0
110003	10009	5		1,2,3,4,5	0,0,0,500,0
110003	10009	6		1,2,3,4,5	0,0,0,500,0
110003	10009	7		1,2,3,4,5	500,0,0,0,0
110003	10009	8		1,2,3,4,5	0,500,0,0,0
110003	10009	9		1,2,3,4,5	0,0,0,500,0
110003	10009	10		1,2,3,4,5	0,0,0,0,500
110003	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110003	10012	2		1,2,3,4,5	0,0,500,0,0
110003	10012	3		1,2,3,4,5	0,500,0,0,0
110003	10012	4		1,2,3,4,5	0,0,500,0,0
110003	10012	5		1,2,3,4,5	0,0,0,500,0
110003	10012	6		1,2,3,4,5	0,0,0,500,0
110003	10012	7		1,2,3,4,5	500,0,0,0,0
110003	10012	8		1,2,3,4,5	0,500,0,0,0
110003	10012	9		1,2,3,4,5	0,0,0,500,0
110003	10012	10		1,2,3,4,5	0,0,0,0,500
110004	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110004	10001	2		1,2,3,4,5	0,500,0,500,0
110004	10001	3		1,2,3,4,5	500,0,500,0,0
110004	10001	4		1,2,3,4,5	0,500,0,0,500
110004	10001	5		1,2,3,4,5	0,0,500,500,0
110004	10001	6		1,2,3,4,5	500,0,0,500,0
110004	10001	7		1,2,3,4,5	500,0,0,0,500
110004	10001	8		1,2,3,4,5	0,500,500,0,0
110004	10001	9		1,2,3,4,5	500,500,0,0,0
110004	10001	10		1,2,3,4,5	0,0,500,500,0
110004	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110004	10002	2		1,2,3,4,5	500,500,0,0,0
110004	10002	3		1,2,3,4,5	500,0,500,0,0
110004	10002	4		1,2,3,4,5	500,0,0,500,0
110004	10002	5		1,2,3,4,5	500,0,0,0,500
110004	10002	6		1,2,3,4,5	0,500,500,0,0
110004	10002	7		1,2,3,4,5	0,500,0,500,0
110004	10002	8		1,2,3,4,5	0,500,0,0,500
110004	10002	9		1,2,3,4,5	0,0,500,500,0
110004	10002	10		1,2,3,4,5	0,0,500,500,0
110004	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110004	10003	2		1,2,3,4,5	0,0,500,500,0
110004	10003	3		1,2,3,4,5	0,500,500,0,0
110004	10003	4		1,2,3,4,5	500,500,0,0,0
110004	10003	5		1,2,3,4,5	500,0,0,0,500
110004	10003	6		1,2,3,4,5	500,0,500,0,0
110004	10003	7		1,2,3,4,5	0,500,0,0,500
110004	10003	8		1,2,3,4,5	0,0,500,500,0
110004	10003	9		1,2,3,4,5	500,0,0,500,0
110004	10003	10		1,2,3,4,5	0,500,0,500,0
110004	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110004	10004	2		1,2,3,4,5	500,0,0,0,0
110004	10004	3		1,2,3,4,5	0,500,0,0,0
110004	10004	4		1,2,3,4,5	0,0,500,0,0
110004	10004	5		1,2,3,4,5	0,0,0,500,0
110004	10004	6		1,2,3,4,5	0,0,0,500,0
110004	10004	7		1,2,3,4,5	0,0,500,0,0
110004	10004	8		1,2,3,4,5	0,500,0,0,0
110004	10004	9		1,2,3,4,5	0,0,0,500,0
110004	10004	10		1,2,3,4,5	0,0,0,0,500
110004	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110004	10005	2		1,2,3,4,5	0,0,500,0,0
110004	10005	3		1,2,3,4,5	0,500,0,0,0
110004	10005	4		1,2,3,4,5	0,0,500,0,0
110004	10005	5		1,2,3,4,5	0,0,0,500,0
110004	10005	6		1,2,3,4,5	0,0,0,500,0
110004	10005	7		1,2,3,4,5	500,0,0,0,0
110004	10005	8		1,2,3,4,5	0,500,0,0,0
110004	10005	9		1,2,3,4,5	0,0,0,500,0
110004	10005	10		1,2,3,4,5	0,0,0,0,500
110004	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110004	10009	2		1,2,3,4,5	0,0,500,0,0
110004	10009	3		1,2,3,4,5	0,500,0,0,0
110004	10009	4		1,2,3,4,5	0,0,500,0,0
110004	10009	5		1,2,3,4,5	0,0,0,500,0
110004	10009	6		1,2,3,4,5	0,0,0,500,0
110004	10009	7		1,2,3,4,5	500,0,0,0,0
110004	10009	8		1,2,3,4,5	0,500,0,0,0
110004	10009	9		1,2,3,4,5	0,0,0,500,0
110004	10009	10		1,2,3,4,5	0,0,0,0,500
110004	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110004	10012	2		1,2,3,4,5	0,0,500,0,0
110004	10012	3		1,2,3,4,5	0,500,0,0,0
110004	10012	4		1,2,3,4,5	0,0,500,0,0
110004	10012	5		1,2,3,4,5	0,0,0,500,0
110004	10012	6		1,2,3,4,5	0,0,0,500,0
110004	10012	7		1,2,3,4,5	500,0,0,0,0
110004	10012	8		1,2,3,4,5	0,500,0,0,0
110004	10012	9		1,2,3,4,5	0,0,0,500,0
110004	10012	10		1,2,3,4,5	0,0,0,0,500
110005	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110005	10001	2		1,2,3,4,5	0,500,0,500,0
110005	10001	3		1,2,3,4,5	500,0,500,0,0
110005	10001	4		1,2,3,4,5	0,500,0,0,500
110005	10001	5		1,2,3,4,5	0,0,500,500,0
110005	10001	6		1,2,3,4,5	500,0,0,500,0
110005	10001	7		1,2,3,4,5	500,0,0,0,500
110005	10001	8		1,2,3,4,5	0,500,500,0,0
110005	10001	9		1,2,3,4,5	500,500,0,0,0
110005	10001	10		1,2,3,4,5	0,0,500,500,0
110005	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110005	10002	2		1,2,3,4,5	500,500,0,0,0
110005	10002	3		1,2,3,4,5	500,0,500,0,0
110005	10002	4		1,2,3,4,5	500,0,0,500,0
110005	10002	5		1,2,3,4,5	500,0,0,0,500
110005	10002	6		1,2,3,4,5	0,500,500,0,0
110005	10002	7		1,2,3,4,5	0,500,0,500,0
110005	10002	8		1,2,3,4,5	0,500,0,0,500
110005	10002	9		1,2,3,4,5	0,0,500,500,0
110005	10002	10		1,2,3,4,5	0,0,500,500,0
110005	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110005	10003	2		1,2,3,4,5	0,0,500,500,0
110005	10003	3		1,2,3,4,5	0,500,500,0,0
110005	10003	4		1,2,3,4,5	500,500,0,0,0
110005	10003	5		1,2,3,4,5	500,0,0,0,500
110005	10003	6		1,2,3,4,5	500,0,500,0,0
110005	10003	7		1,2,3,4,5	0,500,0,0,500
110005	10003	8		1,2,3,4,5	0,0,500,500,0
110005	10003	9		1,2,3,4,5	500,0,0,500,0
110005	10003	10		1,2,3,4,5	0,500,0,500,0
110005	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110005	10004	2		1,2,3,4,5	500,0,0,0,0
110005	10004	3		1,2,3,4,5	0,500,0,0,0
110005	10004	4		1,2,3,4,5	0,0,500,0,0
110005	10004	5		1,2,3,4,5	0,0,0,500,0
110005	10004	6		1,2,3,4,5	0,0,0,500,0
110005	10004	7		1,2,3,4,5	0,0,500,0,0
110005	10004	8		1,2,3,4,5	0,500,0,0,0
110005	10004	9		1,2,3,4,5	0,0,0,500,0
110005	10004	10		1,2,3,4,5	0,0,0,0,500
110005	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110005	10005	2		1,2,3,4,5	0,0,500,0,0
110005	10005	3		1,2,3,4,5	0,500,0,0,0
110005	10005	4		1,2,3,4,5	0,0,500,0,0
110005	10005	5		1,2,3,4,5	0,0,0,500,0
110005	10005	6		1,2,3,4,5	0,0,0,500,0
110005	10005	7		1,2,3,4,5	500,0,0,0,0
110005	10005	8		1,2,3,4,5	0,500,0,0,0
110005	10005	9		1,2,3,4,5	0,0,0,500,0
110005	10005	10		1,2,3,4,5	0,0,0,0,500
110005	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110005	10009	2		1,2,3,4,5	0,0,500,0,0
110005	10009	3		1,2,3,4,5	0,500,0,0,0
110005	10009	4		1,2,3,4,5	0,0,500,0,0
110005	10009	5		1,2,3,4,5	0,0,0,500,0
110005	10009	6		1,2,3,4,5	0,0,0,500,0
110005	10009	7		1,2,3,4,5	500,0,0,0,0
110005	10009	8		1,2,3,4,5	0,500,0,0,0
110005	10009	9		1,2,3,4,5	0,0,0,500,0
110005	10009	10		1,2,3,4,5	0,0,0,0,500
110005	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110005	10012	2		1,2,3,4,5	0,0,500,0,0
110005	10012	3		1,2,3,4,5	0,500,0,0,0
110005	10012	4		1,2,3,4,5	0,0,500,0,0
110005	10012	5		1,2,3,4,5	0,0,0,500,0
110005	10012	6		1,2,3,4,5	0,0,0,500,0
110005	10012	7		1,2,3,4,5	500,0,0,0,0
110005	10012	8		1,2,3,4,5	0,500,0,0,0
110005	10012	9		1,2,3,4,5	0,0,0,500,0
110005	10012	10		1,2,3,4,5	0,0,0,0,500
110009	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110009	10001	2		1,2,3,4,5	0,500,0,500,0
110009	10001	3		1,2,3,4,5	500,0,500,0,0
110009	10001	4		1,2,3,4,5	0,500,0,0,500
110009	10001	5		1,2,3,4,5	0,0,500,500,0
110009	10001	6		1,2,3,4,5	500,0,0,500,0
110009	10001	7		1,2,3,4,5	500,0,0,0,500
110009	10001	8		1,2,3,4,5	0,500,500,0,0
110009	10001	9		1,2,3,4,5	500,500,0,0,0
110009	10001	10		1,2,3,4,5	0,0,500,500,0
110009	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110009	10002	2		1,2,3,4,5	500,500,0,0,0
110009	10002	3		1,2,3,4,5	500,0,500,0,0
110009	10002	4		1,2,3,4,5	500,0,0,500,0
110009	10002	5		1,2,3,4,5	500,0,0,0,500
110009	10002	6		1,2,3,4,5	0,500,500,0,0
110009	10002	7		1,2,3,4,5	0,500,0,500,0
110009	10002	8		1,2,3,4,5	0,500,0,0,500
110009	10002	9		1,2,3,4,5	0,0,500,500,0
110009	10002	10		1,2,3,4,5	0,0,500,500,0
110009	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110009	10003	2		1,2,3,4,5	0,0,500,500,0
110009	10003	3		1,2,3,4,5	0,500,500,0,0
110009	10003	4		1,2,3,4,5	500,500,0,0,0
110009	10003	5		1,2,3,4,5	500,0,0,0,500
110009	10003	6		1,2,3,4,5	500,0,500,0,0
110009	10003	7		1,2,3,4,5	0,500,0,0,500
110009	10003	8		1,2,3,4,5	0,0,500,500,0
110009	10003	9		1,2,3,4,5	500,0,0,500,0
110009	10003	10		1,2,3,4,5	0,500,0,500,0
110009	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110009	10004	2		1,2,3,4,5	500,0,0,0,0
110009	10004	3		1,2,3,4,5	0,500,0,0,0
110009	10004	4		1,2,3,4,5	0,0,500,0,0
110009	10004	5		1,2,3,4,5	0,0,0,500,0
110009	10004	6		1,2,3,4,5	0,0,0,500,0
110009	10004	7		1,2,3,4,5	0,0,500,0,0
110009	10004	8		1,2,3,4,5	0,500,0,0,0
110009	10004	9		1,2,3,4,5	0,0,0,500,0
110009	10004	10		1,2,3,4,5	0,0,0,0,500
110009	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110009	10005	2		1,2,3,4,5	0,0,500,0,0
110009	10005	3		1,2,3,4,5	0,500,0,0,0
110009	10005	4		1,2,3,4,5	0,0,500,0,0
110009	10005	5		1,2,3,4,5	0,0,0,500,0
110009	10005	6		1,2,3,4,5	0,0,0,500,0
110009	10005	7		1,2,3,4,5	500,0,0,0,0
110009	10005	8		1,2,3,4,5	0,500,0,0,0
110009	10005	9		1,2,3,4,5	0,0,0,500,0
110009	10005	10		1,2,3,4,5	0,0,0,0,500
110009	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110009	10009	2		1,2,3,4,5	0,0,500,0,0
110009	10009	3		1,2,3,4,5	0,500,0,0,0
110009	10009	4		1,2,3,4,5	0,0,500,0,0
110009	10009	5		1,2,3,4,5	0,0,0,500,0
110009	10009	6		1,2,3,4,5	0,0,0,500,0
110009	10009	7		1,2,3,4,5	500,0,0,0,0
110009	10009	8		1,2,3,4,5	0,500,0,0,0
110009	10009	9		1,2,3,4,5	0,0,0,500,0
110009	10009	10		1,2,3,4,5	0,0,0,0,500
110009	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110009	10012	2		1,2,3,4,5	0,0,500,0,0
110009	10012	3		1,2,3,4,5	0,500,0,0,0
110009	10012	4		1,2,3,4,5	0,0,500,0,0
110009	10012	5		1,2,3,4,5	0,0,0,500,0
110009	10012	6		1,2,3,4,5	0,0,0,500,0
110009	10012	7		1,2,3,4,5	500,0,0,0,0
