int	string	enum.ItemShowType	enum.ItemShowPerspective	enum.UIItemShowType	enum.UIItemVisibleType	int
613004		5	1	5		
613005		5	1	5		
613006		5	1	5		
613007		5	1	5		
613008		5	1	5		
613009		5	1	5		
613010		5	1	5		
613011		5	1	5		
613012		5	1	5		
613013		5	1	5		
613014		5	1	5		
613015		5	1	5		
613016		5	1	5		
613017		5	1	5		
613018		5	1	5		
613019		5	1	5		
613020		5	1	5		
613021		5	1	5		
613022		5	1	5		
613023		5	1	5		
613024		5	1	5		
613025		5	1	5		
613026		5	1	5		
613027		5	1	5		
613028		5	1	5		
613029		5	1	5		
613030		5	1	5		
613031		5	1	5		
613032		5	1	5		
613033		5	1	5		
613034		5	1	5		
613035		5	1	5		
613036		5	1	5		
613037		5	1	5		
613038		5	1	5		
613039		5	1	5		
613040		5	1	5		
613041		5	1	5		
613042		5	1	5		
613043		5	1	5		
613044		5	1	5		
613045		5	1	5		
613046		5	1	5		
613047		5	1	5		
613048		5	1	5		
613049		5	1	5		
613050		5	1	5		
613051		5	1	5		
613052		5	1	5		
613053		5	1	5		
613054		5	1	5		
613055		5	1	5		
613056		5	1	5		
613057		5	1	5		
700001						
700002						
700003						
700004						
700005						
700006						
700007						
700008						
800001		0	0			
900001						
900002		0	0			
900003		0	0			
910001		0	0			
910002		0	0			
910003		0	0			
910004		0	0			
910005		0	0			
910006		0	0			
910007		0	0			
910008		0	0			
910009		0	0			
910010		0	0			
910011		0	0			
910012		0	0			
910013		0	0			
910014		0	0			
910015		0	0			
910016		0	0			
920001		0	0			
920002		0	0			
920003		0	0			
930001		0	0			
931001		0	0			
6001001						
6001002						
6001003	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmHooklock_1_ItemShow.prefab	2	2	2		
6001004	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_HeadRadar_1_ItemShow.prefab	2	2	2		
6001005		2	2	2		
6001006	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_Back_2_ItemShow.prefab	2	2	2		
100010101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_HandWeapon_1_ItemShow.prefab	2	2	2		
100010102	Assets/Art/UI/Dynamic/MechapartsIcon/UIM1_Skill_Test.png	0	0	2		
100010201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_BackMissile_1_ItemShow.prefab	2	2	2		
100010202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_BackMissile_2_ItemShow.prefab	2	2	2		
100010301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_HeadRadar_1_ItemShow.prefab	2	2	2		
100010302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_Uav_1_ItemShow.prefab	2	2	2		
100010401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_BackWing_1_ItemShow.prefab	2	2	2		
100010501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_WingMissile_1_ItemShow.prefab	2	2	2		
100010502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_WingMissile_2_ItemShow.prefab	2	2	2		
100010503	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M1/P_M1_WingMissile_1_ItemShow.prefab	2	2	2		
100010601						
100010701						
100010801						
100010901						
100011001						
100011111		2	2	2		
100011121		2	2	2		
100011131		2	2	2		
100020101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_1_ItemShow.prefab	2	2	2		
100020102	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_2_ItemShow.prefab	2	2	2		
100020103	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_3_L_ItemShow.prefab	2	2	2	0	
100020104	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_2_ItemShow.prefab	5	2	2		
100020201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_2_ItemShow.prefab	2	2	2		
100020202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_HandWeapon_2_R_ItemShow.prefab	2	2	2		
100020301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmHooklock_1_ItemShow.prefab	2	2	2		
100020302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_4_L_ItemShow.prefab	2	2	2		
100020303	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ArmWeapon_4_L_ItemShow.prefab	2	2	2		
100020401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_Back_1_ItemShow.prefab	2	2	2		
100020402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_Back_2_ItemShow.prefab	2	2	2		
100020403	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_Back_1_ItemShow.prefab	2	2	2		
100020501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_BackUAVBase_1_ItemShow.prefab	2	2	2		
100020502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M2/P_M2_ShoulderCloak_2_ItemShow.prefab	2	2	2		
100020601						
100020701						
100020801						
100020901						
100021001						
100021111		2	2	2		
100021121		2	2	2		
100021131		2	2	2		
100022111		2	2	2	2	
100022121		2	2	2	2	
100022131		2	2	2	2	
100030101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_HandWeapon_1_L_ItemShow.prefab	2	2	2		
100030102	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_HandWeapon_2_L_ItemShow.prefab	2	2	2		
100030201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_ArmShield_1_ItemShow.prefab	2	2	2		
100030202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_HandWeapon_2_R_ItemShow.prefab	2	2	2		
100030301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_ShoulderSword_1_ItemShow.prefab	2	2	2		
100030302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_CalfAccelerator_1_ItemShow.prefab	2	2	2		
100030303	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_ShoulderRadar_2_ItemShow.prefab	2	2	2		
100030401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_BackGun_1_ItemShow.prefab	2	2	2		
100030402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_BackGun_1_ItemShow.prefab	2	2	2		
100030403	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_BackGun_1_ItemShow.prefab	2	2	2		
100030501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_ShoulderShield_1_ItemShow.prefab	2	2	2		
100030502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M3/P_M3_ShoulderShield_1_ItemShow.prefab	2	2	2		
100030601						
100030701						
100030801						
100030901						
100031001						
100031111		2	2	2		
100031121		2	2	2		
100031131		2	2	2		
100034111		2	2	2		
100034121		2	2	2		
100034131		2	2	2		
100040101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_HandWeapon_1_ItemShow.prefab	2	2	2		
100040201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackMissile_1_ItemShow.prefab	2	2	2		
100040202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackMissile_1_ItemShow.prefab	2	2	2		
100040301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_ShoulderShield_1_ItemShow.prefab	2	2	2		
100040302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_ShoulderShield_2_ItemShow.prefab	2	2	2		
100040401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackLeg_1_ItemShow.prefab	2	2	2		
100040402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackLeg_2_ItemShow.prefab	2	2	2		
100040501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackCannon_1_ItemShow.prefab	2	2	2		
100040502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M4/P_M4_BackCannon_2_ItemShow.prefab	2	2	2		
100040503	Assets/Art/UI/Dynamic/MechapartsIcon/UIM1_Skill_Test.png	0	0	2		
100040601						
100040701						
100040801						
100040901						
100041001						
100041111		2	2	2		
100041121		2	2	2		
100041131		2	2	2		
100045111		2	2	2		
100045121		2	2	2		
100045131		2	2	2		
100050101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_ArmWeapon_1_ItemShow.prefab	2	2	2		
100050102	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_ArmWeapon_2_ItemShow.prefab	2	2	2		
100050201		2	2	2		
100050202		2	2	2		
100050301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_RobotE_1_ItemShow.prefab	2	2	2		
100050302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_Robot_2_ItemShow.prefab	2	2	2		
100050401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_ShoulderHooklock_1_ItemShow.prefab	2	2	2		
100050402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_ShoulderCage_2_ItemShow.prefab	2	2	2	0	
100050403	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_ShoulderCage_3_ItemShow.prefab	2	2	2		
100050501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M5/P_M5_BackGhost_1_ItemShow.prefab	2	2	2		
100050601						
100050701						
100050801						
100050901						
100051001						
100051111		2	2	2		
100051121		2	2	2		
100051131		2	2	2		
100051211		2	2	2		
100051221		2	2	2		
100051231		2	2	2		
100070101						
100070102						
100070201						
100070202						
100070301						
100070302						
100070401						
100070402						
100070501						
100070502						
100070601						
100070701						
100070801						
100070901						
100071001						
100090101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_1_L_ItemShow.prefab	2	2	2		
100090102	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_2_L_ItemShow.prefab	2	2	2		
100090103	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_3_L_ItemShow.prefab	2	2	2		
100090201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_1_R_ItemShow.prefab	2	2	2		
100090202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_2_L_ItemShow.prefab	2	2	2		
100090203	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_HandWeapon_3_L_ItemShow.prefab	2	2	2		
100090301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_BackUavShield_1_ItemShow.prefab	2	2	2		
100090302	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_BackUavShield_2_ItemShow.prefab	2	2	2		
100090401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_ArmUav_2_ItemShow.prefab	2	2	2		
100090402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_BackWeapon_2_ItemShow.prefab	2	2	2		
100090403	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_ArmUav_2_ItemShow.prefab	2	2	2		
100090501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_BackWeapon_1_ItemShow.prefab	2	2	2		
100090502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_ArmUav_1_ItemShow.prefab	2	2	2		
100090503	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M9/P_M9_ArmUav_3_ItemShow.prefab	2	2	2		
100090601						
100090701						
100090801						
100090901						
100091001						
100091111		2	2	2		
100091121		2	2	2		
100091131		2	2	2		
100092111		2	2	2		
100092121		2	2	2		
100092131		2	2	2		
100094111		2	2	2		
100094121		2	2	2		
100094131		2	2	2		
100120101	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_HandWeapon_2_L_ItemShow.prefab	2	2	2		
100120102	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_HandWeapon_3_L_ItemShow.prefab	2	2	2		
100120201	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_HandWeapon_1_R_ItemShow.prefab	2	2	2		
100120202	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_ArmWeapon_1_R_ItemShow.prefab	2	2	2		
100120203	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_HandWeapon_2_R_ItemShow.prefab	2	2	2		
100120301	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_ChestEquip_1_ItemShow.prefab	2	2	2		
100120401	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_ShoulderWeapon_1_ItemShow.prefab	2	2	2		
100120402	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_ShoulderWeapon_2_ItemShow.prefab	2	2	2		
100120403	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_ShoulderWeapon_2_ItemShow.prefab	2	2	2		
100120501	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_BackGun_1_ItemShow.prefab	2	2	2		
100120502	Assets/ArtShell/ViewTemplates/Garage/ItemShowTargetGroup/M12/P_M12_BackGun_2_ItemShow.prefab	2	2	2		
100120601						
100120701						
100120801						
100120901						
100121001						
100121111		2	2	2		
100121121		2	2	2		
100121131		2	2	2		
100122211		2	2	2		
100122221		2	2	2		
100122231		2	2	2		
100124111		2	2	2		
100124121		2	2	2		
100124131		2	2	2		
100125111		2	2	2		
100125121		2	2	2		
100125131		2	2	2		
100125211		2	2	2		
100125221		2	2	2		
100125231		2	2	2		
200000001						
200000002						
200000003						
200000004						
200000005						
200000006						
200000007						
200000008						
200000009						
200000010						
200000011						
200000012						
200000013						
200000014						
200000015						
200000016						
200000017						
200000018						
200000019						
200000020						
200000021						
200000022						
200000023						
200000024						
200000025						
200000026						
200000027						
200000028						
200000029						
200000030						
200000031						
200000032						
200000033						
200000034						
200000035						
200000036						
200000037						
200000038						
200000039						
200000040						
200000041						
200000042						
200000043						
200000044						
200000045						
200000046						
200000047						
200000048						
200000049						
200000050						
200000051						
200000052						
200000053						
200000054						
200000055						
200000056						
200000057						
200000058						
200000059						
200000060						
200000061						
200000062						
200000063						
200000064						
200000065						
200000066						
200000067						
200000068						
200000069						
200000070						
200000071						
200000072						
200000073						
200000074						
200000075						
200000076						
200000077						
200000078						
200000079						
200000080						
200000081						
200000082						
200000083						
200000084						
200000085						
200000086						
200000087						
200000088						
200000089						
200000090						
200000091						
200000092						
200000093						
200000094						
200000095						
200000096						
200000097						
200000098						
200000099						
200000100						
610040101						
610040201						
610040301						
610040401						
610040501						
610040601						
610040701						
610040801						
610040901						
610041001						
610041003						
610041004						
610041005						
610041006						
610041007						
610041008						
610041009						
610041010						
610041011						
610041012						
610041013						
