int	string	string
86	BuildingDamage/Scene_TDS/Scene_TDS_Froce1BagDoodad	势力1爆破炸弹
87	Mecha/Common/BoostCD	推进冲刺CD
88	NPC/NR2/NR2B/Skill/NR2B_Skill1_Shooting	NR2B_Skill1_Shooting
89	Level/Misizhiyan/MobilePlatform/MobilePlatform_P_Building_RedArea_6tds2	开合门2
90	Mecha/M2/M2_Skill_Change/M2_Skill_A2_Cg/M2_Skill_A2_Cg_TraceLine	恩赫里亚换装近战自身位移
91	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg	特武3_换装1_喀秋莎火箭弹_主技能
92	Level/Misizhiyan/MobilePlatform/MobilePlatform_P_Building_RedArea_6	A区向下开门
93	BuildingDamage/Scene_TDS/Scene_TDS_BagInteract	爆破炸弹的interact
94	BuildingDamage/Scene_TDS/Scene_TDS_BagInteractArea	爆破炸弹interactarea
95	BuildingDamage/Scene_TDS/TDS_Bag_DVA	爆破炸弹DVA
96	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_TF_Cg	特武3_换装1_喀秋莎火箭弹_主技能_炮台形态
97	BuildingDamage/Scene_TDS/Scene_TDS_Froce2BagDoodad	势力2爆破炸弹
98	BuildingDamage/Scene_TDS/Scene_TDS_BagInteract2	爆破炸弹的interact2
99	BuildingDamage/Scene_TDS/Scene_TDS_Froce1SetDoodad	势力1安置后炸弹
100	BuildingDamage/Scene_TDS/Scene_TDS_Froce2SetDoodad	势力2安置后炸弹
101	BuildingDamage/Scene_TDS/Scene_TDS_BagDismantleInteract	拆除爆破炸弹interact1
102	BuildingDamage/Scene_TDS/Scene_TDS_BagDismantleInteract2	拆除爆破炸弹interact2
103	BuildingDamage/Scene_TDS/TDS_Bag_Move	炸弹掉落移动组件
104	BuildingDamage/Scene_ATN/Scene_ATN_Froce0Doodad	Force0Doodad
105	BuildingDamage/Scene_ATN/Scene_ATN_Froce1Doodad	Force1Doodad
106	BuildingDamage/Scene_ATN/Scene_ATN_Froce2Doodad	Force2Doodad
107	BuildingDamage/Scene_ATN/Scene_ATN_Force0Interact	Force0Interact
108	BuildingDamage/Scene_ATN/Scene_ATN_Force1Interact	Force1Interact
109	BuildingDamage/Scene_ATN/Scene_ATN_Force2Interact	Force2Interact
110	Mecha/Common/Shield_Judge	通用盾反
111	Test/M1Test/M1Test	配置测试M1
112	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_1	鸣神右键_换装1_主技能1段
113	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube1	推车1
114	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_2	鸣神右键_换装1_主技能2段
115	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube2	推车2
116	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_Bullet	鸣神右键_换装1_子弹
117	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube3	推车3
118	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_CameraBuff	鸣神右键_换装1_开镜镜头buff
119	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube4	推车4
120	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_Disable	鸣神右键_换装1_禁止锁定buff
121	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube5	推车5
122	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_MoveBuff	鸣神右键_换装1_开镜后自身减速buff
123	NPC/NPC_6v6Defense/NPC_6v6Defense_PushCube6	推车6
124	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_UI	鸣神右键_换装1_开镜UI
125	NPC/NPC_6v6Defense/6v6Defense_Truck1	推车路径1
126	Mecha/M5/M5_SkillA2_Sp1/M5_SkillA2_Sp1_LockSetting	鸣神右键_换装1_锁定配置
127	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_Stealth_Buff	恩赫里亚_特武2_换装1_隐身buff
128	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_AntiScan_Buff	恩赫里亚_特武2_换装1_免疫检测buff
129	NPC/NPC_6v6Defense/6v6Defense_Truck2	推车路径2
130	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_SustainStealthBuff	恩赫里亚_特武2_换装1_攻击后隐身等级下降buff
131	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_AntiScan_Buff_son	恩赫里亚_特武2_换装1_免疫检测buff子buff
132	NPC/NT/NT_Skill1_Bullet	NT_Skill1_子弹
133	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M5_Skill_Sp2_Cg_Projectile	鸣神特武2_换装1_子弹
134	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M5_Skill_Sp2_Cg_Locksettings	鸣神特武2_换装1_锁定配置
135	NPC/NT/NT_Common_Movement	炮台自由落体
136	NPC/NPC_6v6Defense/6v6Defense_Truck3	推车路径3
137	NPC/NPC_6v6Defense/6v6Defense_Truck4	推车路径4
138	NPC/NPC_EnergyCube/Buff_EnergyCube_Line	连线buff
139	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_AddBuff	鸣神特武2_换装1_主Buff
140	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_Slow_Buff	鸣神特武2_换装1_减速Buff
141	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_LockingOff_Buff	鸣神特武2_换装1_脱锁Buff
142	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_ScreenSmoke_Buff	鸣神特武2_换装1_屏幕烟雾效果
143	Mecha/M5/M5_Skill_Change/M5_Skill_Sp3_Cg/M5_Skill_Sp3_Cg_Buff	鸣神_特武3_换装1_悬浮Buff
144	NPC/NPC_6v6Defense/6v6Defense_Truck5	推车路径5
145	NPC/NPC_EnergyCube/Buff_EnergyCube_Stoped_B	B点已停留标记buff
146	NPC/NPC_EnergyCube/Buff_EnergyCube_Stoped_C	C点已停留标记buff
147	NPC/NPC_EnergyCube/Buff_EnergyCube_Fast	据点占领加速buff
148	NPC/NPC_EnergyCube/Buff_EnergyCube_LightPost_A	A点光柱buff
149	NPC/NPC_EnergyCube/Buff_EnergyCube_LightPost_B	B点光柱buff
150	NPC/NPC_EnergyCube/Buff_EnergyCube_LightPost_C	C点光柱buff
151	BuildingDamage/Multi_Stage/damageComponent1_BrokenBigC	C区大型油罐damageComponent
152	BuildingDamage/Multi_Stage/BuildComponent1_BrokenBigC	C区大型油罐BuildComponent
153	BuildingDamage/Multi_Stage/Doodad1_Vitta	油管喷气Doodad
154	BuildingDamage/Multi_Stage/damageComponent1_Vitta	油管喷气damageComponent
155	BuildingDamage/Multi_Stage/BuildComponent1_Vitta	油管喷气BuildComponent
156	NPC/NPC_EnergyCube/NPC_Energycube_PassiveSkillComponent	被动技能组件
157	NPC/NPC_EnergyCube/NPC_EnergyCube_PassiveSkill	被动技能
158	BuildingDamage/Scene_TDS/Scene_TDS_BringBagBuff	携带炸弹表现buff
159	NPC/NPC_EnergyCube/NPC_EnergyCube_MoveComponent_Blue	移动障碍组件_蓝色
160	NPC/NPC_EnergyCube/Push6v6_Move_Blue	移动障碍路线_蓝色
161	NPC/NPC_EnergyCube/NPC_EnergyCube_MoveComponent_Red	移动障碍组件_红色
162	NPC/NPC_EnergyCube/Push6v6_Move_Red	移动障碍路线_红色
163	BuildingDamage/Scene_TDS/Scene_TDS_DelBringBaglBuff	删除携带炸弹buff表现
164	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_DodgeBuff	恩赫里亚_特武2_换装1_闪避buff
165	BuildingDamage/Scene_TDS/Scene_TDS_ShowBagBuff	显示玩家携带炸弹buff
166	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg_SustainStealthBuff_hit	恩赫里亚_特武2_换装1_受击现形buff
167	NPC/NPC_6v6Defense/6v6Defense_Truck6	推车路径6
168	NPC/NPC_EnergyCube/Buff_MoveFast	传送带
169	NPC/NR2/NR2B/Skill/NR2B_Skill1_Bullet	NR2B_Skill1_Bullet
170	TraceLine/@M3_HandWeapon_1_Skill1_Fire1_Down	龙渊攻击下坠
171	BuildingDamage/Scene_ATN/Scene_ATN_Froce1Doodad_2	Force1_2Doodad171
172	BuildingDamage/Scene_ATN/Scene_ATN_Froce2Doodad_2	Force2_2Doodad171
173	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_Locksetting	特武3_换装1_喀秋莎火箭弹_锁定
174	Level/Misizhiyan/MobilePlatform/MobilePlatformMoveComponent_P_Building_RedArea_6	A区向下开门移动组件
175	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_Locksetting_TF	特武3_换装1_喀秋莎火箭弹_锁定_炮台形态
176	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_Projectile	特武3_换装1_喀秋莎火箭弹_子弹
177	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_Projectile_TF	特武3_换装1_喀秋莎火箭弹_子弹_炮台形态
178	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_TF_Cg_CDbuff	三角龙_特武3_换装1_喀秋莎火箭弹炮台变回时检测CDBuff
179	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_CDbuff	三角龙_特武3_换装1_喀秋莎火箭弹检测CDBuff
180	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_SlowBreak	缓慢定身buff
181	Mecha/M4/M4_Change/M4_Skill_Sp3_Cg/M4_SkillB_Sp3_Cg_SlowBuff	空中禁用移动逻辑buff
182	BuildingDamage/Scene_ATN/Scene_ATN_Froce0Doodad_2	Froce0_2Doodad
183	BuildingDamage/Scene_ATN/Scene_ATN_Bag	ATN背包道具表
184	Level/Misizhiyan/MobilePlatform/MobilePlatform_P_Building_RedArea_6tds3	开合门3
185	Level/Misizhiyan/MobilePlatform/MobilePlatform_P_Building_RedArea_6tds4	开合门4
186	TraceLine/@M3_HandBladeL_Rebound1R	龙渊被弹反
187	Mecha/Common/Parry_Judge	通用盾反成功
188	NPC/NPC_6v6Defense/Buff_6v6Defense_Circle_Camp1	交矿点圆圈buff-阵营1
189	NPC/NPC_6v6Defense/Buff_6v6Defense_Circle_Camp2	交矿点圆圈buff-阵营2
190	Mecha/Common/Parry_Judge_Left	通用盾反成功左
191	NPC/NPC_EnergyCube/NPC_Energycube_InteractComponent_Camp1	交互组件-阵营1
192	NPC/NPC_EnergyCube/NPC_Energycube_InteractComponent_Camp2	交互组件-阵营2
193	NPC/NPC_EnergyCube/Skill_Energycube_CreateDoodad_Camp1	创建Doodad-阵营1
194	NPC/NPC_EnergyCube/Skill_Energycube_CreateDoodad_Camp2	创建Doodad-阵营2
195	NPC/NPC_EnergyCube/Push6v6_InteractArea	Doodad触发组件
196	NPC/NPC_EnergyCube/Skill_Energycube_DeleteDoodad	删除Doodad
197	NPC/NPC_EnergyCube/Push6v6_Doodad_Item	Doodad道具组件
198	Mecha/M12/M12_SKill_LB_Cg/M12_Skill_LB_Cg	肩扛能量炮
199	Mecha/M12/M12_SKill_LB_Cg/M12_Skill_LB_Locksetting	能量炮锁定
200	Mecha/M12/M12_SKill_LB_Cg/M12_Skill_LB_Projectile	能量炮子弹_瞬发
201	NPC/NPC_EnergyCube/Doodad_MoveComponent	Doodad移动组件
202	Mecha/Common/Parry_Abnormal	通用盾反添加异常状态
203	BuildingDamage/Scene_KMGS/Scene_KMGS_Froce0Doodad	doodad
204	BuildingDamage/Scene_KMGS/Scene_KMGS_Force0Interact	interact
205	BuildingDamage/Scene_KMGS/Scene_KMGS_BringBagBuff	buff
206	BuildingDamage/Scene_KMGS/Scene_KMGS_Bag	道具进背包
207	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_RefuseBuff	移动堡垒_拒载buff
208	BuildingDamage/Scene_StrongHold/NPC_InvincibleBuff	NPC的无敌buff
209	NPC/NT/MSMK_NT_Skill1_Shooting	MSMK_NT_Skill1_Shooting
210	NPC/NT/MSMK_NT_Skill1_Bullet	MSMK_NT_Skill1_子弹
211	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_1	一个人减伤
212	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_2	两个人减伤
213	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_3	三个人减伤
214	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_4	四个人减伤
215	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_5	五个人减伤
216	BuildingDamage/Scene_StrongHold/NPC_ReduceDmgBuff_6	六个人减伤
217	Mecha/Common/Rebound_Judge	通用弹刀状态
218	BuildingDamage/Scene_ProSS/NPC_ProSS_Line1_DVA	线路1NPC移动组件
219	TraceLine/@M12_BeatBackB1	重攻击被击轨迹线左右段
220	TraceLine/@M12_BeatBackB3	重被击轨迹线后退段
221	TraceLine/@M12_BeatBackB2	大红被击3
222	BuildingDamage/Scene_ProSS/NPC_ProSS_Line2_DVA	线路2NPC移动组件
223	NPC/NPC_EnergyCube/NPC_EnergyCube_Push6v6_Test	测试用推车
224	NPC/NPC_EnergyCube/NPC_EnergyCube_MoveComponent_Test	移动障碍组件_测试
225	NPC/NPC_EnergyCube/Push6v6_Move_Test	移动障碍路线_测试
226	NPC/NPC_EnergyCube/Doodad_Interact_Push6v6_Camp1	交互Doodad-阵营1
227	NPC/NPC_EnergyCube/Doodad_Interact_Push6v6_Camp2	交互Doodad-阵营2
228	BuildingDamage/Scene_ProSS/NPC_ProSS_Line3_DVA	线路3NPC移动组件
229	BuildingDamage/Scene_ProSS/Scene_ProSS_Line1Route	线路1NPC路线组件
230	BuildingDamage/Scene_ProSS/NPC_ProSS_Line1_StartMove	线路1NPC初始移动组件
231	Mecha/M12/M12_SKill_LB_Cg/M12_Skill_LB_Projectile_Charge	能量炮子弹_蓄力
232	BuildingDamage/Scene_ProSS/NPC_ProSS_Line2_StartMove	线路2NPC初始移动组件
233	BuildingDamage/Scene_ProSS/NPC_ProSS_Line3_StartMove	线路3NPC初始移动组件
234	Mecha/M12/M12_Skill_Change/M12_SkillB_RB_Cg2/M12_SkillB_RB_Cg2	赤霄_右键_换装2_手持护盾_主技能
235	Mecha/M12/M12_Skill_Change/M12_SkillB_RB_Cg2/M12_SkillB_RB_Cg2_Shield	赤霄_右键_换装2_手持护盾_护盾
237	NPC/NTI3/NTI3_ShieldRecover	NTI3_ShieldRecover
239	BuildingDamage/Scene_ProSS/Scene_ProSS_Line2Route	线路2NPC路线组件
240	BuildingDamage/Scene_ProSS/Scene_ProSS_Line3Route	线路3NPC路线组件
243	TraceLine/@M3_HandWeapon_1_Skill1_Fire1_Down_2	龙渊攻击下坠2
244	TraceLine/@M3_HandWeapon_1_Skill1_Fire1_Down_3	龙渊攻击下坠3
295	TraceLine/@M12_BeatBackB1_65f_02	龙渊被击左右段
296	TraceLine/@M12_BeatBackLightB1	轻攻击被击左右段
297	TraceLine/@M12_HandWeapon_1_Skill1_Fire3a	大红第三段
298	TraceLine/@M12_HandWeapon_1_Skill1_Fire1_Down	大红下劈
2001	NPC/NPC_TT1/NPC_TT1	机甲：训练场靶机
2002	NPC/NPC_TT2/NPC_TT2	机甲：训练场靶机
2003	NPC/NPC_TT3/NPC_TT3	机甲：训练场靶机
2004	NPC/NPC_TT4/NPC_TT4	机甲：训练场飞行靶机
2005	NPC/NPC_DesTest_Ray/NPC_DesTest_Ray	建筑破坏性能测试移动枪型AI
2006	NPC/NPC_DesTest_Sphere/NPC_DesTest_Sphere	建筑破坏性能测试移动范围技能型AI
2007	NPC/NPC_DesTest_OverlapSphere/NPC_DesTest_OverlapSphere	建筑破坏性能测试移动OverlaySphere型AI
2008	NPC/NPC_DesTest_Capsule/NPC_DesTest_Capsule	建筑破坏性能测试移动Capsule型AI
2009	NPC/UAV_TT1/UAV_TT1	移动框架验证用UAV
2010	NPC/NPC_Kailuo1/NPC_Kailuo1	机甲：美术开罗专用1
2011	NPC/NPC_Kailuo2/NPC_Kailuo2	机甲：美术开罗专用2
2012	NPC/NPC_Kailuo3/NPC_Kailuo3	机甲：美术开罗专用3
2013	NPC/NPC_Kailuo_Vehicle1/NPC_Kailuo_Vehicle1	机甲：美术开罗专用运输车1
2014	NPC/NPC_Kailuo_Human1/NPC_Kailuo_Human1	机甲：美术开罗专用人类1
2015	NPC/NPC_TT2/NPC_Human	新人类
2028	NPC/ArtModelTest/ArtModelTestNew	美术模型测试新模
2029	NPC/ArtModelTest/ArtModelTestOld	美术模型测试旧模
10001	Mecha/M1_202201/M1_202201	机甲M1
10002	Mecha/M2/M2	恩赫里亚机甲
10003	Mecha/M3/M3	龙渊机甲
10004	Mecha/M4/M4	大块头机甲
10005	Mecha/M5/M5	鸣神机甲
10009	Mecha/M9/M9	德拉姆机甲
10012	Mecha/M12/M12	大红机甲
10082	Test/M12/M12	大红机甲Test
10083	Mecha/M5/M5_SkillComponent	鸣神_技能组件
10084	Mecha/M5/M5_PassiveSkillComponent	鸣神_被动技能组件
10085	Mecha/M9/M9_SkillComponent	德拉姆机甲_技能组件
10086	Mecha/M9/M9_PassiveSkillComponent	德拉姆机甲_被动技能组件
10087	Mecha/M12/M12_SkillComponent	赤霄机甲_技能组件
10088	Mecha/M12/M12_PassiveSkillComponent	赤霄机甲_被动技能组件
10089	Mecha/M4/M4_SkillComponent	三角龙机甲_技能组件
10090	Mecha/M4/M4_PassiveSkillComponent	三角龙机甲_被动技能组件
10091	Mecha/M3/M3_SkillComponent	龙渊_技能组件
10092	Mecha/M3/M3_PassiveSkillComponent	龙渊_被动技能组件
10093	Mecha/M2/M2_PassiveSkillComponent	恩赫里亚_被动技能组件
10094	Mecha/M2/M2_SkillComponent	恩赫里亚_技能组件
10095	Mecha/M2/M2_UAV_PassiveSkillComponent	恩赫里亚_UAV_被动技能组件
10096	Mecha/M2/M2_UAV_SkillComponent	恩赫里亚_UAV_技能组件
30001	NPC/NPC_EnergyCube/NPC_EnergyCube	3v3争夺战车
30002	NPC/NPC_EnergyCube/Buff_EnergyCube_Blue	换模型buff
30003	NPC/NPC_EnergyCube/Buff_EnergyCube_Red	换模型buff
30004	NPC/NPC_EnergyCube/NPC_EnergyCube_MoveComponent	移动组件
30005	NPC/NPC_EnergyCube/NPC_EnergyCube_NormalMove	普通移动组件
30006	NPC/NPC_EnergyCube/Buff_EnergyCube	无敌buff
30007	NPC/NPC_EnergyCube/Buff_EnergyCube_PushLine_Blue	移动线
30008	NPC/NPC_EnergyCube/Buff_EnergyCube_PushLine_Red	移动线
30009	NPC/NPC_EnergyCube/NPC_EnergyCubeKey	3v3争夺战车密钥
30010	NPC/NPC_EnergyCube/Buff_EnergyCube_DoublePushLine_Left	移动线
30011	NPC/NPC_EnergyCube/Buff_EnergyCube_DoublePushLine_Right	移动线
30012	NPC/NPC_EnergyCube/Buff_EnergyCube_Sign_Enemy	敌人标记buff
30013	NPC/NPC_EnergyCube/Aura_EnergyCube_Enemy	敌人标记光环
30014	NPC/NPC_EnergyCube/NPC_EnergyCube_DoublePush	双推车战车
30015	NPC/NPC_EnergyCube/Buff_EnergyCube_Rush	双推车冲锋标记buff
30016	NPC/NPC_EnergyCube/Buff_EnergyCube_Circle_Stay	双车停留圆圈buff
30017	NPC/NPC_EnergyCube/Buff_EnergyCube_Circle_Move	双车移动圆圈buff
30018	NPC/NPC_EnergyCube/Buff_EnergyCube_Circle_Slow	双车减速圆圈buff
30019	NPC/NPC_EnergyCube/Doodad_EnergyCube_Key	单车密钥doodad
30020	NPC/NPC_EnergyCube/DoodadInteract_EnergyCube_Key	单车密钥doodad交互配置
30021	NPC/NPC_EnergyCube/Buff_EnergyCube_Stop	停留标记buff
30022	NPC/NPC_EnergyCube/NPC_EnergyCube_Push6v6_Blue	6v6推车
30023	NPC/NPC_EnergyCube/EnergyCube_Skill_Jump	推车跳跃技能
30024	NPC/NPC_EnergyCube/EnergyCube_Skill_BoostJump	推车跳跃技能
30025	NPC/NPC_EnergyCube/Buff_EnergyCube_Circle_SlowBack	双车减速圆圈buff
30026	Level/Push6v6/Push6v6Platform	推车平台
30027	Level/Push6v6/Push6v6Platform_MoveComponent	推车平台-移动组件
