int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	int	float	bool	bool	bool	bool	int	bool	string	enum.BagJumpType	bool	bool	int	int	int[]	float	bool	int
613026	战场清理者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613027	传奇机师	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613028	最强僚机	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613029	胜利之星	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613030	胜仗专员	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613031	超级驾驶员	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613032	战术执行官	1	1	1	1	-1	-1	1	-1			-1										1		1																20027					
613033	战地双子星	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613034	战斗信使	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613035	拦截者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613036	最终赢家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613037	沙色三连星	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613038	天降之师	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613039	征服者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613040	不动之军	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613041	战阵之主	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613042	绝对掌控者	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613043	游击者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613044	拯救者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613045	机动战术家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613046	拆卸专家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613047	尘屑清除者	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613048	阵地守备者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613049	路网掌控者	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613050	列车长	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613051	苍穹猎手	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613052	侦查先锋	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613053	维修专家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613054	神之手	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613055	外场游击手	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613056	魔弹射手	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613057	轻骑兵	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
700001	驾驶员礼包	1	1	1	1	-1	-1		-1			-1			1					7	700001	1		1							0														
700002	武装研发礼包	1	1	1	1	-1	-1		-1			-1			1					7	700002	1		1							0														
700003	配件研发礼包	1	1	1	1	-1	-1		-1			-1			1					7	700003	1		1																					
700004	抽奖道具礼包	1	1	1	1	-1	-1		-1			-1			1					7	700004	1		1																					
700005	矛隼整备套装	1	1	1	1	-1	-1		-1			-1			1					7	700005	1		1																					
700006	中级信用币礼包	1	1	1	1	-1	-1		-1			-1			1					7	700006	1		1																					
700007	高级信用币礼包	1	1	1	1	-1	-1		-1			-1			1					7	700007	1		1																					
700008	信用币兑换	1	4	1	1	-1	-1		-1			-1			1					5	101,5000,0,0	1		1																20011					
800001	奖池2抽卡道具	1	1	1	1	-1	-1	1	-1			-1										1		1			100													20002					
900001	测试赤霄核心道具	1	1	1	1	-1	-1	1	-1			-1								1		1		1	1		1													20002					
900002	德拉姆核心道具	1	1	1	1	-1	-1	1	-1			-1								1		1		1	1		1													20033					
900003	德拉姆研发配置	7	1	1	1	-1	-1		-1			-1			1					8	10009	1		1							1									20024					
910001	高能聚合装药	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910002	电磁同步线圈	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910003	超导压缩磁镜	1	3	1	1	50	100	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910004	速燃火箭引擎	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910005	感应复合材料	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910006	护盾调谐回路	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910007	电战演算芯片	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910008	蜂群决策核心	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910009	精密重载伺服	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910010	增幅同步器件	1	3	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910011	标准控制接口	1	2	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910012	感应通信链路	1	2	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910013	综合能源管线	1	2	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910014	补偿控制模块	1	2	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20033					
910015	轻型开发物料	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20034					
910016	重型开发物料	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1					0	0			研发	2	1		20034					
920001	配件研发道具1	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1									研发	2			20033					
920002	配件研发道具2	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1									研发	2			20034					
920003	配件研发道具3	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1									研发	2			20015					
930001	驾驶员手册	1	2	1	1	50	100		-1			-1										1		1	1		100									升级	1	1		20015					
931001	驾驶员操作手册	1	2	1	1	-1	-1	1	-1			-1								3	100	1		2	1		100				1					升级	1	1		20015					
6001001	维修无人机	1	2	7	0	1	6	1	-1			-1			0		1527,1630,1631|33,34,33	0	0	1		1				0		111010115		0	1			111010122					1	20003	20003	1738		1	
6001002	增设推进器	1	2	7	0	1	6	1	-1			-1			0		1644|100	0	0	1		1						337		0	1			111010124					1	20004	20004	1738		1	
6001003	机载尘屑散布器	1	1	7	0	1	6	1	-1			-1								1		1		2	1		100							111010124					1	20029		1738		1	
6001004	追踪无人机	1	1	7		1	6	1	-1			-1								1		1		2	1		100							111010124					1	20037		1738		1	
6001005	自爆引导模块	1	2	7		1	6	1	-1			-1								1		1		2	1		100							111010124						20050		1738		1	
6001006	外置解限模块	1	1	7		1	6	1	-1			-1								1		1		2	1		100							111010124					1	20055		1738		1	
100010101	“雨燕”速射炮	5	1	0		1	9999	1	-1			-1										1		2	1		100											1		20035					
100010102	连射机枪	5	1	0		1	9999	1	-1			-1										1		2	1		100											1		20029					
100010201	“胡蜂”轻型导弹	5	1	0		1	9999	1	-1			-1										1		2	1		100													20036					
100010202	“山猫”火箭发射器	5	1	0		1	9999	1	-1			-1										1		2	1		100													20002					
100010301	“全视之眼”侦查模块	5	1	0		1	9999	1	-1			-1										1		2	1		100													20037					
100010302	“啄木鸟”维修无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20038					
100010401	“瓦尔文”战术变形系统	5	1	0		1	9999	1	-1			-1										1		2	1		100													20039					
100010501	“雷鸟”重型导弹	5	1	0		1	9999	1	-1			-1										1		2	1		100													20040					
100010502	“射水鱼”浮雷布设器	5	1	0		1	9999	1	-1			-1										1		2	1		100													20041					
100010503	“椋鸟”导弹布撒器	5	1	0		1	9999	1	-1			-1										1		2	1		100													20152					
100010601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100											1		20025					
100010701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100010801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100010901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100011001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100011111	精密身管“雨燕”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100											1		20045					
100011121	增强解算单元“雨燕”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20046					
100011131	大型弹匣“雨燕”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20047					
100020101	“银斛”高速近防炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20048					
100020102	“加姆班泰因” 大剑	5	1	0		1	9999	1	-1			-1										1		2	1		100													20049					
100020103	“库里奇”霰弹炮	5	2	0		1	9999	1	-1			-1										1		2	1		100													20050					
100020104	骑士长矛	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20049					
100020201	“加姆班泰因” 大剑	5	1	0		1	9999	1	-1			-1										1		2	1		100													20049					
100020202	“古尔薇格”模块化护盾	5	1	0		1	9999	1	-1			-1										1		2	1		100													20051					
100020301	“缚狼索”火箭锚爪	5	1	0		1	9999	1	-1			-1										1		2	1		100													20052					
100020302	“杜华林”感应脉冲导弹	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20053					
100020303	“阿尔贝里希”信标无人机	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20156					
100020401	“塔因海姆”幻影系统	5	1	0		1	9999	1	-1			-1										1		2	1		100													20054					
100020402	“斯库尔”光学迷彩	5	1	0		1	9999	1	-1			-1										1		2	1		100													20055					
100020403	解限指令“骑士”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20149					
100020501	“斯莱普尼尔”感应刺针	5	1	0		1	9999	1	-1			-1										1		2	1		100													20056					
100020502	“斯瓦林”强化型流体护盾	5	1	0		1	9999	1	-1			-1										1		2	1		100													20057					
100020601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100020701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100020801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100020901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100021001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100021111	精密身管“银斛”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20058					
100021121	辅助火控单元“银斛”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20059					
100021131	大型弹匣“银斛”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20060					
100022111	M2手武器刀表现测试	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20013					
100022121	M2手武器刀把喷口表现测试	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20013					
100022131	M2手武器增幅装置表现测试	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20013					
100030101	“穿林”能量炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20061					
100030102	“陨火”突击炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20062					
100030201	“青崖”模块化护盾	5	1	0		1	9999	1	-1			-1										1		2	1		100													20063					
100030202	“陨火”突击炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20062					
100030301	“藏锋”热能剑	5	1	0		1	9999	1	-1			-1										1		2	1		100													20064					
100030302	“翼虎”高机动组件	5	1	0		1	9999	1	-1			-1										1		2	1		100													20065					
100030303	“长缨”火控模块	5	1	0		1	9999	1	-1			-1										1		2	1		100													20066					
100030401	“浇石”重型电磁炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20067					
100030402	长距离狙击炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20067					
100030403	“铁狼”炮击无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20147					
100030501	“气海”力场护盾无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20068					
100030502	“百战”空投组件	5	1	0		1	9999	1	-1			-1										1		2	1		100													30103					
100030601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100030701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100030801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100030901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100031001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100031111	收束身管“穿林”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20069					
100031121	辅助火控单元“穿林”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20070					
100031131	高容量电容“穿林”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20071					
100034111	加长身管“浇石”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20072					
100034121	辅助充能单元“浇石”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20073					
100034131	高爆箭弹弹匣“浇石”	3	1	1	0	1	1000	1	-1			-1								1		1		1																20074					
100040101	“咆哮者”转管机炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20075					
100040201	“清道夫”多弹头导弹	5	1	0		1	9999	1	-1			-1										1		2	1		100													20076					
100040202	“裁决者”转管机炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20151					
100040301	“守护者”模块化流体护盾	5	1	0		1	9999	1	-1			-1										1		2	1		100													20077					
100040302	“救火队”反射束榴弹	5	1	0		1	9999	1	-1			-1										1		2	1		100													20078					
100040401	“堡垒”战术变形系统	5	1	0		1	9999	1	-1			-1										1		2	1		100													20079					
100040402	“战车”战术变形系统	5	1	0		1	9999	1	-1			-1										1		2	1		100													20080					
100040501	“打击者”榴弹炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20081					
100040502	“唱诗班”多管火箭发射器	5	1	0		1	9999	1	-1			-1										1		2	1		100													20082					
100040503	加特林	5	1	0		1	-1	1	-1			-1										1		2	1		100													20029					
100040601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100040701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100040801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100040901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100041001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100041111	精密身管“咆哮者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20083					
