int	enum.ArmedPartsType	string	int	int[]	int[]	bool	enum.PropertyGradeType[]	int[]	enum.EntryRandomType	int[][]	int[][]	enum.EntryType[]	bool	enum.CurrencyType	int	int[]	int[]	int	LangText
100051221	2	M5主武器2瞄准镜2		100050102		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10512121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100051231	5	M5主武器2枪托2		100050102		1	1,2,3,4,5	10,20,30,20,10	1	2,1	10512131,1|10512132,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100091111	1	M9主武器1枪头1		100090101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10911111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100091121	2	M9主武器1瞄准镜2		100090101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10911121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100091131	5	M9主武器1弹夹2		100090101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10911131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100092111	1	M9副武器1枪头1		100090201		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10921111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100092121	2	M9副武器1瞄准镜2		100090201		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10921121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100092131	5	M9副武器1弹夹2		100090201		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10921131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100094111	1	M9特武二1炮头1		100090501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10941111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100094121	3	M9特武二1弹夹1		100090501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10941121,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100094131	3	M9特武二1瞄准镜1		100090501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10941131,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100121111	1	M12主武器1枪管1		100120101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11211111,1|11211112,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100121121	2	M12主武器1瞄准镜1		100120101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11211121,1|11211122,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100121131	5	M12主武器1弹夹1		100120101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11211131,1|11211132,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100122211	1	M12副武器2枪管1		100120202		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11221111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100122221	2	M12副武器2瞄准镜1		100120202		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11221121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100122231	5	M12副武器2弹夹1		100120202		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11221131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100124111	2	M12武装二1雷达1				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11241111,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100124121	4	M12武装二1散热器1				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11241121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良散热
100124131	5	M12武装二1弹夹1				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11241131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100125111	1	M12特武三1枪管2				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11251111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100125121	3	M12特武三1散热器2				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11251121,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100125131	3	M12特武三1高效装置1				1	1,2,3,4,5	10,20,30,20,10	1	1,1	11251131,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100125211	1	M12特武三2枪管1		100120502		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11252111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100125221	6	M12特武三2雷达1		100120502		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11252121,1		1	101	10	920001,920002,920003	1,1,1	1800	特殊弹药
100125231	3	M12特武三2散热器1		100120502		1	1,2,3,4,5	10,20,30,20,10	1	1,1	11252131,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
