int	string	string	int	int[]	int[]	string	string	float	int	float	int	int	int	int	float	float	int	int	float	float	int	int	int	bool	int	int	bool	int	int	int	int	int	int	int	float	bool	float	float	float	int	int	int	int	int	int	bool	bool	bool	bool	int	int	int	Vector3	Rect[]	float	Vector3	float	int	int	float	string	int[]	float	float	float	float	float	float	float	Vector3[][]	bool	string	bool	MechaTagLevel[].int	MechaTagLevel[].int	string	bool	bool	string[]	int[]	enum.NpcType	bool	bool	float	bool	enum.TeammateLockShowMode	float	enum.EntranceType	float	float	Vector3	float	float	float	Vector3	int[]	float[]	bool	int	int	bool	bool	bool	enum.UnitInteractivityType
40	Mecha/NPC/NR2/NR2A_Body_1_SkinView.model.asset	场景通用：铜斑蛇		10	29	铜斑蛇		8	40000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NR2B/NR2B_V1	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NR2B/NPC_NR2B.prefab				610180206		0		0	False	1																		0
42	Mecha/NPC/NR2/NR2A_Body_1_SkinView.model.asset	玛什马克：铜斑蛇		10	29	铜斑蛇		8	12500	0	12500	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Copperhead/BT_BW_Copperhead_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NR2B/NPC_NR2B.prefab				610180206	4			0	True	2	5	1	50	0.5	0_560_0	0.9	15	0.667	0_-200_0									0
43	Mecha/NPC/SM_Building_RedArea_6/SM_Building_RedArea_6View.model.asset	密斯之眼开合门				密斯之眼开合门		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	1	0	0	0	0	0	0	0		1	1		0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0				0	0	0	0	0	0	0							Prefabs/Entity/Level/Misizhiyan/MobliePlatform/P_Building_RedArea_6.prefab					1			0	False	1																		0
44	Mecha/NPC/6v6Defense_EnergyCube_BigModel.model.asset	6v6攻防充能球		10	26	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Server.prefab				13,82,156	1			0	False	1																		0
45	Mecha/NPC/Airship/Animation_Airship_A_01View.model.asset	场景通用：无人机		10	31	无人机		0.5	30000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_0_0	0_0_0_0	0	0_0_0	0	0	0		NPC/AirShip/AirShip	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/AirShip/NPC_AirShip.prefab				21				0	False	1																		0
47	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车1		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				125,82,156	1			0	False	1																		0
48	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车2		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				129,82,156	1			0	False	1																		0
49	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车3		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				136,82,156	1			0	False	1																		0
50	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车4		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				137,82,156	1			0	False	1																		0
51	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车5		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				144,82,156	1			0	False	1																		0
52	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	攻防推车6		10,12	26,1	推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/6v6Defense/6v6Defense_Energycube_Push	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				167,82,156	1			0	False	1																		0
53	Mecha/NPC/NT1/NTView.model.asset	玛什马克：转管机关炮		10,24	2,2	转管机关炮		8	15000	0	5000	0	0	0	1	0	0	0	0.5	3	0	500	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Spearman/BT_BW_Spearman_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT1.prefab				135	4	1	1	0	True	2																		0
56	Mecha/NPC/Airship/Animation_Airship_A_01View.model.asset	玛什马克：无人机		10	31	无人机		0.5	7500	0	7500	0	0	0	1	0	0	0	0	3	0	200	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_0_0	0_0_0_0	0	0_0_0	0	0	0		NPC/AirShip/MSMK_AirShip	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/AirShip/NPC_AirShip.prefab				21	4			0	False	2																		0
65	Mecha/NPC/NV1/NV1_1_SkinView.model.asset	场景通用：MTLS-1GI4		10	32	MTLS-1GI4		0.5	30000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_0_0	0_0_0_0	0	0_0_0	0	0	0		NPC/MechaCore/MechaCore_NV1_1_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NV1/NPC_NV1_1.prefab				319				0	False	1																		0
66	Mecha/NPC/6v6Defense_EnergyCube_BigModel.modelB.asset	6v6占点充能球		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_ServerB.prefab				13	1			0	False	1																		0
69	Mecha/NPC/M1_Mecha/Mecha_EmptyView.model.asset	矛隼特武1换装1_浮空机雷		10	35			0	999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0		1	1	1	0	0	0			0		0	0	0		SkillNPC/M1_Jilei																1				0			0	True	0																		1
70	Mecha/NPC/NT1/ProSS_NTView.model.asset	提拉桑运输线：防御炮台A		10	2			18	630000	0	150000	0	0	0	0	0	0	0	0	3	0	3500	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_9_0	0_0_0_0	0	0_0_0	0	600	0		NPC/NT/ProSS_NT_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_ProSS_NT1.prefab				331	3	1	1	0	False	2																		0
71	Mecha/NPC/NT1/NT2_1_ModelView.model.asset	场景通用：激光机关炮		10,24	34,15	苍雷激光炮		8	30000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NT/NT2_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT2.prefab				135		1	1	0	False	1																		0
72	Mecha/NPC/NTI3/NTI3CView.model.asset	提拉桑运输线：终极护卫舰车头						8	1500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3C.prefab				391	1	1	1	0	False	1																		0
73	Mecha/NPC/NTI3/NTI3DView.model.asset	提拉桑运输线：终极护卫舰1号车厢						8	1500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3D.prefab				391	1	1	1	0	False	1																		0
74	Mecha/NPC/HuoQiangShou/HuoQiangShou_CannonView.model.asset	提拉桑运输线：进攻火枪炮台		10	40			20	10000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_10_0	0_0_0_0	0	0_0_0	0	600	0		NPC/HuoQiangShou/ProSS_HuoQiangShou_Cannon_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/HuoQiangShou_Cannon_Base.prefab			Prefabs/Entity/NPC/NT/HuoQiangShou_Cannon.prefab		4	1	1	0	False	2																		0
75	Mecha/NPC/NH/QingJian.model.asset	提拉桑运输线：轻剑		10	39			14	6000	0	3750	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_7.5_0	0_0_0_0	0	0_0_0	0	0	0		NPC/QingJian/ProSS_QingJian_Main_Gun	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/QingJian/NPC_QingJian.prefab				882	4			0	False	1	5	1	200	1	0_560_0	0.9	80	2.625	0_-200_0									0
76	Mecha/NPC/6v6Defense_EnergyCube_BigModel.modelC.asset	6v6占点位		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_ServerB.prefab				13,82,156	1			0	False	1																		0
78	Mecha/NPC/6v6Defense_EnergyCube_MoveFloor.asset	6v6移动平台A		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_MoveFloor_Server.prefab				463	1			0	False	1																		0
79	Mecha/NPC/6v6Defense_EnergyCube_MoveFloor.asset	6v6移动平台B		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_MoveFloor_Server.prefab				466	1			0	False	1																		0
80	Mecha/NPC/Push6v6_UpPlatform0_ClientModel.model.asset	初始升降平台				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/NPC_Push6v6_UpPlatform	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_UpPlatform_Server.prefab				469	1			0	False	1																		0
81	Mecha/NPC/Push6v6_BornDoor_ClientModel.model.asset	初始门				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/NPC_Push6v6_BornDoor	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_BornDoor_Server.prefab				470	1			0	False	1																		0
82	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A1		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				491	1			0	False	1																		0
83	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A2		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				492	1			0	False	1																		0
84	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A3		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				493	1			0	False	1																		0
85	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A4		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				494	1			0	False	1																		0
86	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A5		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				495	1			0	False	1																		0
87	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门A6		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				496	1			0	False	1																		0
88	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B1		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				497	1			0	False	1																		0
