int	int	int	int	int[]	int[]	int
1097	1	97	4000	41	42	
1098	1	98	4000	41	42	
1099	1	99	4000	41	42	
1100	1	100	3000	41	42	41
2001	2	1	50	8	8	
2002	2	2	100	9	9	
2003	2	3	200	10	10	
2004	2	4	300	11	11	
2005	2	5	400	12	12	
2006	2	6	500	13	13	
2007	2	7	600	14	14	
2008	2	8	700	15	15	
2009	2	9	800	16	16	
2010	2	10	900	17	17	1009
3000	3	0	4000		43	
3001	3	1	4000	41	55	
3002	3	2	4000	41	42	
3003	3	3	4000	41	42	
3004	3	4	4000	41	42	
3005	3	5	4000	41	42	
3006	3	6	4000	41	42	
3007	3	7	4000	41	42	
3008	3	8	4000	41	42	
3009	3	9	4000	41	42	
3010	3	10	4000	41	42	
3011	3	11	4000	41	42	
3012	3	12	4000	41	42	
3013	3	13	4000	41	42	
3014	3	14	4000	41	42	
3015	3	15	4000	41	42	
3016	3	16	4000	41	42	
3017	3	17	4000	41	42	
3018	3	18	4000	41	42	
3019	3	19	4000	41	42	
3020	3	20	4000	41	42	
3021	3	21	4000	41	42	
3022	3	22	4000	41	42	
3023	3	23	4000	41	42	
3024	3	24	4000	41	42	
3025	3	25	4000	41	42	
3026	3	26	4000	41	42	
3027	3	27	4000	41	42	
3028	3	28	4000	41	42	
3029	3	29	4000	41	42	
3030	3	30	4000	41	42	
3031	3	31	4000	41	42	
3032	3	32	4000	41	42	
3033	3	33	4000	41	42	
3034	3	34	4000	41	42	
3035	3	35	4000	41	42	
3036	3	36	4000	41	42	
3037	3	37	4000	41	42	
3038	3	38	4000	41	42	
3039	3	39	4000	41	42	
3040	3	40	4000	41	42	
3041	3	41	4000	41	42	
3042	3	42	4000	41	42	
3043	3	43	4000	41	42	
3044	3	44	4000	41	42	
3045	3	45	4000	41	42	
3046	3	46	4000	41	42	
3047	3	47	4000	41	42	
3048	3	48	4000	41	42	
3049	3	49	4000	41	42	
3050	3	50	4000	41	42	
3051	3	51	4000	41	42	
3052	3	52	4000	41	42	
3053	3	53	4000	41	42	
3054	3	54	4000	41	42	
3055	3	55	4000	41	42	
3056	3	56	4000	41	42	
3057	3	57	4000	41	42	
3058	3	58	4000	41	42	
3059	3	59	4000	41	42	
3060	3	60	4000	41	42	
3061	3	61	4000	41	42	
3062	3	62	4000	41	42	
3063	3	63	4000	41	42	
3064	3	64	4000	41	42	
3065	3	65	4000	41	42	
3066	3	66	4000	41	42	
3067	3	67	4000	41	42	
3068	3	68	4000	41	42	
3069	3	69	4000	41	42	
3070	3	70	4000	41	42	
3071	3	71	4000	41	42	
3072	3	72	4000	41	42	
3073	3	73	4000	41	42	
3074	3	74	4000	41	42	
3075	3	75	4000	41	42	
3076	3	76	4000	41	42	
3077	3	77	4000	41	42	
3078	3	78	4000	41	42	
3079	3	79	4000	41	42	
3080	3	80	4000	41	42	
3081	3	81	4000	41	42	
3082	3	82	4000	41	42	
3083	3	83	4000	41	42	
3084	3	84	4000	41	42	
3085	3	85	4000	41	42	
3086	3	86	4000	41	42	
3087	3	87	4000	41	42	
3088	3	88	4000	41	42	
3089	3	89	4000	41	42	
3090	3	90	4000	41	42	
3091	3	91	4000	41	42	
3092	3	92	4000	41	42	
3093	3	93	4000	41	42	
3094	3	94	4000	41	42	
3095	3	95	4000	41	42	
3096	3	96	4000	41	42	
3097	3	97	4000	41	42	
3098	3	98	4000	41	42	
3099	3	99	4000	41	42	
3100	3	100	3000	41	42	41
