int	string	float	float	float	int	float	float	bool	int	int	int	enum.PilotVoiceReplyTarget
3100	Play_Diag_ig_Skill_ClickLeft_Enemy	0.3					600		4	1		
3101	Play_Diag_ig_Skill_ClickRight_Enemy	0.3					600		4	1		
3102	Play_Diag_ig_Skill_1_On_Enemy	0.3					600		4	1		2
3103	Play_Diag_ig_Skill_1_Off_Enemy	0.3					600		4	1		
3104	Play_Diag_ig_Skill_2_On_Enemy	0.3					600		4	1		
3105	Play_Diag_ig_Skill_2_Off_Enemy	0.3					600		4	1		
3106	Play_Diag_ig_Skill_3_On_Enemy	0.3					600		4	1		
3107	Play_Diag_ig_Skill_3_Off_Enemy	0.3					600		4	1		
3110	Play_Diag_ig_Skill_Melee_Enemy	0.6					600		4			
3200	Play_Diag_ig_Scene_GetTheGoal_Enemy	1		5			0		4		1203	5
3201	Play_Diag_ig_Scene_SubmitTheGoal_Enemy	1		5			0		4		1204	5
3202	Play_Diag_ig_Scene_CompleteSubmission_Enemy	1		5			0		4		1205	5
3301	Play_Diag_ig_Skill_Melee_Enemy	0.3		5			500		4			
3306	Play_Diag_ig_Behit_Heavy_Enemy	1					600		4			
3308	Play_Diag_ig_Lines_Die_Enemy	1					0		4			
3309	Play_Diag_ig_State_ShieldBreak_Enemy	0.2					500	1	4	1		
3310	Play_Diag_ig_State_CoverBreak_Enemy	0.2					500	1	4	1		
3311	Play_Diag_ig_Behit_Heavy_Enemy	1					400	0	4			
3314		0					400		4			
3315	Play_Diag_ig_Behit_Light_Enemy	0.1					600	0	4			
