int	int	enum.UIGameplayType	int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	int	bool	Vector3	Vector3
53	11	1	5636097	3131	3131	3131				3156	3156	3156		True		1_1_1
54	11	1	8716289	3132	3132	3132				3157	3157	3157		True		1_1_1
55	11	1	14942209	3133	3133	3133				3158	3158	3158		True		1_1_1
56	11	1	4456449	3134	3134	3134				3159	3159	3159		True		1_1_1
57	11	1	10682369	3135	3135	3135				3160	3160	3160		True		1_1_1
58	11	1	13762561	3136	3136	3136				3161	3161	3161		True		1_1_1
59	11	1	15663105	3139	3139	3139				3164	3164	3164		True		1_1_1
60	11	1	13565953	3140	3140	3140				3165	3165	3165		True		1_1_1
61	11	1	11337729	3141	3141	3141				3166	3166	3166		True		1_1_1
62	11	1	11206657	3142	3142	3142				3167	3167	3167		True		1_1_1
63	11	1	15335425	3143	3143	3143				3168	3168	3168		True		1_1_1
64	11	1	12124161	3144	3144	3144				3169	3169	3169		True		1_1_1
65	11	1	15204353	3145	3145	3145				3170	3170	3170		True		1_1_1
66	11	1	4063233	3146	3146	3146				3171	3171	3171		True		1_1_1
67	11	1	15466497	3147	3147	3147				3172	3172	3172		True		1_1_1
68	11	1	8519681	3148	3148	3148				3173	3173	3173		True		1_1_1
69	9	2	86	3110	3110	3110	3114	3114	3114					True	0_5_0	1_1_1
70	9	2	97	3110	3110	3110	3114	3114	3114					True	0_5_0	1_1_1
71	11	1	8323074	3103	3103	3103	3102	3102	3102	2510	2510	2510	1	True		1_1_1
72	11	1	6225922	3103	3103	3103	3102	3102	3102	2510	2510	2510	2	True		1_1_1
73	11	1	7143426	3103	3103	3103	3102	3102	3102	2510	2510	2510	3	True		1_1_1
74	11	1	1835010	3103	3103	3103	3102	3102	3102	2510	2510	2510	4	True		1_1_1
75	11	1	4915202	3103	3103	3103	3102	3102	3102	2510	2510	2510	5	True		1_1_1
76	11	1	655362	3103	3103	3103	3102	3102	3102	2510	2510	2510	6	True		1_1_1
77	11	1	3735554	3103	3103	3103	3102	3102	3102	2510	2510	2510	7	True		1_1_1
78	11	1	5636098	3103	3103	3103	3102	3102	3102	2510	2510	2510	8	True		1_1_1
79	11	1	8716290	3103	3103	3103	3102	3102	3102	2510	2510	2510	9	True		1_1_1
80	11	1	14942210	3103	3103	3103	3102	3102	3102	2510	2510	2510	10	True		1_1_1
81	11	1	4456450	3103	3103	3103	3102	3102	3102	2510	2510	2510	11	True		1_1_1
82	11	1	10682370	3103	3103	3103	3102	3102	3102	2510	2510	2510	12	True		1_1_1
83	11	1	13762562	3103	3103	3103	3102	3102	3102	2510	2510	2510	13	True		1_1_1
84	11	1	4325378	3103	3103	3103	3102	3102	3102	2510	2510	2510	14	True		1_1_1
85	11	1	1179650	3103	3103	3103	3102	3102	3102	2510	2510	2510	15	True		1_1_1
86	11	1	15663106	3103	3103	3103	3102	3102	3102	2510	2510	2510	16	True		1_1_1
87	11	1	13565954	3103	3103	3103	3102	3102	3102	2510	2510	2510	17	True		1_1_1
88	11	1	11337730	3103	3103	3103	3102	3102	3102	2510	2510	2510	18	True		1_1_1
89	11	1	11206658	3103	3103	3103	3102	3102	3102	2510	2510	2510	19	True		1_1_1
90	11	1	15335426	3103	3103	3103	3102	3102	3102	2510	2510	2510	20	True		1_1_1
91	11	1	12124162	3103	3103	3103	3102	3102	3102	2510	2510	2510	21	True		1_1_1
92	11	1	15204354	3103	3103	3103	3102	3102	3102	2510	2510	2510	22	True		1_1_1
93	11	1	4063234	3103	3103	3103	3102	3102	3102	2510	2510	2510	23	True		1_1_1
94	11	1	15466498	3103	3103	3103	3102	3102	3102	2510	2510	2510	24	True		1_1_1
95	11	1	8519682	3103	3103	3103	3102	3102	3102	2510	2510	2510	25	True		1_1_1
96	9	1	41	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
97	9	1	42	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
98	9	1	39	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
99	9	1	40	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
100	9	2	99	3110	3110	3110	3111	3111	3111					True	0_5_0	1_1_1
101	9	2	100	3110	3110	3110	3111	3111	3111					True	0_5_0	1_1_1
102	8	1	2										2	True	0_10_0	1_1_1
103	8	1	3										2	True	0_10_0	1_1_1
104	8	2	104	3111	3111	3111	3111	3111	3111				1	True	0_5_0	1_1_1
105	8	2	105	3110	3110	3110	3111	3111	3111				1	True	0_5_0	1_1_1
106	8	2	106	3110	3110	3110	3111	3111	3111				1	True	0_5_0	1_1_1
109	8	1	44	3103	3103	3103	3102	3102	3102				2	True	0_10_0	1_1_1
110	8	1	45	3103	3103	3103	3102	3102	3102				2	True	0_10_0	1_1_1
111	8	2	171	3110	3110	3110	3111	3111	3111				2	True	0_5_0	1_1_1
112	8	2	172	3110	3110	3110	3111	3111	3111				2	True	0_5_0	1_1_1
113	8	2	182	3111	3111	3111	3111	3111	3111				2	True	0_5_0	1_1_1
117	3	1	4	3103			3102						1	True	0_10_0	1_1_1
118	3	1	6	3103			3102						2	True	0_10_0	1_1_1
119	10	1	58	3108			3108						2	False	0_10_0	1.5_1.5_1.5
120	3	2	203	3110	3110	3110				2509	2509	2509		True	0_5_0	1_1_1
121	3	3	205	3106	3106	3106								True	0_5_0	1_1_1
124	13	1	2											True	0_10_0	1_1_1
125	13	1	3											True	0_10_0	1_1_1
126	13	1	44											True	0_10_0	1_1_1
127	13	1	45											True	0_10_0	1_1_1
130	2	3	244	3106	3106	3106				3106	3106	3106		True	0_5_0	1_1_1
131	2	3	243	3106	3106	3106				3106	3106	3106		True	0_5_0	1_1_1
132	13	4	60		3115	3115		3115	3115					True	0_10_0	2_2_2
133	2	3	253											True	0_25_0	1_1_1
134	10	1	59	3107	3107	3107	3109	3109	3109				5	True	0_10_0	1_1_1
135	14	1	1	3105	3105	3105								True	0_10_0	1_1_1
136	14	1	2	3105	3105	3105								True	0_10_0	1_1_1
137	14	4	61											False		1.3_1.3_1.3
138	14	4	62											False		1.3_1.3_1.3
139	14	4	63											False		1.3_1.3_1.3
140	14	4	4											False		1.3_1.3_1.3
141	14	1	3				3102	3102	3102					True	0_10_0	1_1_1
142	14	1	4				3102	3102	3102					True	0_10_0	1_1_1
143	14	1	80	3103	3103	3103							1	True	0_10_0	1_1_1
144	14	1	81	3103	3103	3103							2	True	0_10_0	1_1_1
145	14	1	82	3103	3103	3103							3	True	0_10_0	1_1_1
146	14	1	77				3102	3102	3102					True	0_10_0	1_1_1
147	14	1	78				3102	3102	3102					True	0_10_0	1_1_1
148	14	1	79				3102	3102	3102					True	0_10_0	1_1_1
149	2	4	31		3183	3184					3204	3205		True	0_22_0	2_2_2
150	2	4	38		3183	3184					3204	3205		True	0_22_0	2_2_2
151	11	2	354	3116	3116	3116									0_5_0	1_1_1
152	11	2	869	3118	3118	3118									0_5_0	1_1_1
153	11	2	111010122	3119	3119	3119									0_5_0	1_1_1
154	11	2	111010117	3117	3117	3117									0_5_0	1_1_1
155	11	2	111010124	3120	3120	3120									0_5_0	1_1_1
156	11	2	618	3121	3121	3121									0_5_0	1_1_1
157	11	2	111010131	3122	3122	3122									0_5_0	1_1_1
158	11	1	2490371							3174	3174	3174			0_5_0	1_1_1
159	11	1	12910595							3174	3174	3174			0_5_0	1_1_1
160	11	1	9240579							3174	3174	3174			0_5_0	1_1_1
161	13	1	91											True	0_10_0	1_1_1
162	13	1	92											True	0_10_0	1_1_1
163	13	1	93											True	0_10_0	1_1_1
164	13	1	94											True	0_10_0	1_1_1
165	14	1	86	3105	3105	3105	3112	3112	3112					True	0_10_0	1_1_1
166	14	1	87	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
167	14	1	88	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
168	14	1	89	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
169	14	3	405	3106	3106	3106								True	0_5_0	1_1_1
170	14	4	68	3115	3115	3115	3115	3115	3115					True	0_10_0	2_2_2
171	13	4	70			3200	3206	3206	3206					True	0_10_0	0.7_0.7_0.7
172	15	1	1	3175	3175	3175								True	0_10_0	1_1_1
173	15	1	2	3175	3175	3175								True	0_10_0	1_1_1
174	15	1	3	3175	3175	3175								True	0_10_0	1_1_1
175	15	1	4	3175	3175	3175								True	0_10_0	1_1_1
176	15	1	5	3175	3175	3175								True	0_10_0	1_1_1
177	15	1	6	3175	3175	3175								True	0_10_0	1_1_1
178	15	1	7	3175	3175	3175								True	0_10_0	1_1_1
179	15	1	8	3175	3175	3175								True	0_10_0	1_1_1
180	15	1	9	3175	3175	3175								True	0_10_0	1_1_1
181	15	1	22	3175	3175	3175								True	0_10_0	1_1_1
182	15	1	23	3175	3175	3175								True	0_10_0	1_1_1
183	15	1	24	3175	3175	3175								True	0_10_0	1_1_1
184	15	1	25	3175	3175	3175								True	0_10_0	1_1_1
185	15	1	38	3175	3175	3175								True	0_10_0	1_1_1
186	15	1	39	3175	3175	3175								True	0_10_0	1_1_1
187	15	1	40	3175	3175	3175								True	0_10_0	1_1_1
188	15	1	41	3175	3175	3175								True	0_10_0	1_1_1
189	15	1	42	3175	3175	3175								True	0_10_0	1_1_1
190	15	1	43	3175	3175	3175								True	0_10_0	1_1_1
191	15	1	44	3175	3175	3175								True	0_10_0	1_1_1
192	15	2	420											True	0_5_0	1_1_1
193	14	3	429	3106	3106	3106								True	0_5_0	1_1_1
194	14	2	401	3110	3110	3110								True	0_5_0	1_1_1
195	2	3	574		3183	3184					3204	3205		True	0_22_0	1_1_1
196	11	2	622	3177	3177	3177									0_5_0	1_1_1
197	11	2	623	3178	3178	3178									0_5_0	1_1_1
198	11	2	621	3179	3179	3179									0_5_0	1_1_1
199	11	2	619	3180	3180	3180									0_5_0	1_1_1
200	11	2	620	3181	3181	3181									0_5_0	1_1_1
201	13	4	102			3203	3203	3203	3203					True	0_10_0	0.9_0.9_0.9
202	15	1	51	3175	3175	3175								True	0_10_0	1_1_1
203	15	1	47	3175	3175	3175								True	0_10_0	1_1_1
204	15	1	10	3175	3175	3175								True	0_10_0	1_1_1
205	15	1	14	3175	3175	3175								True	0_10_0	1_1_1
206	15	1	15	3175	3175	3175								True	0_10_0	1_1_1
207	15	1	50	3175	3175	3175								True	0_10_0	1_1_1
208	15	1	48	3175	3175	3175								True	0_10_0	1_1_1
209	15	1	19	3175	3175	3175								True	0_10_0	1_1_1
210	15	1	16	3175	3175	3175								True	0_10_0	1_1_1
211	15	1	46	3175	3175	3175								True	0_10_0	1_1_1
212	15	1	12	3175	3175	3175								True	0_10_0	1_1_1
213	15	1	11	3175	3175	3175								True	0_10_0	1_1_1
214	15	1	21	3175	3175	3175								True	0_10_0	1_1_1
215	15	1	13	3175	3175	3175								True	0_10_0	1_1_1
216	15	1	45	3175	3175	3175								True	0_10_0	1_1_1
217	15	1	52	3175	3175	3175								True	0_10_0	1_1_1
218	15	1	18	3175	3175	3175								True	0_10_0	1_1_1
219	15	1	17	3175	3175	3175								True	0_10_0	1_1_1
220	15	1	20	3175	3175	3175								True	0_10_0	1_1_1
221	15	1	49	3175	3175	3175								True	0_10_0	1_1_1
222	15	1	54	3175	3175	3175								True	0_10_0	1_1_1
223	15	1	72	3175	3175	3175								True	0_10_0	1_1_1
224	15	1	58	3175	3175	3175								True	0_10_0	1_1_1
225	15	1	68	3175	3175	3175								True	0_10_0	1_1_1
226	15	1	67	3175	3175	3175								True	0_10_0	1_1_1
227	15	1	55	3175	3175	3175								True	0_10_0	1_1_1
228	15	1	57	3175	3175	3175								True	0_10_0	1_1_1
229	15	1	63	3175	3175	3175								True	0_10_0	1_1_1
230	15	1	66	3175	3175	3175								True	0_10_0	1_1_1
231	15	1	59	3175	3175	3175								True	0_10_0	1_1_1
232	15	1	70	3175	3175	3175								True	0_10_0	1_1_1
233	15	1	61	3175	3175	3175								True	0_10_0	1_1_1
234	15	1	71	3175	3175	3175								True	0_10_0	1_1_1
235	15	1	69	3175	3175	3175								True	0_10_0	1_1_1
236	15	1	60	3175	3175	3175								True	0_10_0	1_1_1
237	15	1	53	3175	3175	3175								True	0_10_0	1_1_1
238	15	1	64	3175	3175	3175								True	0_10_0	1_1_1
239	15	1	65	3175	3175	3175								True	0_10_0	1_1_1
240	15	1	62	3175	3175	3175								True	0_10_0	1_1_1
241	15	1	56	3175	3175	3175								True	0_10_0	1_1_1
242	15	1	94	3175	3175	3175								True	0_10_0	1_1_1
243	15	1	73	3175	3175	3175								True	0_10_0	1_1_1
244	15	1	77	3175	3175	3175								True	0_10_0	1_1_1
245	15	1	90	3175	3175	3175								True	0_10_0	1_1_1
246	15	1	78	3175	3175	3175								True	0_10_0	1_1_1
247	15	1	93	3175	3175	3175								True	0_10_0	1_1_1
248	15	1	91	3175	3175	3175								True	0_10_0	1_1_1
249	15	1	82	3175	3175	3175								True	0_10_0	1_1_1
250	15	1	79	3175	3175	3175								True	0_10_0	1_1_1
251	15	1	89	3175	3175	3175								True	0_10_0	1_1_1
252	15	1	75	3175	3175	3175								True	0_10_0	1_1_1
253	15	1	74	3175	3175	3175								True	0_10_0	1_1_1
254	15	1	87	3175	3175	3175								True	0_10_0	1_1_1
255	15	1	76	3175	3175	3175								True	0_10_0	1_1_1
256	15	1	88	3175	3175	3175								True	0_10_0	1_1_1
257	15	1	81	3175	3175	3175								True	0_10_0	1_1_1
258	15	1	95	3175	3175	3175								True	0_10_0	1_1_1
259	15	1	80	3175	3175	3175								True	0_10_0	1_1_1
260	15	1	86	3175	3175	3175								True	0_10_0	1_1_1
261	15	1	92	3175	3175	3175								True	0_10_0	1_1_1
262	15	1	97	3175	3175	3175								True	0_10_0	1_1_1
263	15	1	127	3175	3175	3175								True	0_10_0	1_1_1
264	15	1	113	3175	3175	3175								True	0_10_0	1_1_1
265	15	1	122	3175	3175	3175								True	0_10_0	1_1_1
266	15	1	123	3175	3175	3175								True	0_10_0	1_1_1
267	15	1	110	3175	3175	3175								True	0_10_0	1_1_1
268	15	1	112	3175	3175	3175								True	0_10_0	1_1_1
269	15	1	118	3175	3175	3175								True	0_10_0	1_1_1
270	15	1	121	3175	3175	3175								True	0_10_0	1_1_1
271	15	1	114	3175	3175	3175								True	0_10_0	1_1_1
272	15	1	125	3175	3175	3175								True	0_10_0	1_1_1
273	15	1	126	3175	3175	3175								True	0_10_0	1_1_1
274	15	1	116	3175	3175	3175								True	0_10_0	1_1_1
275	15	1	124	3175	3175	3175								True	0_10_0	1_1_1
276	15	1	115	3175	3175	3175								True	0_10_0	1_1_1
277	15	1	119	3175	3175	3175								True	0_10_0	1_1_1
278	15	1	96	3175	3175	3175								True	0_10_0	1_1_1
279	15	1	120	3175	3175	3175								True	0_10_0	1_1_1
280	15	1	117	3175	3175	3175								True	0_10_0	1_1_1
281	15	1	111	3175	3175	3175								True	0_10_0	1_1_1
282	13	1	1				3109	3109	3109				2	True	0_10_0	1.5_1.5_1.5
283	7	5	0	3186	3186									True	0_20_0	1_1_1
284	2	4	109		3183	3184								True	0_22_0	2_2_2
285	2	4	110		3183	3184								True	0_22_0	2_2_2
286	11	2	870	3192	3192	3192									0_5_0	1_1_1
287	11	2	871	3193	3193	3193									0_5_0	1_1_1
288	11	2	872	3194	3194	3194									0_5_0	1_1_1
289	11	2	873	3195	3195	3195									0_5_0	1_1_1
290	11	2	874	3196	3196	3196									0_5_0	1_1_1
291	11	2	875	3197	3197	3197									0_5_0	1_1_1
292	11	2	877	3191	3191	3191									0_5_0	1_1_1
293	11	2	863	3198	3198	3198									0_5_0	1_1_1
294	15	1	128	3175	3175	3175								True	0_10_0	1_1_1
295	15	1	129	3175	3175	3175								True	0_10_0	1_1_1
296	15	1	130	3175	3175	3175								True	0_10_0	1_1_1
297	15	1	131	3175	3175	3175								True	0_10_0	1_1_1
298	15	1	132	3175	3175	3175								True	0_10_0	1_1_1
299	15	1	133	3175	3175	3175								True	0_10_0	1_1_1
300	15	1	134	3175	3175	3175								True	0_10_0	1_1_1
301	15	1	135	3175	3175	3175								True	0_10_0	1_1_1
302	15	1	136	3175	3175	3175								True	0_10_0	1_1_1
303	15	1	137	3175	3175	3175								True	0_10_0	1_1_1
304	15	1	138	3175	3175	3175								True	0_10_0	1_1_1
305	15	1	139	3175	3175	3175								True	0_10_0	1_1_1
306	15	1	140	3175	3175	3175								True	0_10_0	1_1_1
307	15	1	141	3175	3175	3175								True	0_10_0	1_1_1
308	15	1	142	3175	3175	3175								True	0_10_0	1_1_1
309	15	1	143	3175	3175	3175								True	0_10_0	1_1_1
310	15	1	144	3175	3175	3175								True	0_10_0	1_1_1
311	15	1	145	3175	3175	3175								True	0_10_0	1_1_1
312	15	1	146	3175	3175	3175								True	0_10_0	1_1_1
313	15	1	147	3175	3175	3175								True	0_10_0	1_1_1
314	15	1	148	3175	3175	3175								True	0_10_0	1_1_1
315	15	1	149	3175	3175	3175								True	0_10_0	1_1_1
316	15	1	150	3175	3175	3175								True	0_10_0	1_1_1
317	15	1	151	3175	3175	3175								True	0_10_0	1_1_1
318	15	1	152	3175	3175	3175								True	0_10_0	1_1_1
319	15	1	153	3175	3175	3175								True	0_10_0	1_1_1
320	15	1	154	3175	3175	3175								True	0_10_0	1_1_1
321	15	1	155	3175	3175	3175								True	0_10_0	1_1_1
322	15	1	156	3175	3175	3175								True	0_10_0	1_1_1
323	15	1	157	3175	3175	3175								True	0_10_0	1_1_1
324	15	1	158	3175	3175	3175								True	0_10_0	1_1_1
325	15	1	159	3175	3175	3175								True	0_10_0	1_1_1
326	15	1	160	3175	3175	3175								True	0_10_0	1_1_1
327	15	1	161	3175	3175	3175								True	0_10_0	1_1_1
328	15	1	162	3175	3175	3175								True	0_10_0	1_1_1
329	15	1	163	3175	3175	3175								True	0_10_0	1_1_1
330	15	1	164	3175	3175	3175								True	0_10_0	1_1_1
331	15	1	165	3175	3175	3175								True	0_10_0	1_1_1
332	15	1	166	3175	3175	3175								True	0_10_0	1_1_1
333	15	1	167	3175	3175	3175								True	0_10_0	1_1_1
334	15	1	168	3175	3175	3175								True	0_10_0	1_1_1
335	15	1	169	3175	3175	3175								True	0_10_0	1_1_1
336	15	1	170	3175	3175	3175								True	0_10_0	1_1_1
337	15	1	171	3175	3175	3175								True	0_10_0	1_1_1
338	15	1	172	3175	3175	3175								True	0_10_0	1_1_1
339	15	1	173	3175	3175	3175								True	0_10_0	1_1_1
340	15	1	174	3175	3175	3175								True	0_10_0	1_1_1
341	15	1	175	3175	3175	3175								True	0_10_0	1_1_1
342	15	1	176	3175	3175	3175								True	0_10_0	1_1_1
343	15	1	177	3175	3175	3175								True	0_10_0	1_1_1
344	15	1	178	3175	3175	3175								True	0_10_0	1_1_1
345	15	1	179	3175	3175	3175								True	0_10_0	1_1_1
346	15	1	180	3175	3175	3175								True	0_10_0	1_1_1
347	15	1	181	3175	3175	3175								True	0_10_0	1_1_1
348	15	1	182	3175	3175	3175								True	0_10_0	1_1_1
349	15	1	183	3175	3175	3175								True	0_10_0	1_1_1
350	15	1	184	3175	3175	3175								True	0_10_0	1_1_1
351	15	1	185	3175	3175	3175								True	0_10_0	1_1_1
352	15	1	186	3175	3175	3175								True	0_10_0	1_1_1
353	15	1	187	3175	3175	3175								True	0_10_0	1_1_1
354	18	1	1	3103	3103	3103								True	0_10_0	1_1_1
355	11	2	930	3199	3199	3199									0_5_0	1_1_1
356	13	4	133			3201	3207	3207	3207					True	0_10_0	0.7_0.7_0.7
357	13	4	134			3202	3208	3208	3208					True	0_10_0	0.7_0.7_0.7
358	11	2	1062	3199	3199	3199									0_5_0	1_1_1
359	11	2	1144	3199	3199	3199									0_5_0	1_1_1
360	18	1	2	3103	3103	3103								True	0_10_0	1_1_1
361	18	1	5	3103	3103	3103								True	0_10_0	1_1_1
362	18	1	6	3103	3103	3103								True	0_10_0	1_1_1
363	18	4	126		3115	3115								True	0_30_0	1.5_1.5_1.5
364	18	4	127		3115	3115								True	0_30_0	1.5_1.5_1.5
365	18	4	128		3115	3115								True	0_10_0	1.5_1.5_1.5
366	18	4	122		3115	3115								True	0_1_0	1.5_1.5_1.5
367	18	4	123		3115	3115								True	0_1_0	1.5_1.5_1.5
368	18	4	124		3115	3115								True	0_1_0	1.5_1.5_1.5
369	18	4	125		3115	3115								True	0_1_0	1.5_1.5_1.5
370	11	2	1220	3199	3199	3199									0_5_0	1_1_1
371	13	4	174			3200								True	0_10_0	0.7_0.7_0.7
372	13	4	175			3201								True	0_10_0	0.7_0.7_0.7
373	13	4	176			3202								True	0_10_0	0.7_0.7_0.7
374	13	4	177			3203								True	0_10_0	0.9_0.9_0.9
376	13	1	209	3103									2	True	0_10_0	1_1_1
377	13	1	183											True	0_10_0	1_1_1
