int	string	int	int[]	int	bool	int	int	int	uint	int[]	int[]	int	int	int
10027	Assets/Art/UI/Module/Skill/Prefabs/UISkillDetailView.prefab	102	10048	0	1	0	8	2	15			20		
10028	Assets/Art/UI/Module/Battle/Prefabs/UIOperationTipsView.prefab	102		2	0	3	0	0	15		7	20		
10029	Assets/Art/UI/Module/AimmingPointer/Prefabs/UIAimmingPointerView.prefab	202		2		3	-1		15		7	20		
10030	Assets/Art/UI/Module/BattleTips/Prefabs/UIBattleTipsView.prefab	203		2		3			15		7	20		4
10031	Assets/Art/UI/Module/Hit/Prefabs/UIHitView.prefab	201		2		3			15		7	20		
10032	Assets/Art/UI/Module/BeKilled/Prefabs/UIBeKilledEffectView.prefab	202		2		4	5	0	15		7	20		
10033	Assets/Art/UI/Module/QuickMarker/Prefabs/UIQuickMarkerPlaceChoiceView.prefab	102		2	0	4		0	15		7	20		
10034	Assets/Art/UI/Module/QuickMarker/Prefabs/UIQuickMarkerView.prefab	202	1301,1302,1303,1304,1305,1309,1312,1399	2	0	4	-2	0	15		7	20		
10035	Assets/Art/UI/Module/Effect/Prefabs/UIM2SkillAfterimageView.prefab	202				0			15			20		
10036	Assets/Art/UI/Module/Effect/Prefabs/UIM2SkillD1SniperEffectView.prefab	203				0			15			20		
10038	Assets/Art/UI/Module/Landing/Prefabs/UILandingView.prefab	202		2		3			15		7	20		
10042	Assets/Art/UI/Module/Interaction/Prefabs/UIInteractionView.prefab	202		2		4			15		7	20		
10044	Assets/Art/UI/Module/Map/Prefabs/UIFullScreenMapView.prefab	103			1	1		1	15			20	1	
10045	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementResultView.prefab	102		4		0	1	0	15		7	20		
10046	Assets/Art/UI/Module/Map/Prefabs/UIMapControllerView.prefab	102		2		3		0	15			20		
10047	Assets/Art/UI/Module/Map/Prefabs/UIMinimapRadarView.prefab	202				0			15			20		
10048	Assets/Art/UI/Module/Battle/Prefabs/UIBattleBottomView.prefab	203				4	201		15			20		
10049	Assets/Art/UI/Module/Battle/Prefabs/UICoreDefenceScoreView.prefab	202				0			15			20		
10050	Assets/Art/UI/Module/Battle/Prefabs/UILongTrainDefenceScoreView.prefab	202				0			15			20		
10051	Assets/Art/UI/Module/EnemyArrow/Prefabs/UIEnemyArrowView.prefab	202		2		4	1	0	15		7	20		4
10052	Assets/Art/UI/Module/Quest/Prefabs/UIBattleQuestView.prefab	202		2		4			15			20		
10056	Assets/Art/UI/Module/Map/Prefabs/UIMiniMapView.prefab	202		2		4	1	0	15		7	20		
10058	Assets/Art/UI/Module/Quest/Prefabs/UIBattleQuestTestView.prefab	103			1	0	10		15			20		
10059	Assets/Art/UI/Module/WarPrepare/Prefabs/UIWarPrepareView.prefab	202	10017	3	1	0	51	2	15			20	2	
10060	Assets/Art/UI/Module/EnemyArrow/Prefabs/UITorpedoArrowView.prefab	202		2		4	2		15		7	20		
10061	Assets/Art/UI/Module/EnemyLock/Prefabs/UIEnemyLockWorldAnimView.prefab	5				0			15			20		
10062	Assets/Art/UI/Module/EnemyArrow/Prefabs/UIDroneArrowView.prefab	202				4	2		15			20		
10063	Assets/Art/UI/Module/Surrender/Prefabs/UISurrenderView.prefab	202		2		4			15		7	20		
10064	Assets/Art/UI/Module/Battle/Prefabs/UIBigWorldScoreView.prefab	202		2	0	0	0	0	15		4	20		
10065	Assets/Art/UI/Module/Battle/Prefabs/UIBattleMarshmackKdaView.prefab	201		2		0		0	15		11	20		
11002	Assets/Art/UI/Module/Battle/Prefabs/UIBattle3v3VirtualScoreView.prefab	202		2	0	0	0	0	15		7	21		
11203	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayIconView.prefab	203		2		3			15		7	22		
11204	Assets/Art/UI/Module/Battle/Prefabs/UISwampScoreView.prefab	202				3			15			22		
11205	Assets/Art/UI/Module/BattleScore/Prefabs/DoublePush/UIDoublePushScoreView.prefab	202				0			15			22		
11206	Assets/Art/UI/Module/BattleScore/Prefabs/ProSs/UIProSsScoreView.prefab	202				3			15			22		
11207	Assets/Art/UI/Module/BattleScore/Prefabs/DoublePush/UIShipyardScoreView.prefab	202				0			15			22		
14002	Assets/Art/UI/Module/Sortie/Prefabs/UISortiePerformanceView.prefab	201				0	1	0	15			23		
14102	Assets/Art/UI/Module/Teach/Prefabs/UITeachHUDView.prefab	201				0	0		15			24		
14204	Assets/Art/UI/Module/Equip/Prefabs/UIEquipEditView.prefab	202	1902,14203,10002,1102,14208,10059	1		4	11	2	15		5	25		
14205	Assets/Art/UI/Module/Equip/Prefabs/UIEquipAccessoryEditView.prefab	202	1902,14203,10002,1102,14204,14208,1101,10059	1		4	12	2	15		5	25		
14206	Assets/Art/UI/Module/Equip/Prefabs/UIEquipAddPresetView.prefab	202	1902,14203,10002,1102,14208,10059,14209	1		4	12	2	15		5	25		
14207	Assets/Art/UI/Module/Equip/Prefabs/UIEquipModifyPresetView.prefab	202	1902,14203,10002,1102,14208,10059	1		4	12	2	15		5	25		
14208	Assets/Art/UI/Module/Equip/Prefabs/UIEquipView.prefab	202	1902,14203,10002,1102,10053	1	1	4	12	2	15		5	25		
14209	Assets/Art/UI/Module/Equip/Prefabs/UINewEquipPresetView.prefab	202	1902,14203,10002,1102,14208,10059,1101	1		4	11	2	15		5	25		
14210	Assets/Art/UI/Module/Equip/Prefabs/UINewEquipEditView.prefab	202	1101,10059,1102	1		4	11	2	15		5	25		
14302	Assets/Art/UI/Module/Effect/Prefabs/UIDeathEffectView.prefab	203		2		3			15			26		
14303	Assets/Art/UI/Module/Effect/Prefabs/UIDistortEffectView.prefab	4		2		3			15			26		
14304	Assets/Art/UI/Module/Effect/Prefabs/UIInterferenceEffectView.prefab	4		2		3			15			26		
14305	Assets/Art/UI/Module/Effect/Prefabs/UILockAreaNoiseEffectView.prefab	4		2		3			15			26		
14306	Assets/Art/UI/Module/Effect/Prefabs/UILowHpEffectView.prefab	602		2		3			15			26		
14307	Assets/Art/UI/Module/Effect/Prefabs/UIM5SkillD1SniperEffectView.prefab	203		2		3			15			26		
14308	Assets/Art/UI/Module/Effect/Prefabs/UIShieldBrokenView.prefab	603		2		3			15			26		
14309	Assets/Art/UI/Module/Effect/Prefabs/UIShieldBrokenZView.prefab	203		2		3			15			26		
14310	Assets/Art/UI/Module/Effect/Prefabs/UIM9SkillAfterimageView.prefab	203		2		3			15			26		
14311	Assets/Art/UI/Module/Effect/Prefabs/UIM5SkillChargeUpEffectView.prefab	6		2		3			15			26		
14312	Assets/Art/UI/Module/Effect/Prefabs/UIAreaScreenDimmedView.prefab	603		2		3			15			26		
14313	Assets/Art/UI/Module/Effect/Prefabs/UIAreaScreenDimmedFriendlyEICView.prefab	4		2		3			15			26		
14314	Assets/Art/UI/Module/Effect/Prefabs/UIInterferenceEffectCopyView.prefab	4		2		3			15			26		
14315	Assets/Art/UI/Module/Effect/Prefabs/UIM2Skill1EffectView.prefab	203		2		3			15			26		
14316	Assets/Art/UI/Module/Effect/Prefabs/UIAreaScreenDimmedFriendlyView.prefab	4		2		3			15			26		
14317	Assets/Art/UI/Module/Effect/Prefabs/UIInterferenceHUDEffectView.prefab	4		2		3			15			26		
14318	Assets/Art/UI/Module/Effect/Prefabs/UIInterferenceMapEffectView.prefab	4		2		3			15			26		
14319	Assets/Art/UI/Module/Effect/Prefabs/UIM2SkillD2AfterimageView.prefab	203		2		3			15			26		
14320	Assets/Art/UI/Module/Effect/Prefabs/UILeftEdgeWarningEffectView.prefab	602		2		3			15			26		
14321	Assets/Art/UI/Module/Effect/Prefabs/UIRightEdgeWarningEffectView.prefab	602		2		3			15			26		
15002	Assets/Art/UI/Module/Recruit/Prefabs/UIRecruitModeView.prefab	103				0	104	1	15			27		
15003	Assets/Art/UI/Module/Recruit/Prefabs/UIRecruitInfoView.prefab	103				0	103	2	15			27		
15004	Assets/Art/UI/Module/Recruit/Prefabs/UIApplyRecruitView.prefab	103				0	1	1	15			27		
15005	Assets/Art/UI/Module/Recruit/Prefabs/UIMechaPreferencesView.prefab	103				0	104	1	15			27		
15006	Assets/Art/UI/Module/Recruit/Prefabs/UIRecurtSearchView.prefab	202	2410			0	91	1	15			27		
15007	Assets/Art/UI/Module/Recruit/Prefabs/UIRecruitApplyListView.prefab	103				0	1	1	15			27		
15056	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopView.prefab	202		1		4	1	2	15		5	28		
15057	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopDialogView.prefab	202		1		4	1000	1	15		5	28		
15058	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopMechaView.prefab	202	1102,1101,15056	1		4	2	2	15		5	28		
15059	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopEquipDetailView.prefab	202	1102,1101,15056	1		4	3	2	15		5	28		
15060	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopEquipView.prefab	202	1102,1101,15056,15059,14204,14210	1		4	4	2	15		5	28		
15061	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopAccessoryDetailView.prefab	202	1102,1101,15056,15059	1		4	4	2	15		5	28		
15062	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopAccessoryView.prefab	202	1102,1101,15056,15059,15061,14205	1		4	5	2	15		5	28		
15063	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopTaskListView.prefab	202	1102,1101,15056,15059,15061,14205,14204,14209,14210	1		4	6	2	15		5	28		
15065	Assets/Art/UI/Module/Develop/Prefabs/UIDevelopRewardView.prefab	202	1102,1101,15056,15059,15061,14205,14204,15063,15058,15060,15062	1		4	8	2	15		5	28		
15201	Assets/Art/UI/Module/Shop/Prefabs/UIShopGiftPreviewView.prefab	202	2008	1		0	97	2	15		5	29		
15202	Assets/Art/UI/Module/Shop/Prefabs/UIShopMoreDialogView.prefab	202				0	1000	1	15			29		
15203	Assets/Art/UI/Module/Shop/Prefabs/UIShopRechargeView.prefab	202	2008	1		4	98	2	15		5	29		
15204	Assets/Art/UI/Module/Shop/Prefabs/UIShopMonthCardPreviewView.prefab	202		1		0	99	2	15		5	29		
15205	Assets/Art/UI/Module/Shop/Prefabs/UIShopGoldGiftPreviewView.prefab	202	2008	1		0	99	2	15		5	29		
15302	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementRankView.prefab	203		4	1	4	202	2	15			30		
15303	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementAchievementView.prefab	203		4	1	0	202	2	15			30		
15304	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementBPView.prefab	203		4	1	4	202	2	15			30		
15305	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementScreenShotView.prefab	202				0			15			30		
15306	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementStatisticsView.prefab	203		4	1	4	202	2	15		7	30		
15307	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementView.prefab	203	1401,1405	4	1	0	202	2	15		7	30		
15308	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementBlackBgView.prefab	202			1	0	1		15			30		
15309	Assets/Art/UI/Module/Settlement/Prefabs/UIMvpSvpView.prefab	203			1	0			15			30		
15310	Assets/Art/UI/Module/Settlement/Prefabs/UISettlementTeamView.prefab	203			1	0			15			30		
15402	Assets/Art/UI/Module/Social/Prefabs/UIMessageBoxDialogView.prefab	103		1		0	100	1	15		5	31		
15502	Assets/Art/UI/Module/Trade/Prefabs/UITradeBuyDialogView.prefab	202		1		4	1000	1	15		5	32		
15503	Assets/Art/UI/Module/Trade/Prefabs/UITradeBuyView.prefab	202	2008	1		4	91	1	15		5	32		
15504	Assets/Art/UI/Module/Trade/Prefabs/UITradeSelectView.prefab	202	2008,15505	1		4	92	1	15		5	32		
15505	Assets/Art/UI/Module/Trade/Prefabs/UITradeOrderView.prefab	202	2008	1		4	91	1	15		5	32		
15507	Assets/Art/UI/Module/Trade/Prefabs/UITradeOrderDetailView.prefab	202	15505			0	92	1	15			32		
15508	Assets/Art/UI/Module/Trade/Prefabs/UITradeCancelOrderDialogView.prefab	202		1		4	1000	1	15		5	32		
15509	Assets/Art/UI/Module/Trade/Prefabs/UITradeOrderBuyDialogView.prefab	202		1		4	1000	1	15		5	32		
15510	Assets/Art/UI/Module/Trade/Prefabs/UITradeSortDialogView.prefab	202		1		4	1000	1	15		5	32		
15511	Assets/Art/UI/Module/Trade/Prefabs/UITradeOrderAgainView.prefab	202	15505	1		4	92	1	15		5	32		
15512	Assets/Art/UI/Module/Trade/Prefabs/UITradeJumpDialogView.prefab	203				4	1000	1	15			32		
15513	Assets/Art/UI/Module/Trade/Prefabs/UITradeCreateOrderDialogView.prefab	202		1		4	1000	1	15		5	32		
15602	Assets/Art/UI/Module/Quest/Prefabs/UIBattleMarshmackQuestView.prefab	201		2		0		0	15		11	33		
15702	Assets/Art/UI/Module/Team/Prefabs/UIBattleTeammateView.prefab	201		2		0		0	15		11	34		
