int	string	string	string
5504	atRIRBattleBehaviorD	雷达感应范围-行为D	
5505	atRIRBattleBehaviorE	雷达感应范围-行为E	
5506	atRIRBattleBehaviorF	雷达感应范围-行为F	
5507	atRIRBattleBehaviorG	雷达感应范围-行为G	
5508	atRIRBattleBehaviorH	雷达感应范围-行为H	
5509	atRIRBattleBehaviorI	雷达感应范围-行为R	
5510	atRIRBattleBehaviorT	雷达感应范围-行为J	
6001	atRIREnvironmentEffectA	雷达感应范围-环境效果A	
6002	atRIREnvironmentEffectB	雷达感应范围-环境效果B	
6003	atRIREnvironmentEffectC	雷达感应范围-环境效果C	
6004	atRIREnvironmentEffectD	雷达感应范围-环境效果D	
6005	atRIREnvironmentEffectE	雷达感应范围-环境效果E	
