int	int	uint	bool	uint	string[]	string[]	int[]	uint	string
66	10003	1015	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0		
67	10003	1016	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0		
68	10003	1017	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0		
69	10003	978	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	1	
70	10003	10380118	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
71	10012	11240901	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
72	10012	11210801	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
73	10005	72	1	610180233	命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
74	10002	10220105	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
75	10002	10220106			命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
76	10004	91	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
77	10004	96						0	
78	10005	610180233						0	
79	10009	644	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
80	10009	654	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
81	10009	10920201	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged + MechaSeparateShieldCost)	1,0	0	
82	10009	10920101	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
83	10009	10920112	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
84	10009	10920301	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
85	10001	348	1		触发率,伤害比	TempTypeID/(SingleSkillUseCount-TempTypeID),SingleSkillDamage/Damage	0,0	0	SingleSkillUseCount-TempTypeID
86	10002	723	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
87	10002	15	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	
89	10001	559						5	
90	10004	40	1		形态总时长	MechaChangedDuration	2	0	
91	10004	254	1		覆盖率	SkillImpactTime/SkillEffectTime	0	0	
92	10005	988	1		触发率,瘫痪数	TempTypeID/(SingleSkillUseCount-TempTypeID),TempTypeID2	0,1	0	SingleSkillUseCount-TempTypeID
93	10009	562	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
94	10009	738	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
95	10009	571	1		时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
96	10012	198	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
97	10012	234	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	
98	10005	692	1		命中率	SingleSkillHitBulletCount/(SingleSkillUseCount-SingleSkillSpawnBulletCount)	0	0	SingleSkillUseCount-SingleSkillSpawnBulletCount
99	10001	10180150	1		维修量,有效维修比	SkillHealthTotal,SkillHealthEffect/SkillHealthTotal	1,0	0	
101	10002	1008	1		命中率,时长	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SkillEffectTime	0,1	0	
102	10009	734	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
103	10009	741	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
104	10009	1065	1	1170	总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
105	10009	1327						0	
106	10009	1328						0	
107	10009	1170	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
108	10002	970	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	
109	10003	904	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
110	10003	905	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
111	10003	894	1		形态总时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
112	10003	909	1		形态总时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
113	10005	1021						0	
114	10009	927	1		承伤值,禁锢数	UavHurt,TempTypeID3	1,1	0	
115	10009	975						0	
116	10009	1073	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
117	10009	1095	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
118	10003	10310104	0				0,0	1	
119	10003	10350105	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0		
120	10003	10350106	0						
121	10003	10350107							
122	10003	10350108							
123	10003	10310106	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	SingleSkillUseCount-TempTypeID2
124	10003	966	0					3	
125	10003	967						3	
126	10003	968						3	
127	10003	969						3	
128	10005	992							
129	10005	1211						4	
130	10005	973						4	
131	10009	1472						4	
132	10009	1480						4	
133	10007	728	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
134	10007	730	1		命中率,同步时长	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SkillEffectTime	0,1	0	
135	10007	729	1		干扰次数	TempTypeID	1	0	
136	10007	731	1		总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
137	10007	732	1		形态总时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
138	10007	1780	1		命中率,干扰时长	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SkillEffectTime	0,1	0	
139	10007	1692	0					0	
140	10007	1702	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
141	10001	10150901	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
142	10002	1022	1		形态总时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
143	10003	1494	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	TempTypeID/2
144	10003	1374	1	1397	总伤害,伤害比	SingleSkillDamage,SingleSkillDamage/Damage	1,0	0	
145	10003	1397						0	
146	10004	1375	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
147	10003	1548						4	
148	10009	1497	1		承伤值,承伤比	SKillCreateObjHurt,SKillCreateObjHurt/(SKillCreateObjHurt+Damaged)	1,0	0	
149	10012	1458	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
150	10003	1763	1		启用率	(TempTypeID2/2)/TempTypeID	0	0	TempTypeID2/2
151	10003	10360102						5	
152	10002	1492	1		目标伤害,伤害比	SkillMarkTargetDamage,SkillMarkTargetDamage/Damage	1,0	0	
