int	string	enum.BattleTipsType	LangText	float	string[]	string[]	enum.BattleTipsColor	enum.CustomBattleTipsType	string[]
141	Event82011	2	<color=#04faf9>A点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_A		0	0	
142	Event82012	2	<color=#04faf9>B点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_B		0	0	
143	Event82013	2	<color=#04faf9>C点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_C		0	0	
144	Event82001	2	<color=#04faf9>A点</color>密钥已投放	4	Play_Vox_EIC_Generate_A		0	0	
145	Event82002	2	<color=#04faf9>B点</color>密钥已投放	4	Play_Vox_EIC_Generate_B		0	0	
146	Event82003	2	<color=#04faf9>C点</color>密钥已投放	4	Play_Vox_EIC_Generate_C		0	0	
147	Event80020	0	作战目标：确保<color=#04faf9>密钥设备</color>，提交至<color=#04faf9>中央发射井</color>以控制设施	6	Play_Vox_Mission_Start		0	0	
148	Event80052	2	<color=#04faf9>B点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_B		0	0	
149	Event58000	2	<color=#04faf9>维修装置</color>还有<color=#fddb8b>30秒</color>投放	4	Play_Vox_Airdrop_Deploying_In_30_Seconds		0	0	
150	Event58001	2	<color=#04faf9>维修装置</color>即将投放	4	Play_Vox_Airdrop_Deployed		0	0	
151	Event83011	2	<color=#04faf9>A点</color>密钥已发出，<color=#fddb8b>10秒</color>后投放	4	Play_Vox_EIC_Countdown10_A		0	0	
152	Event83012	2	<color=#04faf9>B点</color>密钥已发出，<color=#fddb8b>10秒</color>后投放	4	Play_Vox_EIC_Countdown10_B		0	0	
153	Event83013	2	<color=#04faf9>C点</color>密钥已发出，<color=#fddb8b>10秒</color>后投放	4	Play_Vox_EIC_Countdown10_C		0	0	
154	Event80051	2	<color=#04faf9>A点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_A		0	0	
155	Event80053	2	<color=#04faf9>C点</color>密钥已发出，<color=#fddb8b>60秒</color>后投放	4	Play_Vox_EIC_Countdown60_C		0	0	
156	Event30050	2	作战目标：占领晶体矿场，夺取小矿井产出的晶体，累积积分赢得胜利	10			0	0	
157	Event30051	2	<color=#04faf9>1号矿井</color>已开始采集晶体，<color=#fddb8b>60秒</color>后晶体即将产出	2			0	0	
158	Event30052	2	<color=#04faf9>1号矿井</color>已开始采集晶体，<color=#fddb8b>30秒</color>后晶体即将产出	3			0	0	
159	Event30053	0	<color=#04faf9>1号矿井</color>晶体产出	3			0	0	
160	Event30054	2	<color=#04faf9>1号矿井</color>的晶体已经被<color=#04faf9>%sn</color>夺取	3			0	0	
161	Event30055	2	<color=#04faf9>2号矿井</color>已开始采集晶体，<color=#fddb8b>60秒</color>后晶体即将产出	3			0	0	
162	Event30056	2	<color=#04faf9>2号矿井</color>已开始采集晶体，<color=#fddb8b>30秒</color>后晶体即将产出	3			0	0	
163	Event30057	0	<color=#04faf9>2号矿井</color>晶体产出	3			0	0	
164	Event30058	2	<color=#04faf9>2号矿井</color>的晶体已经被<color=#04faf9>%sn</color>夺取	3			0	0	
165	Event30059	2	<color=#04faf9>3号矿井</color>已开始采集晶体，<color=#fddb8b>60秒</color>后晶体即将产出	3			0	0	
166	Event30060	2	<color=#04faf9>3号矿井</color>已开始采集晶体，<color=#fddb8b>30秒</color>后晶体即将产出	3			0	0	
167	Event30061	0	<color=#04faf9>3号矿井</color>晶体产出	3			0	0	
168	Event30062	2	<color=#04faf9>3号矿井</color>的晶体已经被<color=#04faf9>%sn</color>夺取	3			0	0	
169	Event30069	2	<color=#04faf9>B点晶体矿场</color>被夺取后可以稳定产出矿石	5			0	0	
170	Event619619	2	进入加时阶段，率先获得2分的阵营立刻获胜	4			0	0	
171	Event10020	2		0			0	0	
172	Event10030	2		0		Play_UI_Battle_Assist	0	0	
173	Event10070	2		0			0	0	
174	Event10090	2		0			0	0	
175	Event10110	2		0			0	0	
176	Event10130	2		0			0	0	
177	Event10140	2		0			0	0	
178	Event10150	2		0			0	0	
179	MineralPickProcess	0	系统正在解锁密钥 %s	999			0	1	
180	Event10160	2		0			0	0	
181	Event10170	2		0			0	0	
182	Event10180	2		0			0	0	
183	Event10190	2		0			0	0	
184	Event10200	2		0			0	0	
185	Event10210	2		0			0	0	
186	Event10220	2	%sn%sh完成了最后一击	2			0	0	
187	Event10230	2	%sn%sh完成了复仇	2			0	0	
188	Event10240	2	%sn%sh成为了救星	2			0	0	
189	Event10250	2	%sn%sh技高一筹	2			0	0	
190	Event10260	2	%sn%sh达成你瞅啥	2			0	0	
191	Event10270	2	%sn%sh成为了生存大师	2			0	0	
192	Event10280	2	%sn%sh达成了还有谁	2			0	0	
193	Event10290	2	%sn%sh达成了便当王	2			0	0	
194	Event10300	2	%sn%sh成为了死神	2			0	0	
195	Event84000	1	我方已确保密钥，请提供掩护	3	Play_Vox_EIC_Teammate_Get,SetState_Interact_State_1_None,SetState_Interact_State_2_On		1	0	
196	Event84001	1	警告！密钥被敌方夺取，请立即拦截	3	Play_Vox_EIC_Enemy_Get,SetState_Interact_State_1_None,SetState_Interact_State_2_On		2	0	
197	Event84002	1	我方密钥数据已核验	3	Play_Vox_EIC_Teammate_Upload,SetState_Interact_State_3_None,SetState_Interact_State_4_On	Play_UI_EIC_Code_Submit	1	0	
198	Event84003	1	拦截失败，敌方已上传数据	3	Play_Vox_EIC_Enemy_Upload,SetState_Interact_State_3_None,SetState_Interact_State_4_On	Play_UI_Enemy_EIC_Code_Submit	2	0	
199	Event84004	1	任务机被击落，我方秘钥被毁	3	Play_Vox_EIC_Teammate_Destroy,SetState_Die_Y		2	0	
200	Event84005	1	敌方任务机已摧毁，拦截成功	3	Play_Vox_EIC_Enemy_Destroy,SetState_Die_Y		1	0	
201	Event84046	0	已成功上传密钥	3	Play_Vox_Security_Data_Verified,SetState_Interact_State_3_None,SetState_Interact_State_4_On	Play_UI_EIC_Code_Submit	0	0	
202	Event84045	0	已确保密钥设备，请递送至中央发射井	6	Play_Vox_Key_Deliver_Notice,SetState_Interact_State_1_None,SetState_Interact_State_2_On		0	0	
203	Event84047	1	我方已接入发射井	3	Play_Vox_Ally_Accessed_To_The_Drill,SetState_Interact_State_2_None,SetState_Interact_State_3_On,SetState_Interact_State_1_None		1	0	SetState_Interact_State_Level_1，SetState_Interact_State_Level_2，SetState_Interact_State_Level_3
204	Event84048	1	敌方正在侵入发射井	3	Play_Vox_Enemy_Is_Hacking_Into_The_Drill,SetState_Interact_State_2_None,SetState_Interact_State_3_On,SetState_Interact_State_1_None		2	0	SetState_Interact_State_Level_1，SetState_Interact_State_Level_2，SetState_Interact_State_Level_3
205	Event84049	0	密钥设备已接入发射井	3	Play_Vox_Key_Device_Accessed_To_The_Drill,SetState_Interact_State_2_None,SetState_Interact_State_3_On,SetState_Interact_State_1_None		0	0	SetState_Interact_State_Level_1，SetState_Interact_State_Level_2，SetState_Interact_State_Level_3
206	Event84050	0	密钥设备已接入发射井	9999	Play_Vox_Key_Device_Accessed_To_The_Drill,SetState_Interact_State_2_None,SetState_Interact_State_3_On		0	2	SetState_Interact_State_Level_1，SetState_Interact_State_Level_2，SetState_Interact_State_Level_3
207	Event82021	2	<color=#04faf9>A点</color>密钥已发出，<color=#fddb8b>30秒</color>后投放	4	Play_Vox_EIC_Countdown30_A		0	0	
208	Event82022	2	<color=#04faf9>B点</color>密钥已发出，<color=#fddb8b>30秒</color>后投放	4	Play_Vox_EIC_Countdown30_B		0	0	
209	Event82023	2	<color=#04faf9>C点</color>密钥已发出，<color=#fddb8b>30秒</color>后投放	4	Play_Vox_EIC_Countdown30_C		0	0	
210	Event629001	2		0			0	0	
211	Event629002	2		0			0	0	
212	Event629003	2		0			0	0	
213	Event629004	1		0			1	0	
214	Event629005	1	我方正与<color=#46cbfc>B点</color>管控设备对接通讯频段	3	Play_Vox_We_Are_Taking_Objective_B		1	0	
215	Event629006	1		0			1	0	
216	Event629007	1		0			1	0	
217	Event629008	1	我方开始接收<color=#46cbfc>B点</color>监控设备数据	3	Play_Vox_We_Have_Taken_Objective_B		1	0	
218	Event629009	1		0			1	0	
219	Event629010	1	我方接管<color=#46cbfc>全部区域</color>，检索效率提升	3	Play_Vox_We_Control_All_Objectives		1	0	
220	Event629011	1		0			1	0	
221	Event629012	1	我方正切断敌方与<color=#46cbfc>B点</color>管控设备通讯	3	Play_Vox_We_Are_Taking_Enemies_Objective_B		1	0	
222	Event629013	1		0			1	0	
223	Event629014	1		0			2	0	
224	Event629015	1	敌方正与<color=#f74a59>B点</color>管控设备对接通讯频段	3	Play_Vox_Enemies_Are_Taking_Objective_B		2	0	
225	Event629016	1		0			2	0	
226	Event629017	1		0			2	0	
227	Event629018	1	敌方开始接收<color=#f74a59>B点</color>管控设备数据	3	Play_Vox_Enemies_Have_Taken_Objective_B		2	0	
228	Event629019	1		0			2	0	
229	Event629020	1	敌方接管<color=#f74a59>全部区域</color>，检索效率提升	3	Play_Vox_Enemies_Control_All_Objectives		2	0	
230	Event629021	1		0			2	0	
231	Event629022	1	敌方正切断我方与<color=#f74a59>B点</color>管控设备通讯	3	Play_Vox_Enemies_Are_Taking_Our_Objective_B		2	0	
232	Event629023	1		0			2	0	
233	Event6191001	1	我方正与<color=#46cbfc>采集区</color>主控制台对接通讯频段	3	Play_Vox_We_Collection_Abutment_The_Communication		1	0	
234	Event6191002	1	敌方正与<color=#f74a59>采集区</color>主控制台对接通讯频段	3	Play_Vox_Enemies_Collection_Abutment_The_Communication		2	0	
235	Event6191011	1	我方正与<color=#46cbfc>凝练区</color>主控制台对接通讯频段	3	Play_Vox_We_Coagulation_Abutment_The_Communication		1	0	
236	Event6191012	1	敌方正与<color=#f74a59>凝练区</color>主控制台对接通讯频段	3	Play_Vox_Enemies_Coagulation_Abutment_The_Communication		2	0	
237	Event6191003	1	我方已接管<color=#46cbfc>采集区</color>主控制台，开始上传入侵数据	3	Play_Vox_We_Have_Taken_Main_Console_Of_Collection		1	0	
238	Event6191004	1	敌方已接管<color=#f74a59>采集区</color>主控制台，开始上传入侵数据	2	Play_Vox_Enemies_Have_Taken_Main_Console_Of_Collection		2	0	
239	Event6191013	1	我方已接管<color=#46cbfc>凝练区</color>主控制台，开始上传入侵数据	3	Play_Vox_We_Have_Taken_Main_Console_Of_Coagulation		1	0	
240	Event6191014	1	敌方已接管<color=#f74a59>凝练区</color>主控制台，开始上传入侵数据	3	Play_Vox_Enemies_Have_Taken_Main_Console_Of_Coagulation		2	0	
241	Event6191005	1	我方成功夺回<color=#46cbfc>采集区</color>主控制台，开始对接通讯频段	3	Play_Vox_We_Recapture_Main_Console_Of_Collection		1	0	
242	Event6191006	1	敌方夺取了<color=#f74a59>采集区</color>主控制台，开始对接通讯频段	3	Play_Vox_Enemies_Recapture_Main_Console_Of_Collection		2	0	
243	Event6191015	1	我方成功夺回<color=#46cbfc>凝练区</color>主控制台，开始对接通讯频段	3	Play_Vox_We_Recapture_Main_Console_Of_Coagulation		1	0	
244	Event6191016	1	敌方夺取了<color=#f74a59>凝练区</color>主控制台，开始对接通讯频段	3	Play_Vox_Enemies_Recapture_Main_Console_Of_Coagulation		2	0	
245	Event6191021	2	<color=#04faf9>A点</color>的备用控制台已准备就绪	4	Play_Vox_The_Standby_Is_Ready_A		0	0	
246	Event6191022	2	<color=#04faf9>A点</color>的备用控制台还有<color=#04faf9>30秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_30_Seconds_A		0	0	
247	Event6191023	2	<color=#04faf9>A点</color>的备用控制台还有<color=#04faf9>60秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_60_Seconds_A		0	0	
248	Event6191031	2	<color=#04faf9>B点</color>的备用控制台已准备就绪	4	Play_Vox_The_Standby_Is_Ready_B		0	0	
249	Event6191032	2	<color=#04faf9>B点</color>的备用控制台还有<color=#04faf9>30秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_30_Seconds_B		0	0	
250	Event6191033	2	<color=#04faf9>B点</color>的备用控制台还有<color=#04faf9>60秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_60_Seconds_B		0	0	
251	Event6191051	0	数据发送中	2	Play_Vox_Data_Sending		0	0	
252	Event6191052	0	数据成功发送	3	Play_Vox_Data_Sent_Successfully		0	0	
253	Event6191053	1	我方成功发送一组数据	3	Play_Vox_We_Sent_Data_Successfully		1	0	
254	Event6191054	1	敌方成功发送一组数据	3	Play_Vox_Enemies_Sent_Data_Successfully		2	0	
255	Event6191041	2	<color=#04faf9>C点</color>的备用控制台已准备就绪	4	Play_Vox_The_Standby_Is_Ready_C		0	0	
256	Event6191042	2	<color=#04faf9>C点</color>的备用控制台还有<color=#04faf9>30秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_30_Seconds_C		0	0	
257	Event6191043	2	<color=#04faf9>C点</color>的备用控制台还有<color=#04faf9>60秒</color>就绪	4	Play_Vox_The_Standby_Is_Ready_In_60_Seconds_C		0	0	
258	Event6191000	0	作战目标：利用<color=#04faf9>控制台</color>上传数据，侵入管理中枢<color=#04faf9>控制该地区</color>	10	Play_Vox_Intrusion_Management_Center_Controls		0	0	
259	Event30010	2	作战目标：击败敌方夺取密匙，开启空投的设备集装箱	3			0	0	
260	Event30011	2	<color=#04faf9>A点</color>空投设备集装箱已发出，<color=#fddb8b>30秒</color>后投放	3			0	0	
261	Event30012	2	<color=#04faf9>A点</color>空投设备集装箱已到位	0			0	0	
262	Event30013	2	<color=#04faf9>B点</color>空投设备集装箱已发出，<color=#fddb8b>30秒</color>后投放	3			0	0	
263	Event30014	2	<color=#04faf9>B点</color>空投设备集装箱已到位	0			0	0	
264	Event30015	2	<color=#04faf9>C点</color>空投设备集装箱已发出，<color=#fddb8b>30秒</color>后投放	3			0	0	
265	Event30016	2	<color=#04faf9>C点</color>空投设备集装箱已到位	0			0	0	
266	Event30017	2	<color=#04faf9>红方</color>成功开启了空投设备集装箱	0			0	0	
267	Event30018	2	<color=#04faf9>蓝方</color>成功开启了空投设备集装箱	0			0	0	
268	Event30019	2	<color=#04faf9>红方机甲</color>已夺取敌方<color=#04faf9>蓝方</color>的密匙，获胜机甲可以前往打开空投设备集装箱	3			0	0	
269	Event30020	2	<color=#04faf9>蓝方机甲</color>已夺取敌方<color=#04faf9>红方</color>的密匙，获胜机甲可以前往打开空投设备集装箱	0			0	0	
270	Event30030	2	作战目标：击败敌方积累<color=#04faf9>战斗记录</color>，在<color=#04faf9>上传设备</color>上传数据获得积分	6			0	0	
271	Event30031	2	<color=#04faf9>战斗记录上传设备A</color>已激活，<color=#fddb8b>20秒</color>后可以上传记录	3			0	0	
272	Event30032	2	<color=#04faf9>战斗记录上传设备A</color>已激活，<color=#fddb8b>20秒</color>后设备将关闭	3			0	0	
273	Event30033	2	<color=#04faf9>战斗记录上传设备A</color>将于<color=#04faf9>10秒</color>后关闭	3			0	0	
274	Event30034	2	<color=#04faf9>战斗记录上传设备A</color>已关闭	3			0	0	
275	Event30035	2	<color=#04faf9>B点</color>上传设备已激活，<color=#fddb8b>30秒</color>后可以上传徽章	2			0	0	
276	Event30036	2	<color=#04faf9>B点</color>上传设备已激活	3			0	0	
277	Event30037	2	<color=#04faf9>B点</color>上传设备已过热，<color=#fddb8b>30秒</color>后设备将关闭	3			0	0	
278	Event30038	2	<color=#04faf9>B点</color>上传设备已关闭	3			0	0	
279	Event30039	2	<color=#04faf9>C点</color>上传设备已激活，<color=#fddb8b>30秒</color>后可以上传徽章	3			0	0	
280	Event30040	2	<color=#04faf9>C点</color>上传设备已激活	3			0	0	
281	Event30041	2	<color=#04faf9>C点</color>上传设备已过热，<color=#fddb8b>30秒</color>后设备将关闭	3			0	0	
282	Event30042	2	<color=#04faf9>C点</color>上传设备已关闭	3			0	0	
283	Event30043	2	<color=#04faf9>红方</color>成功上传了战斗记录	2			0	0	
284	Event30044	2	<color=#04faf9>蓝方</color>成功上传了战斗记录	3			0	0	
285	Event30045	2	<color=#04faf9>%sn</color>连续击破了2架敌方机甲，<color=#04faf9>大杀特杀</color>中，上传战斗记录成功可获得<color=#04faf9>2倍</color>积分	3			0	0	
286	Event30046	2	<color=#04faf9>%sn</color>连续击破了3架敌方机甲，它已经<color=#04faf9>主宰比赛</color>，上传战斗记录成功可获得<color=#04faf9>3倍</color>积分	3			0	0	
287	Event30047	2	<color=#04faf9>%sn</color>连续击破了4架敌方机甲，它已经<color=#04faf9>无人能挡</color>，上传战斗记录成功可获得<color=#04faf9>4倍</color>积分	3			0	0	
288	Event30048	2	<color=#04faf9>%sn</color>连续击破了5架敌方机甲，它已经<color=#04faf9>如神一般</color>，上传战斗记录成功可获得<color=#04faf9>5倍</color>积分	3			0	0	
289	Event30049	2	<color=#04faf9>%sn</color>连续击破了6架敌方机甲，它已经<color=#04faf9>超越神了</color>，上传战斗记录成功可<color=#04faf9>直接获胜</color>	3			0	0	
290	Event88888888	1	%s	3			2	0	
