int	string	uint	uint	string	string
190	Intel Core i7-10700KF @ 3.80GHz	19014	3056	台式机	intel core 17-10700kf
191	Intel Core i3-1215UE	8987	3055	台式机	intel core i3-1215ue
192	Intel Core i7-1250U	13234	3055	笔记本	intel core i7-1250u
193	AMD Ryzen 7 5800U	18736	3050	笔记本	amd ryzen 7 5800u
194	Intel Core i9-10900 @ 2.80GHz	20235	3049	台式机	intel core i9-10900
195	AMD Ryzen 5 5500	19493	3047	台式机	amd ryzen 5 5500
196	Intel Core i5-11400H @ 2.70GHz	15943	3046	笔记本	intel core i5-11400h
197	Intel Pentium Gold G7400	6766	3046	台式机	intel pentium gold g7400
198	AMD Ryzen 7 5800HS	20571	3044	笔记本	amd ryzen 7 5800hs
199	Intel Core i5-11400 @ 2.60GHz	17076	3044	台式机	intel core i5-11400
200	Intel Core i9-9900KS @ 4.00GHz	19571	3040	台式机	intel core i9-9900ks
201	Intel Core i7-11375H @ 3.30GHz	12260	3040	笔记本	intel core i7-11375h
202	AMD Ryzen 7 5825U	18340	3036	笔记本	amd ryzen 7 5825u
203	AMD Ryzen 7 PRO 5850U	17298	3035	笔记本	amd ryzen 7 pro 5850u
204	AMD Ryzen 3 5300G	13016	3031	台式机	amd ryzen 3 5300g
205	Intel Xeon W-1270 @ 3.40GHz	17707	3021	台式机	intel xeon w-1270
206	Intel Core i5-11400F @ 2.60GHz	17181	3015	台式机	intel core i5-11400f
207	Intel Xeon W-1250P @ 4.10GHz	14582	3006	台式机	intel xeon w-1250p
208	Intel Xeon W-1270E @ 3.40GHz	18635	2990	台式机	intel xeon w-1270e
209	AMD EPYC 7443	51764	2987	台式机	amd epyc 7443
210	Intel Core i7-11370H @ 3.30GHz	11946	2985	笔记本	intel core i7-11370h
211	Intel Core i7-1265UE	9392	2976	笔记本	intel core i7-1265ue
212	Intel Xeon W-1290T @ 1.90GHz	18409	2974	台式机	intel xeon w-1290t
213	Intel Core i9-9990XE @ 4.00GHz	30162	2970	台式机	intel core i9-9990xe
214	Intel Core i9-10900E @ 2.80GHz	20658	2969	台式机	intel core i9-10900e
215	AMD Ryzen 5 PRO 5650U	15061	2966	笔记本	amd ryzen 5 pro 5650u
216	AMD Ryzen 5 5600H	17143	2965	笔记本	amd ryzen 5 5600h
217	Intel Xeon W-1250E @ 3.50GHz	13888	2960	台式机	intel xeon w-1250e
218	Intel Xeon E-2278G @ 3.40GHz	16964	2958	台式机	intel xeon e-2278g
219	Intel Core i7-11390H @ 3.40GHz	10518	2956	笔记本	intel core i7-11390h
220	AMD EPYC 7443P	57621	2952	台式机	amd epyc 7443p
221	Intel Core i9-9900KF @ 3.60GHz	18527	2950	台式机	intel core i9-9900kf
222	Intel Core i9-9900K @ 3.60GHz	18581	2949	台式机	intel core i9-9900k
223	Intel Core i9-9900K @ 3.60GHz	18581	2949	台式机	intel core i9 9900k
224	Intel Core i9-9900K @ 3.60GHz	18581	2949	台式机	intel core i9-9900k v3
225	Intel Core i9-9900K @ 3.60GHz	18581	2949	台式机	intel xeon i9-9900k
226	Intel Core i9-9900K @ 3.60GHz	18581	2949	台式机	intelcore i9-9900k
227	Intel Core i5-11260H @ 2.60GHz	15684	2947	笔记本	intel core i5-11260h
228	Intel Core i5-10600KF @ 4.10GHz	14486	2946	台式机	intel core i5-10600kf
229	Intel Core i5-11320H @ 3.20GHz	11001	2944	笔记本	intel core i5-11320h
230	AMD Ryzen 3 5425U	11497	2942	笔记本	amd ryzen 3 5425u
231	AMD Ryzen 7 PRO 5875U	15600	2939	笔记本	amd ryzen 7 pro 5875u
232	Intel Core i5-10600K @ 4.10GHz	14470	2933	台式机	intel core i5-10600k
233	Intel Pentium Gold 8505	7600	2931	笔记本	intel pentium gold 8505
234	AMD EPYC 74F3	60472	2926	台式机	amd epyc 74f3
235	Intel Core i5-10600 @ 3.30GHz	13777	2925	台式机	intel core i5-10600
236	Intel Core i7-11700T @ 1.40GHz	15823	2925	台式机	intel core i7-11700t
237	Intel Core i7-10700 @ 2.90GHz	16770	2919	台式机	intel core i7-10700
238	Intel Core i7-11850HE @ 2.60GHz	18335	2918	台式机	intel core i7-11850he
239	Intel Core i7-10700F @ 2.90GHz	16966	2917	台式机	intel core i7-10700f
240	Intel Xeon E-2288G @ 3.70GHz	17418	2913	台式机	intel xeon e-2288g
241	Intel Core i3-11100B @ 3.60GHz	11357	2912	台式机	intel core i3-11100b
242	Intel Xeon E-2314 @ 2.80GHz	8187	2911	台式机	intel xeon e-2314
243	AMD Ryzen 5 5600U	15368	2905	笔记本	amd ryzen 5 5600u
244	Intel Core i7-9700KF @ 3.60GHz	14369	2900	台式机	intel core i7-9700kf
245	AMD Ryzen 5 PRO 5675U	14498	2898	笔记本	amd ryzen 5 pro 5675u
246	Intel Core i7-10700E @ 2.90GHz	16418	2896	笔记本	intel core i7-10700e
247	Intel Core i5-1155G7 @ 2.50GHz	10124	2892	笔记本	intel core i5-1155g7
248	Intel Core i7-9700K @ 3.60GHz	14550	2892	台式机	intel core i7-9700k
249	Intel Core i7-9700K @ 3.60GHz	14550	2892	台式机	intel core evo i7-9700k
250	Intel Core i7-9700K @ 3.60GHz	14550	2892	台式机	intel core i7 9700k
251	Intel Core i7-9700K @ 3.60GHz	14550	2892	台式机	intel corei7-9700k
252	Intel Core i5-11600T @ 1.70GHz	14713	2887	台式机	intel core i5-11600t
253	AMD Ryzen 5 5625U	14928	2885	笔记本	amd ryzen 5 5625u
254	Intel Core i3-10325 @ 3.90GHz	10362	2881	台式机	intel core i3-10325
255	AMD EPYC 73F3	46085	2878	台式机	amd epyc 73f3
256	Intel Core i7-8086K @ 4.00GHz	14498	2876	台式机	intel core i7-8086k
257	Intel Xeon E-2276G @ 3.80GHz	13575	2874	台式机	intel xeon e-2276g
258	Intel Xeon E-2234 @ 3.60GHz	9903	2871	台式机	intel xeon e-2234
259	Intel Core i9-9900 @ 3.10GHz	16763	2854	台式机	intel core i9-9900
260	Intel Core i7-1165G7 @ 2.80GHz	10457	2853	笔记本	intel core i7-1165g7
261	Intel Core i3-10320 @ 3.80GHz	10063	2849	台式机	intel core i3-10320
262	Intel Xeon W-1250 @ 3.30GHz	13801	2849	台式机	intel xeon w-1250
263	Intel Core i5-10505 @ 3.20GHz	12317	2847	台式机	intel core i5-10505
264	Intel Core i5-11300H @ 3.10GHz	11101	2845	笔记本	intel core i5-11300h
265	Intel Xeon E-2236 @ 3.40GHz	14297	2844	台式机	intel xeon e-2236
266	Intel Core i7-1185G7 @ 3.00GHz	10705	2843	笔记本	intel core i7-1185g7
267	AMD Ryzen 3 PRO 5475U	11337	2838	笔记本	amd ryzen 3 pro 5475u
268	Intel Core i9-10980HK @ 2.40GHz	15980	2835	笔记本	intel core i9-10980hk
269	Intel Xeon E-2286G @ 4.00GHz	13647	2835	台式机	intel xeon e-2286g
270	Intel Xeon W-2265 @ 3.50GHz	26052	2829	台式机	intel xeon w-2265
271	Intel Xeon E-2246G @ 3.60GHz	14050	2825	台式机	intel xeon e-2246g
272	Intel Xeon E-2226G @ 3.40GHz	11036	2824	台式机	intel xeon e-2226g
273	AMD Ryzen 7 3800XT	23747	2809	台式机	amd ryzen 7 3800xt
274	Intel Xeon W-11865MLE @ 1.50GHz	15958	2808	台式机	intel xeon w-11865mle
275	Intel Core i5-1145G7 @ 2.60GHz	10113	2805	笔记本	intel core i5-1145g7
276	AMD Ryzen Embedded V3C48	18361	2802	台式机	amd ryzen embedded v3c48
277	Intel Core i3-9350K @ 4.00GHz	7722	2801	台式机	intel core i3-9350k
278	AMD Ryzen 3 PRO 5450U	11248	2797	笔记本	amd ryzen 3 pro 5450u
279	Intel Core i3-10305 @ 3.80GHz	9108	2797	台式机	intel core i3-10305
280	Intel Xeon W-1270TE @ 2.00GHz	13553	2796	台式机	intel xeon w-1270te
281	Intel Core i7-1185GRE @ 2.80GHz	9142	2793	台式机	intel core i7-1185gre
282	Intel Core i7-7740X @ 4.30GHz	9890	2791	台式机	intel core i7-7740x
283	Intel Core i9-10885H @ 2.40GHz	15488	2786	笔记本	intel core i9-10885h
284	Intel Core i9-10880H @ 2.30GHz	14736	2784	笔记本	intel core i9-10880h
285	Intel Xeon W-10885M @ 2.40GHz	16036	2783	笔记本	intel xeon w-10885m
286	Intel Core i7-9700F @ 3.00GHz	13436	2782	台式机	intel core i7-9700f
287	Intel Xeon W-10855M @ 2.80GHz	12926	2782	笔记本	intel xeon w-10855m
288	Intel Xeon W-1290E @ 3.50GHz	19581	2781	台式机	intel xeon w-1290e
289	Intel Xeon E-2274G @ 4.00GHz	9712	2777	台式机	intel xeon e-2274g
290	AMD EPYC 75F3	68505	2775	台式机	amd epyc 75f3
291	Intel Core i7-10875H @ 2.30GHz	15299	2774	笔记本	intel core i7-10875h
292	AMD Ryzen 5 3600XT	18726	2772	台式机	amd ryzen 5 3600xt
293	Intel Core i7-10700TE @ 2.00GHz	16332	2772	笔记本	intel core i7-10700te
294	Intel Core i5-9600KF @ 3.70GHz	10805	2771	台式机	intel core i5-9600kf
295	Intel Xeon E-2186G @ 3.80GHz	13940	2771	台式机	intel xeon e-2186g
296	Intel Core i5-10500 @ 3.10GHz	12904	2770	台式机	intel core i5-10500
297	Intel Core i7-9700 @ 3.00GHz	13330	2768	台式机	intel core i7-9700
298	Intel Core i7-9700 @ 3.00GHz	13330	2768	台式机	intel core i7 9700
299	Intel Core i5-9600K @ 3.70GHz	10769	2762	台式机	intel core i5-9600k
300	Intel Xeon E-2244G @ 3.80GHz	9794	2762	台式机	intel xeon e-2244g
301	Intel Core i5-9600K @ 3.70GHz	10769	2762	台式机	intel core evo i5-9600k
302	AMD Ryzen 5 5560U	14938	2761	笔记本	amd ryzen 5 5560u
303	Intel Core i7-8700B @ 3.20GHz	12097	2759	笔记本	intel core i7-8700b
304	"Qualcomm Technologies, Inc SM8350AC"	6588	2758	台式机	"qualcomm technologies, inc sm8350ac"
305	AMD Ryzen 9 3900XT	32836	2756	台式机	amd ryzen 9 3900xt
306	AMD Ryzen 7 4980U Microsoft Surface Edition	17469	2752	笔记本	amd ryzen 7 4980u microsoft surface edition
307	Intel Core i7-8700K @ 3.70GHz	13762	2749	台式机	intel core i7-8700k
308	Intel Core i5-9600 @ 3.10GHz	10367	2748	台式机	intel core i5-9600
309	Intel Xeon E-2286M @ 2.40GHz	15178	2748	笔记本	intel xeon e-2286m
310	Intel Core i9-10920X @ 3.50GHz	26429	2746	台式机	intel core i9-10920x
311	Intel Xeon W-2245 @ 3.90GHz	19471	2746	台式机	intel xeon w-2245
312	AMD EPYC 7713P	83439	2742	台式机	amd epyc 7713p
313	Intel Xeon E-2176G @ 3.70GHz	13631	2741	台式机	intel xeon e-2176g
314	Intel Xeon W-2275 @ 3.30GHz	28037	2741	台式机	intel xeon w-2275
315	AMD Ryzen 7 4700G	20216	2739	台式机	amd ryzen 7 4700g
316	AMD EPYC 7543P	67009	2736	台式机	amd epyc 7543p
317	AMD EPYC 7313P	42025	2735	台式机	amd epyc 7313p
318	Intel Xeon W-2255 @ 3.70GHz	22301	2732	台式机	intel xeon w-2255
319	Intel Xeon E-2224G @ 3.50GHz	7621	2730	台式机	intel xeon e-2224g
320	AMD EPYC 7V13	82878	2729	台式机	amd epyc 7v13
321	Intel Core i7-7700K @ 4.20GHz	9658	2728	台式机	intel core i7-7700k
322	Intel Core i7-7700K @ 4.20GHz	9658	2728	台式机	inte core i7 7700k
323	Intel Core i7-7700K @ 4.20GHz	9658	2728	台式机	intel core i7 7700k
324	Intel Xeon E-2124G @ 3.40GHz	7465	2723	台式机	intel xeon e-2124g
325	Intel Core i7-10850H @ 2.70GHz	12022	2721	笔记本	intel core i7-10850h
326	AMD Ryzen 7 3800X	23276	2721	台式机	amd ryzen 7 3800x
327	AMD Ryzen 9 4900H	19238	2721	笔记本	amd ryzen 9 4900h
328	Intel Core i5-1135G7 @ 2.40GHz	10017	2719	笔记本	intel core i5-1135g7
329	AMD EPYC 7713	85521	2718	台式机	amd epyc 7713
330	Intel Core i7-10870H @ 2.20GHz	14842	2718	笔记本	intel core i7-10870h
331	AMD Ryzen 7 PRO 4750G	20586	2712	台式机	amd ryzen 7 pro 4750g
