int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	string	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	LangText	string	string	string	int	float	bool	bool	bool	bool	int	string[]	bool	string	enum.BagJumpType	bool	enum.UIItemIconType	bool	int	int	int[]	float	bool
81	高敏芯片·框架	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，可根据反馈动态调整机甲的框架受力状况。										622	框架强度,最大安装2个,					1		20007	20007			
116	矿物	1	1	1	1	1	1	0	-1			-1			0			0	0		1		1						矿物质											普通,,					1		1	1			
1001	测试道具	1	1	1	1	-1	-1	1	-1			-1									1		1		1				道具简单描述	道具详细描述	道具背景故事	道具补充说明			1					普通,,					1		20010				
1002	测试道具2	1	1	1	1	-1	-1	1	-1			-1									1		1		1															普通,,					1		1				
1003	每日任务道具	1	1	2	1	-1	-1	1	-1			-1									2		1		1				每日任务道具测试用											普通,,					1		20002				
1004	每周任务道具	1	2	2	1	-1	-1	1	-1			-1									2		1		1				每周任务道具测试用											稀有,,					1		20002				
1005	主线任务道具	1	1	2	1	-1	-1	1	-1			-1									2		1		1				主线任务道具测试用											普通,,					1		20002				
1006	BP奖励道具	1	1	2	1	-1	-1	1	-1			-1									2		1		1				主线任务道具测试用											普通,,					1		20002				
1007	舰长升级奖励道具	1	1	2	1	-1	-1	1	-1			-1									3	100	1		1				舰长升级时获得的奖励道具							1				普通,,					1		20002				
100001	路网信用币	1	1	1	1	100	100	1	-1			-1									1		1		1				边境路网运作的通用货币，可通过边境商会（Matrix Caravan）购买各种资源。											普通,,					1		20011				
100002	芯石	1	1	1	1	1	1		-1			-1									1		1		1				高纯度EIC大晶体，价值难以估量。秘密交易常用的硬通货，可以轻易兑换成各种资源。											普通,,					1		20012				
100003	舰长经验	1	1	1	1	1	1		-1			-1											1		1															普通,,					1		20002				
100004	BP经验	1	1	1	1	1	1		-1			-1											1		1															普通,,					1		20002				
100005	芯石原矿	4	1	1	1	9999	99999		-1			-1											1		1				灾后，民间常用芯石原矿作为临时货币。此时原矿也被称为方晶代币，依据其重量和品质换算币值。										111010126	普通,,				1	1		80006	80006			
200001	强化枪管1型	3	1	1	0	1	1000	1	-1			-1									1		1		1				强化枪管初级型号，可略微增加武器伤害。		强化枪管初级型号，可略微增加武器伤害。									普通,通用,配件					1		20045				
200002	强化枪管2型	3	1	1	0	1	1000	1	-1			-1									1		1		1				强化枪管的进阶型号，以牺牲一定锁定距离为代价，换取更多的武器伤害。		强化枪管的进阶型号，以牺牲一定锁定距离为代价，换取更多的武器伤害。									普通,通用,配件					1		20045				
200003	武装物资签收单	1	4	1	1	-1	-1		-1			-1			1						7	63	1		1				使用后获取条目中记载的武装											顶级,,					1		20015				
200004	配件物资签收单	1	4	1	1	-1	-1		-1			-1			1						7	64	1		1				使用后获取条目中记载的配件											顶级,,					1		20015				
200005	追加配件签收单	1	4	1	1	-1	-1		-1			-1			1						7	65	1		1				使用后获取条目中记载的配件											顶级,,					1		20015				
200010	晶体引擎	1	1	0	0	1	9999		-1			-1									7	36	1		1				晶体核心随机箱子	机体破坏后留下的晶体引擎，也许还可以再找到一些可以使用的晶体核心。使用后随机获得1-1000晶体核心。						1				普通,,					1		20016	20016			
200011	实用芯片·机动	6	1	2	0	1	6	1	-1			-1									6		1		1				较为实用的机载芯片，可适当改善机甲的机动性能。						0				623	移动速度,,					1		20017	20017			
200012	强化芯片·机动	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可有效提升机甲的机动性能。										623	移动速度,最大安装3个,					1		20017	20017			
200013	高敏芯片·机动	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，令机甲的机动性能得到充分发挥。										623	移动速度,最大安装2个,					1		20017	20017			
200014	实用芯片·功率	6	1	2	0	1	6	1	-1			-1									6		1		1				较为实用的机载芯片，可适当改善机甲的引擎功率。						0				621	能量上限,,					1		20018	20018			
200015	强化芯片·功率	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可有效提升机甲的引擎功率。										621	能量上限,最大安装3个,					1		20018	20018			
200016	高敏芯片·功率	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，令机甲的引擎功率得到充分发挥。										621	能量上限,最大安装2个,					1		20018	20018			
200017	实用芯片·护盾	6	1	2	0	1	6	1	-1			-1									6		1		1				较为实用的机载芯片，可适当改善机甲的护盾性能。						0				619	护盾上限,,					1		20019	20019			
200018	强化芯片·护盾	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可有效提升机甲的护盾性能。										619	护盾上限,最大安装3个,					1		20019	20019			
200019	高敏芯片·护盾	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，令机甲的护盾性能得到充分发挥。										619	护盾上限,最大安装2个,					1		20019	20019			
200020	实用芯片·供能	6	1	2	0	1	6	1	-1			-1									6		1		1				较为实用的机载芯片，可适当改善机甲引擎的能量供应水平。						0				620	能量恢复速度,,					1		20020	20020			
200021	强化芯片·供能	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可有效提升机甲引擎的能量供应水平。										620	能量恢复速度,最大安装3个,					1		20020	20020			
200022	高敏芯片·供能	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，充分发挥机甲引擎的性能，快速提供能量。										620	能量恢复速度,最大安装2个,					1		20020	20020			
200024	恩赫里亚	1	1	1	1	-1	-1		-1			-1									1		1		1															普通,,					1		20022				
200026	特制芯片·攻击	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，对机甲的攻击性能有显著提升。										618	攻击力,唯一,					1		20006	20006			
200027	解限芯片·攻击	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，全面解放机甲的攻击性能。										618	攻击力,唯一,					1		20006	20006			
200028	特制芯片·框架	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，可全面改善机甲的框架受力状况。										622	框架强度,唯一,					1		20007	20007			
200029	解限芯片·框架	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，能够避免机甲框架陷入疲劳状态。										622	框架强度,唯一,					1		20007	20007			
200030	特制芯片·机动	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，对机甲的机动性能有显著提升。										623	移动速度,唯一,					1		20017	20017			
200031	解限芯片·机动	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，全面解放机甲的机动性能。										623	移动速度,唯一,					1		20017	20017			
200032	特制芯片·功率	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，通过有效调节提升机甲的引擎功率。										621	能量上限,唯一,					1		20018	20018			
200033	解限芯片·功率	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，让机甲的引擎性能全面解放。										621	能量上限,唯一,					1		20018	20018			
200034	特制芯片·护盾	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，对机甲的护盾性能有显著提升。										619	护盾上限,唯一,					1		20019	20019			
200035	解限芯片·护盾	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，全面解放机甲的流体护盾性能。										619	护盾上限,唯一,					1		20019	20019			
200036	特制芯片·供能	6	3	2	0	1	1	1	-1			-1									6		1		1				使用改性技术所制造的芯片，令机甲引擎的能量供应水平维持在高效状态。										620	能量恢复速度,唯一,					1		20020	20020			
200037	解限芯片·供能	6	4	2	0	1	1	1	-1			-1									6		1		1				辅助机甲在限制器解除状态下工作的芯片，令机甲引擎提供相当于机甲解限状态下所需的能量。										620	能量恢复速度,唯一,					1		20020	20020			
200038	漆黑星辰	1	1	1	1	1	1		-1			-1									1		1		1				赛季专属贴花奖励											普通,,					5		20023				
200039	测试赤霄研发配置	7	1	1	1	-1	-1		-1			-1			1						8	61004	1		1											1				普通,,					1		20024				
200040	武装箱·矛隼	1	2	0	0	1	99	1	-1			-1			0			0	0		7	46	1						内封了矛隼所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			869	可通过发射井带出,,					1		101	101			
200041	武装箱·恩赫里亚	1	2	0	0	1	99	1	-1			-1			0			0	0		7	47	1						内封了恩赫里亚所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			870	可通过发射井带出,,					1		102	102			
200042	武装箱·龙渊	1	2	0	0	1	99	1	-1			-1			0			0	0		7	48	1						内封了龙渊所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			871	可通过发射井带出,,					1		103	103			
200043	武装箱·三角龙	1	2	0	0	1	99	1	-1			-1			0			0	0		7	49	1						内封了三角龙所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			872	可通过发射井带出,,					1		104	104			
200044	武装箱·鸣神	1	2	0	0	1	99	1	-1			-1			0			0	0		7	50	1						内封了鸣神所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			873	可通过发射井带出,,					1		105	105			
200045	武装箱·德拉姆	1	2	0	0	1	99	1	-1			-1			0			0	0		7	51	1						内封了德拉姆所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			874	可通过发射井带出,,					1		109	109			
200046	武装箱·赤霄	1	2	0	0	1	99	1	-1			-1			0			0	0		7	52	1						内封了赤霄所适用的武装，可通过发射井带离玛什马克，借助主舰的设备进行验视。			可通过发射井带出玛什马克	111010129	1	1	1			875	可通过发射井带出,,					1		112	112			
200047	芯片扩展插槽	1	1	0	0	1	3	1	-1			-1			1						11	2,1	1		1				扩展芯片插槽	可以扩展机甲插入的强化芯片数量（最多可使用3个）						1			877	芯片扩展,使用上限3个,					1	1	20025	20025			
200048	装置挂接单元	1	1	0	0	1	3	1	-1			-1			1						11	0,1	1		1				携带道具扩展	可以扩展机甲可携带的装置数量（最多可使用4个）						1			863	战术背包扩展,使用上限4个,					1	1	20026	20026			
200049	精英级别箱子	1	2	0	0	1	99	0	-1			-1			1			0	0		7	59	1						矛隼装备包	封装好的矛隼装备包，估计要在安全的环境才能查看里面的装备，可以通过发射井带出玛什马克。		可通过发射井带出玛什马克	111010129	1	1	0			889	稀有,,					1	1	20009	20009			
200050	任务获得删除doodad道具	1	1	1	1	-1	-1		-1			-1			1								1		1											0				普通,,					1	1					
200051	追星者的雄飞	1	1	1	1	-1	-1	1	-1			-1											1		1				记录了矛隼在玛什马克与恩赫里亚作战时的英姿。											普通,,					4		40026				
200052	不斩败者	1	1	1	1	-1	-1	1	-1			-1											1		1				恩赫里亚机师所信奉的贵族荣耀，每次行动都只完成任务而不杀人。											普通,,					2		20027				
200053	徽章_测试	1	1	1	1	-1	-1	1	-1			-1											1		1				BP展示成就徽章用											普通,,					3		20028				
200054	佣金订单：通缉	1	2	0	0	1	1	1	-1			-1			1						12	344	1		1				击杀指定玩家							1			930	稀有,,					1	1	20029	20029			
200055	启动推车玩法	2	1	1	1	9999	9999		-1			-1			0								1		1											0				普通,,					1						
220005	驾驶员升级消耗道具	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	驾驶员升级时需要消耗的核心道具											普通,,					1		20030				
600001	徽章贴花奖励1	1	2	1	1	-1	-1		-1			-1			1						9	2,1	1		1				机甲涂装用的贴花道具											稀有,,	1				1		20031				
600002	徽章贴花奖励2	1	3	1	1	-1	-1		-1			-1			1						9	2,2	1		1				机甲涂装用的贴花道具											高级,,	1				1		20032				
611001	长空徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				长空遨游的鹰隼，熟练驾驶矛隼的证明。											普通,,					1		40002				
611002	骑士徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				紧握长剑的骑士，熟练驾驶恩赫里亚的证明。											普通,,					1		40005				
611003	玄甲徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				身披玄甲的侠客，熟练驾驶龙渊的证明。											普通,,					1		40008				
611004	战车徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				坚守阵地的战车，熟练驾驶三角龙的证明。											普通,,					1		40011				
611005	梓弓徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				镜花水月的幻象，熟练驾驶鸣神的证明。											普通,,					1		40014				
611006	战鼓徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				钢铁巨兽的轰鸣，熟练驾驶德拉姆的证明。											普通,,					1		40017				
611007	烁金徽章	1	1	1	1	-1	-1	1	-1			-1											1		1				两仪平衡的攻守，熟练驾驶赤霄的证明。											普通,,					1		40020				
612001	密斯之眼	1	1	1	1	-1	-1	1	-1			-1											1		1				荒漠中的“密斯之眼”是边境的一道缩影，曾经的繁荣已难以寻觅，围绕着芯石的战火却始终未能熄灭。月虹号接受了来自月面民商同盟的委托，在战争的痕迹上又新添了浓重的一笔。											普通,,					1		40026				
612002	日落尘沙	1	1	1	1	-1	-1	1	-1			-1											1		1				遮天蔽日的沙尘肆虐着这片土地，曾经的定居点早已成为废墟，唯有机械运转的声音在山谷中回响。巨量的芯石资源引来了开采者，却也带来了纷争与战火。											普通,,					1		40028				
612003	边境山脉	1	1	1	1	-1	-1	1	-1			-1											1		1				这里曾经有着辉煌的古文明，这里也因远离繁荣之地被冠以“边境”之名。灾难过后，怀有信念的幸存者们走到了一起，他们跨过沙漠与高山，连接起绿洲、城市以及新的定居点，重新建立起商路，点燃希望。											普通,,					1		40030				
612004	芯石之争	1	1	1	1	-1	-1	1	-1			-1											1		1				突然出现的芯石，是星球的馈赠，还是灾难的源头，是革新的能源，还是意识的延展？											普通,,					1		40032				
612005	复苏纪元	1	1	1	1	-1	-1	1	-1			-1											1		1				灾难逐渐过去，幸存者终于走出掩体城市再度拥抱蓝天，崭新的建筑在废墟上拔地而起。复兴之路虽然艰难，但终能抵达未来。											普通,,					1		40034				
612006	启航时刻	1	1	1	1	-1	-1	1	-1			-1											1		1				灾后一度中断的月球航线已经全面恢复，月海联邦欢迎你的到来，这里是未被灾难摧毁的遥远故土，这里有着过去与未来的“火种”，这里是“宇宙之舟”。											普通,,					1		40036				
613001	新人舰长	1	1	1	1	-1	-1	1	-1			-1											1		1				带领月虹号开启新的征程。											普通,称号,					1		20027				
613002	奇迹之子	1	1	1	1	-1	-1	1	-1			-1											1		1				作为“奇迹之子”，机甲即是机师的延展。											普通,称号,					1		20027				
613003	王牌机师	1	2	1	1	-1	-1	1	-1			-1											1		1				纵横战场无人能挡，无愧“王牌”之名。											稀有,称号,					1		20027				
613004	破局者	1	1	1	1	-1	-1	1	-1			-1											1		1				打破对峙的瞬间。											普通,称号,					1		20027				
613005	孤胆英雄	1	2	1	1	-1	-1	1	-1			-1											1		1				仅我一人也足以克敌制胜。											稀有,称号,					1		20027				
613006	命定克星	1	2	1	1	-1	-1	1	-1			-1											1		1				你注定会败于我手下。											稀有,称号,					1		20027				
613007	幻影对阵师	1	2	1	1	-1	-1	1	-1			-1											1		1				无人机制造的幻象，由我来击碎。											稀有,称号,					1		20027				
613008	钢铁咆哮	1	2	1	1	-1	-1	1	-1			-1											1		1				这一战，弹药充足，火力全开。											稀有,称号,					1		20027				
613009	战术格挡家	1	2	1	1	-1	-1	1	-1			-1											1		1				在一瞬间，化守为攻，扭转战局。											稀有,称号,					1		20027				
613010	格斗家	1	2	1	1	-1	-1	1	-1			-1											1		1				近距离的决斗，钢与铁的碰撞。											稀有,称号,					1		20027				
613011	精英僚机	1	2	1	1	-1	-1	1	-1			-1											1		1				与战友一同摘得荣誉。											稀有,称号,					1		20027				
613012	战场主宰	1	3	1	1	-1	-1	1	-1			-1											1		1				以一敌千，战场由我主宰。											高级,称号,					1		20027				
613013	哀悼者	1	3	1	1	-1	-1	1	-1			-1											1		1				为受到战火牵连的人表示哀悼！											高级,称号,					1		20027				
613014	驱逐王	1	2	1	1	-1	-1	1	-1			-1											1		1				将敌军完全从视野中驱逐。											稀有,称号,					1		20027				
613015	战局终结者	1	2	1	1	-1	-1	1	-1			-1											1		1				这是决胜的时刻。											稀有,称号,					1		20027				
613016	终局胜者	1	2	1	1	-1	-1	1	-1			-1											1		1				僵持的战局，胜利的天平微微倾斜。											稀有,称号,					1		20027				
613017	决胜先锋	1	3	1	1	-1	-1	1	-1			-1											1		1				由我亲手打碎这僵持的战局。											高级,称号,					1		20027				
613018	雷霆之师	1	3	1	1	-1	-1	1	-1			-1											1		1				势如雷霆，让对手无法招架。											高级,称号,					1		20027				
613019	求生大师	1	2	1	1	-1	-1	1	-1			-1											1		1				以最小的代价换取胜利。											稀有,称号,					1		20027				
613020	完美收割者	1	3	1	1	-1	-1	1	-1			-1											1		1				密不透风的攻势，敌方没有任何机会。											高级,称号,					1		20027				
613021	不屈勇者	1	2	1	1	-1	-1	1	-1			-1											1		1				不屈的意志，铸就经典的战役。											稀有,称号,					1		20027				
613022	必胜先手	1	2	1	1	-1	-1	1	-1			-1											1		1				先攻赢取优势，优势助我制胜。											稀有,称号,					1		20027				
613023	无尽怒涛	1	2	1	1	-1	-1	1	-1			-1											1		1				以洪流之力击溃所有敌人。											稀有,称号,					1		20027				
613024	无尽雷霆	1	3	1	1	-1	-1	1	-1			-1											1		1				以雷霆之力击溃所有敌人。											高级,称号,					1		20027				
613025	战争机器	1	3	1	1	-1	-1	1	-1			-1											1		1				击溃敌军，不带一丝怜悯。											高级,称号,					1		20027				
613026	战场清理者	1	2	1	1	-1	-1	1	-1			-1											1		1				列好目标清单，不错过任何一个目标。											稀有,称号,					1		20027				
613027	传奇机师	1	3	1	1	-1	-1	1	-1			-1											1		1				这不是一个数字，而是一段传奇。											高级,称号,					1		20027				
613028	最强僚机	1	2	1	1	-1	-1	1	-1			-1											1		1				荣誉的背后有我的支持。											稀有,称号,					1		20027				
613029	胜利之星	1	3	1	1	-1	-1	1	-1			-1											1		1				只有团队的灵魂角色才能摘此桂冠。											高级,称号,					1		20027				
613030	胜仗专员	1	2	1	1	-1	-1	1	-1			-1											1		1				胜利总是来得接二连三。											稀有,称号,					1		20027				
613031	超级驾驶员	1	2	1	1	-1	-1	1	-1			-1											1		1				努力、阅历与驾驶技术铸就了我。											稀有,称号,					1		20027				
613032	战术执行官	1	1	1	1	-1	-1	1	-1			-1											1		1				完整执行了在密斯之眼的作战要求。											普通,称号,					1		20027				
613033	战地双子星	1	2	1	1	-1	-1	1	-1			-1											1		1				同一个使命，同一种行动。											稀有,称号,					1		20027				
613034	战斗信使	1	2	1	1	-1	-1	1	-1			-1											1		1				经验、实力与运气的结合。											稀有,称号,					1		20027				
613035	拦截者	1	2	1	1	-1	-1	1	-1			-1											1		1				无人能从我这里通过。											稀有,称号,					1		20027				
613036	最终赢家	1	2	1	1	-1	-1	1	-1			-1											1		1				沉稳战斗，走向追逐与竞争的终点线。											稀有,称号,					1		20027				
613037	沙色三连星	1	2	1	1	-1	-1	1	-1			-1											1		1				接招！喷射乱流式机动。											稀有,称号,					1		20027				
613038	天降之师	1	3	1	1	-1	-1	1	-1			-1											1		1				摧枯拉朽一般掌控着战场的主动权。											高级,称号,					1		20027				
613039	征服者	1	2	1	1	-1	-1	1	-1			-1											1		1				我来，我见，我征服。											稀有,称号,					1		20027				
613040	不动之军	1	2	1	1	-1	-1	1	-1			-1											1		1				拒绝反复争夺，力求以稳取胜。											稀有,称号,					1		20027				
613041	战阵之主	1	3	1	1	-1	-1	1	-1			-1											1		1				立足一方，傲视全场。											高级,称号,					1		20027				
613042	绝对掌控者	1	3	1	1	-1	-1	1	-1			-1											1		1				完全的压制，绝对的胜利。											高级,称号,					1		20027				
613043	游击者	1	2	1	1	-1	-1	1	-1			-1											1		1				我会再回来的，一次又一次。											稀有,称号,					1		20027				
613044	拯救者	1	2	1	1	-1	-1	1	-1			-1											1		1				解除最大威胁，作战必获成功。											稀有,称号,					1		20027				
613045	机动战术家	1	2	1	1	-1	-1	1	-1			-1											1		1				眼力、意识、实力与机动性的综合考量。											稀有,称号,					1		20027				
613046	拆卸专家	1	2	1	1	-1	-1	1	-1			-1											1		1				报告小队，警报已经解除！											稀有,称号,					1		20027				
613047	尘屑清除者	1	3	1	1	-1	-1	1	-1			-1											1		1				每一步，都走在对手前面。											高级,称号,					1		20027				
613048	阵地守备者	1	2	1	1	-1	-1	1	-1			-1											1		1				守备阵地，寸土不让。											稀有,称号,					1		20027				
613049	路网掌控者	1	3	1	1	-1	-1	1	-1			-1											1		1				我方全速前进，敌人寸步难行。											高级,称号,					1		20027				
613050	列车长	1	2	1	1	-1	-1	1	-1			-1											1		1				听我指挥，全速前进！											稀有,称号,					1		20027				
613051	苍穹猎手	1	3	1	1	-1	-1	1	-1			-1											1		1				其英姿无愧猛禽之名。											高级,称号,					1		20027				
613052	侦查先锋	1	3	1	1	-1	-1	1	-1			-1											1		1				任何人都逃不过我的视线。											高级,称号,					1		20027				
613053	维修专家	1	2	1	1	-1	-1	1	-1			-1											1		1				有故障就修理，安全第一。											稀有,称号,					1		20027				
613054	神之手	1	3	1	1	-1	-1	1	-1			-1											1		1				扣动一次扳机，获得多份战果。											高级,称号,					1		20027				
613055	外场游击手	1	2	1	1	-1	-1	1	-1			-1											1		1				我不在现场，但我时刻注视着你。											稀有,称号,					1		20027				
613056	魔弹射手	1	3	1	1	-1	-1	1	-1			-1											1		1				百发百中神枪手。											高级,称号,					1		20027				
613057	轻骑兵	1	3	1	1	-1	-1	1	-1			-1											1		1				轻装上阵也能屡屡克敌。											高级,称号,					1		20027				
700001	驾驶员礼包	1	1	1	1	-1	-1		-1			-1			1						7	700001	1		1				包含驾驶员升级相关道具							0				普通,,					1						
700002	武装研发礼包	1	1	1	1	-1	-1		-1			-1			1						7	700002	1		1				包含武装研发相关珍贵道具							0				普通,,					1						
700003	配件研发礼包	1	1	1	1	-1	-1		-1			-1			1						7	700003	1		1				包含配件研发相关珍贵道具											普通,,					1						
700004	抽奖道具礼包	1	1	1	1	-1	-1		-1			-1			1						7	700004	1		1				包含大量抽卡消耗道具											普通,,					1						
