int	string	LangText	int	int	int	int	int	uint[]	uint[]	uint[]	uint[]	uint[]	string[]	string	int	string[]	int	bool	int	int[]	int[]	int[]	int[]	int[]	int[][]	enum.MechaSlotsType	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	bool	enum.CurrencyType	int	int[]	int[]	int	int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	string	int	string	int
100010501	矛隼默认，特武3	“雷鸟”多锁导弹	10001	5	1	0		10120801		10120801						M1_SpecialWeapon3_1										5									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	6200	0	10000	14	5500	0	10000	3	7000	0	10000	9	4500	0	10000	19	2500	0	10000	12	1000	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_WingMissile_1_LOD0.prefab	20040
100010502	矛隼换装1，特武3	“射水鱼”浮雷布设器	10001	5	2	0		348		348						M1_SpecialWeapon3_2										5									1	101	200	910001,910008,910012	5,5,5	600	3	1	6200	0	10000	4	5500	0	10000	19	1000	0	10000													25	1500							Assets/Art/Characters/Players/M1/P_M1_WingMissile_2_LOD0.prefab	20041
100010503	矛隼默认，特武3	“椋鸟”导弹布撒器	10001	5	3	0		10150901		10150901						M1_SpecialWeapon3_3										5									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	6200	0	10000	2	5500	0	10000	3	7000	0	10000	9	4500	0	10000	19	2500	0	10000	12	1000	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_WingMissile_1_LOD0.prefab	20154
100010601		头部1	10001	6		0										M1_Head_1																																																											
100010701		手臂1	10001	7		0										M1_Arm_1																																																											
100010801		身躯1	10001	8		0										M1_Torso_1																																																											
100010901		腿部1	10001	9		0										M1_Leg_1																																																											
100011001		背部1	10001	10		0										M1_Back_1																																																											
100020101	恩赫里亚默认，LB	“银斛”高速近防炮	10002	1	1	0		10220101,10220104		10220101,10220104						M2_MainWeapon_1									1,0|2,0|3,100	1	100021111	100	100021121	100	100021131	100		0	1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	2500	0	10000	4	5000	0	10000	6	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000	25	2000							Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_1_L_LOD0_Complete.prefab	20048
100020102	恩赫里亚换装1，LB	“加姆班泰因” 大剑	10002	1	2	0		1278,1279,1280		1278,1279,1280						M2_MainWeapon_2										1									1	101	200	910005,910012,910015,910016	5,5,5,5	600	5	1	4200	0	10000	26	5000	0	10000	8	7000	0	10000	15	8500	0	10000	21	2500	0	10000					26	4000							Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_2_L_LOD0.prefab	20049
100020103	恩赫里亚默认，LB	“库里奇”霰弹炮	10002	1	3	0		723		10220101,10220104						M2_MainWeapon_3										1									1	101	200	910001,910008,910012	5,5,5	600	5	1	6500	0	10000	6	1000	0	10000	7	2000	0	10000	19	5500	0	10000	12	2000	0	10000					25	1500							Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_3_L_LOD0.prefab	20050
100020104	恩赫里亚换装3，LB	骑士长矛	10002	1	4	0		1652		1652						M2_MainWeapon_4										1									1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000	26	2000							Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_5_L_LOD0.prefab	20189
100020201	恩赫里亚默认，RB	“加姆班泰因” 大剑	10002	2	1	0		10210101,10210107,10210108		10210101,10210107,10210108						M2_SubWeapon_1										2									1	101	200	910005,910012,910015,910016	5,5,5,5	600	5	1	4200	0	10000	26	5000	0	10000	8	7000	0	10000	15	8500	0	10000	21	2500	0	10000					26	4000							Assets/Art/Characters/Players/M2/P_M2_HandWeapon_1_R_LOD0_Complete.prefab	20049
100020202	恩赫里亚换装1，RB	“古尔薇格”模块化护盾	10002	2	1	0		970		970						M2_SubWeapon_2										2									1	101	200	910006,910012,910013,910014	5,5,5,5	600	2	16	4500	0	10000	18	6000	0	10000																	207	2000							Assets/Art/Characters/Players/M2/P_M2_HandWeapon_2_R_LOD0.prefab	20051
100020301	恩赫里亚默认，特武1	“缚狼索”火箭锚爪	10002	3	1	0		10280201,10280202		10280201,10280202						M2_SpecialWeapon1_1										3									1	101	200	910005,910012,910015,910016	5,5,5,5	600	4	1	1500	0	10000	26	5000	0	10000	19	4500	0	10000	15	7500	0	10000									26	500							Assets/Art/Characters/Players/M2/P_M2_ArmHooklock_1_L_LOD0.prefab	20052
100020302	恩赫里亚换装1，特武1	“杜华林”感应脉冲导弹	10002	3	2	0		1008		1008						M2_SpecialWeapon1_2										3									1	101	200	910007,910012,910014,910015	5,5,5,5	600	3	11	3500	0	10000	5	5000	0	10000	19	4500	0	10000																					Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_4_L_LOD0.prefab	20053
100020303	恩赫里亚换装2，特武1	“阿尔贝里希”信标无人机	10002	3	3	0		1492		1492						M2_SpecialWeapon1_3										3									1	101	200	910007,910012,910014,910015	5,5,5,5	600	4	11	3500	0	10000	2	5000	0	10000	3	5500	0	10000	19	4500	0	10000																	Assets/Art/Characters/Players/M2/P_M2_ArmWeapon_4_L_LOD0.prefab	20156
100020401	恩赫里亚默认，特武2	“塔因海姆”幻影系统	10002	4	1	0		10280101,10280103		10280101,10280103						M2_SpecialWeapon2_1										4									1	101	200	910007,910012,910014,910015	5,5,5,5	600	2	19	1900	0	10000	11	4500	0	10000																	27	2500							Assets/Art/Characters/Players/M2/P_M2_Back_1_LOD0_Complete.prefab	20054
100020402	恩赫里亚换装1，特武2	“斯库尔”光学迷彩	10002	4	2	0		68		68						M2_SpecialWeapon2_2										4									1	101	200	910007,910012,910014,910015	5,5,5,5	600	2	19	2500	0	10000	11	5500	0	10000																	27	2000							Assets/Art/Characters/Players/M2/P_M2_Back_2_LOD0_Complete.prefab	20055
100020403	恩赫里亚默认，特武2	解限指令“骑士”	10002	4	1	0		1022		1022						M2_SpecialWeapon2_3										4									1	101	200	910007,910012,910014,910015	5,5,5,5	600	2	19	1900	0	10000	11	4500	0	10000																	27	2500							Assets/Art/Characters/Players/M2/P_M2_Back_1_LOD0_Complete.prefab	20149
100020501	恩赫里亚默认，特武3	“斯莱普尼尔”感应刺针	10002	5	1	0		10280401		10280401						M2_SpecialWeapon3_1										5									1	101	200	910005,910012,910015,910016	5,5,5,5	600	3	1	4500	0	10000	5	6000	0	10000	19	4500	0	10000													25	2000							Assets/Art/Characters/Players/M2/P_M2_BackUAVBase_1_LOD0.prefab	20056
100020502	恩赫里亚换装1，特武1	“斯瓦林”强化型流体护盾	10002	5	2	0		15		15	19					M2_SpecialWeapon3_2										3									1	101	200	910006,910012,910013,910014	5,5,5,5	600	2	16	6000	0	10000	19	4500	0	10000																	27	2500							Assets/Art/Characters/Players/M2/P_M2_ShoulderCloak_2_LOD0.prefab	20057
100020601		头部1	10002	6		0										M2_Head_1																																																											
100020701		手臂1	10002	7		0										M2_Arm_1																																																											
100020801		身躯1	10002	8		0										M2_Torso_1																																																											
100020901		腿部1	10002	9		0										M2_Leg_1																																																											
100021001		背部1	10002	10		0										M2_Back_1																																																											
100030101	龙渊默认，LB	“穿林”能量炮	10003	1	1	0		10310101,10310104,10350101,10350102,10350103,10350104,10350105,10350106,10350107,10350108		10310101,10310104,10350101,10350102,10350103,10350104,10350105,10350106,10350107,10350108						M3_MainWeapon_1									1,0|2,0|3,100	1	100031111	100	100031121	100	100031131	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	2700	0	10000	4	6000	0	10000	6	5500	0	10000	7	7000	0	10000	19	7000	0	10000	12	4500	0	10000	25	3000							Assets/Art/Characters/Players/M3/P_M3_HandWeapon_1_L_LOD0_Complete.prefab	20061
100030102	龙渊默认，LB	“陨火”突击炮	10003	1	2	0		904,978,966,967,968,969,1014,1015,1016,1017		904,978,966,967,968,969,1014,1015,1016,1017						M3_MainWeapon_2										1									1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	3300	0	10000	4	6000	0	10000	6	5500	0	10000	7	3500	0	10000	19	5500	0	10000	12	3000	0	10000	25	2500							Assets/Art/Characters/Players/M3/P_M3_HandWeapon_2_L_LOD0.prefab	20062
100030201	龙渊默认，特武1	“青崖”模块化护盾	10003	2	1	0		10320101		10320101						M3_SubWeapon_1										3									1	101	200	910006,910012,910013,910014	5,5,5,5	600	2	16	4500	0	10000	18	6000	0	10000																	27	3000							Assets/Art/Characters/Players/M3/P_M3_ArmShield_1_LOD0.prefab	20063
100030202	龙渊默认，RB	“陨火”突击炮	10003	2	2	0		905		905						M3_SubWeapon_2										3									1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	3300	0	10000	4	6000	0	10000	6	5500	0	10000	7	3500	0	10000	19	5500	0	10000	12	3000	0	10000	25	2500							Assets/Art/Characters/Players/M3/P_M3_HandWeapon_2_R_LOD0.prefab	20062
100030301	龙渊默认，RB	“藏锋”热能剑	10003	3	1	0		10310106		10310106						M3_SpecialWeapon1_1										2									1	101	200	910005,910012,910015,910016	5,5,5,5	600	5	1	6000	0	10000	26	6500	0	10000	8	3500	0	10000	15	3500	0	10000	21	6500	0	10000					26	4000							Assets/Art/Characters/Players/M3/P_M3_ShoulderSword_1_R_LOD0.prefab	20064
100030302	龙渊换装1，特武1	“翼虎”高机动组件	10003	3	2	0		894		894						M3_SpecialWeapon1_3									1,1	3	200001	1							1	101	200	910010,910012,910013,910015	5,5,5,5	600	2	11	7000	0	10000	19	5500	0	10000																	203	1000							Assets/Art/Characters/Players/M3/P_M3_CalfAccelerator_1_L_LOD0.prefab	20065
100030303	龙渊换装1，特武1	“长缨”火控模块	10003	3	2	0		909		909						M3_SpecialWeapon1_2										3									1	101	200	910007,910012,910014,910015	5,5,5,5	600	2	11	5000	0	10000	19	3500	0	10000																	205	1000							Assets/Art/Characters/Players/M3/P_M3_ShoulderRadar_2_L_LOD0.prefab	20066
100030401	龙渊默认，特武2	“浇石”重型电磁炮	10003	4	1	0		10340101		10340101						M3_SpecialWeapon2_1									1,0|2,0|3,100	4	100034111	100	100034121	100	100034131	100		0	1	101	200	910002,910011,910013,910016	5,5,5,5	600	6	1	5500	0	10000	26	5500	0	10000	4	5500	0	10000	22	7000	0	10000	19	6000	0	10000	12	2500	0	10000	25	2500							Assets/Art/Characters/Players/M3/P_M3_BackGun_1_LOD0.prefab	20067
100030402	龙渊默认，特武2	长距离狙击炮	10003	4	1	0		1374,1397		1374,1397						M3_SpecialWeapon2_2									1,0|2,0|3,100	4	100034111	100	100034121	100	100034131	100		0	1	101	200	910002,910011,910013,910016	5,5,5,5	600	6	1	5500	0	10000	2	5500	0	10000	3	5500	0	10000	7	7000	0	10000	19	6000	0	10000	12	2500	0	10000	25	2500							Assets/Art/Characters/Players/M3/P_M3_BackGun_1_LOD0.prefab	20067
100030403	龙渊特武2，换装2	“铁狼”炮击无人机	10003	4	3	0		1494		1494						M3_SpecialWeapon2_3									1,0|2,0|3,100	4	100034111	100	100034121	100	100034131	100		0	1	101	200	910002,910011,910013,910016	5,5,5,5	600	6	1	5500	0	10000	2	5500	0	10000	3	5500	0	10000	7	7000	0	10000	19	6000	0	10000	12	2500	0	10000	25	2500							Assets/Art/Characters/Players/M3/P_M3_BackUavBase_3_LOD0.prefab	20147
100030501	龙渊默认，特武3	“气海”力场护盾无人机	10003	5	1	0		10380101,10380118		10380101,10380118						M3_SpecialWeapon3_1										5									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	16	4500	0	10000	5	7500	0	10000	19	4500	0	10000	13	3000	0	10000	11	4500	0	10000					27	3000							Assets/Art/Characters/Players/M3/P_M3_ShoulderShield_1_LOD0.prefab	20068
100030502	“百战”空投组件	“百战”空投组件	10003	5	2	0		1704,1763								M3_SpecialWeapon3_2										5									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	16	4500	0	10000	5	7500	0	10000	19	4500	0	10000	13	3000	0	10000	11	4500	0	10000					27	3000							Assets/Art/Characters/Players/M3/P_M3_ArmorBox_1.prefab	30103
100030601		头部1	10003	6		0										M3_Head_1																																																											
100030701		手臂1	10003	7		0										M3_Arm_1																																																											
100030801		身躯1	10003	8		0										M3_Torso_1																																																											
100030901		腿部1	10003	9		0										M3_Leg_1																																																											
100031001		背部1	10003	10		0										M3_Back_1																																																											
100040101	三角龙默认，LB	“咆哮者”转管机炮	10004	1	1	0		14410101,10420111		14410101,10420111						M4_MainWeapon_1									1,0|2,0|3,100	1	100041111	100	100041121	100	100041131	100		0	1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	1500	0	10000	4	5500	0	10000	6	3500	0	10000	7	8100	0	10000	19	6000	0	10000	12	8500	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_HandWeapon_1_L_LOD0_Complete.prefab	20075
100040201	三角龙默认，RB	“清道夫”多弹头导弹	10004	2	1	0		14480101		14480101						M4_SubWeapon_1										2									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	3500	0	10000	4	5500	0	10000	14	5500	0	10000	9	3500	0	10000	19	4100	0	10000	12	3500	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_BackMissile_1_LOD0.prefab	20076
100040202	三角龙换装1，RB	“裁决者”转管机炮	10004	2	2	0		1375		1375						M4_SubWeapon_2										2									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	3500	0	10000	2	5500	0	10000	3	5500	0	10000	9	3500	0	10000	19	4100	0	10000	12	3500	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_BackWeapon_2_LOD0.prefab	20151
100040301	三角龙默认，特武1	“守护者”模块化流体护盾	10004	3	1	0		14420201,10420221		14420201,10420221						M4_SpecialWeapon1_1										3									1	101	200	910006,910012,910013,910014	5,5,5,5	600	2	16	4500	0	10000	18	5500	0	10000																	27	4000							Assets/Art/Characters/Players/M4/P_M4_ShoulderShield_1_L_LOD0.prefab	20077
100040302	三角龙换装1，特武1	“救火队”反射束榴弹	10004	3	2	0		254		254						M4_SpecialWeapon1_2										3									1	101	200	910004,910011,910014,910016	5,5,5,5	600	3	10	4500	0	10000	11	3500	0	10000	19	4000	0	10000													27	3000							Assets/Art/Characters/Players/M4/P_M4_ShoulderShield_2_L_LOD0.prefab	20078
100040401	三角龙默认，特武2	“堡垒”战术变形系统	10004	4	1	0		14480201,10420512,14420102,14420111,14420101,20000001		14480201	10420511					M4_SpecialWeapon2_1										4									1	101	200	910009,910011,910015,910016	5,5,5,5	600	2	19	7500	0	10000	25	5500	0	10000																	25	1000	27	1000					Assets/Art/Characters/Players/M4/P_M4_BackLeg_1_L_LOD0.prefab	20079
100040402	三角龙换装1，特武2	“战车”战术变形系统	10004	4	2	0		40		40	352					M4_SpecialWeapon2_2										4									1	101	200	910009,910011,910015,910016	5,5,5,5	600	2	19	8000	0	10000	25	6000	0	10000																									Assets/Art/Characters/Players/M4/P_M4_BackLeg_2_LOD0.prefab	20080
100040501	三角龙默认，特武3	“打击者”榴弹炮	10004	5	1	0		10420501,10420505		10420501,10420505						M4_SpecialWeapon3_1									1,0|2,0|3,100	5	100045111	100	100045121	100	100045131	100		0	1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	7500	0	10000	6	5500	0	10000	9	5500	0	10000	4	6500	0	10000	19	6500	0	10000	22	6100	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_BackCannon_1_LOD0_Complete.prefab	20081
100040502	三角龙换装1，特武3	“唱诗班”多管火箭发射器	10004	5	2	0		91,96		91,96						M4_SpecialWeapon3_2										5									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	3500	0	10000	4	5000	0	10000	14	5500	0	10000	9	5000	0	10000	19	5000	0	10000	12	4500	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_BackCannon_2_LOD0.prefab	20082
100040503	三角龙换装2，特武3	加特林	10004	5	3	0		1920		1920						M4_SpecialWeapon3_3										5									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	3500	0	10000	2	5500	0	10000	3	5500	0	10000	9	3500	0	10000	19	4100	0	10000	12	3500	0	10000	25	1500							Assets/Art/Characters/Players/M4/P_M4_BackCannon_3_LOD0.prefab	20029
100040601		头部1	10004	6		0										M4_Head_1																																																											
100040701		手臂1	10004	7		0										M4_Arm_1																																																											
100040801		身躯1	10004	8		0										M4_Torso_1																																																											
100040901		腿部1	10004	9		0										M4_Leg_1																																																											
100041001		背部1	10004	10		0										M4_Back_1																																																											
100050101	鸣神默认，LB	零八式 长程射束炮“迅雷”	10005	1	1	0		10510101,10580101,10580103		10510101						M5_MainWeapon_1									1,0|2,0|3,100	1	100051111	100	100051121	100	100051131	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	9000	0	10000	4	9000	0	10000	3	3500	0	10000	7	3500	0	10000	19	5000	0	10000	12	1000	0	10000	25	8000							Assets/Art/Characters/Players/M5/P_M5_ArmWeapon_1_R_LOD0_Complete.prefab	20089
100050102	鸣神换装1，LB	零九式 长程射束炮“电光”	10005	1	2	0		10510201,112,114		10510201						M5_MainWeapon_2									1,0|2,0|3,100	1	100051211	100	100051221	100	100051231	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	8000	0	10000	4	8000	0	10000	3	4500	0	10000	7	3500	0	10000	19	5500	0	10000	12	3000	0	10000	25	7000							Assets/Art/Characters/Players/M5/P_M5_ArmWeapon_2_R_LOD0.prefab	20090
100050201	鸣神默认，RB	零八式 长程射束炮“迅雷”狙击模式	10005	2	1	0				10580101,10580103						M5_SubWeapon_1										2								0							6	1	9000	0	10000	2	9000	0	10000	3	3500	0	10000	7	3500	0	10000	19	3000	0	10000	12	2000	0	10000										20091
100050202	鸣神换装1，RB	零九式 长程射束炮“电光”狙击模式	10005	2	2	0				112,114						M5_SubWeapon_2										2								0	0						6	1	8000	0	10000	2	8000	0	10000	3	4500	0	10000	7	3500	0	10000	19	3500	0	10000	12	3000	0	10000										20090
100050301	鸣神默认，特武1	零二式 干扰无人机“水月”	10005	3	1	0		10520101		10520101						M5_SpecialWeapon1_1										3									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	19	1000	0	10000	10	1500	0	10000	13	4000	0	10000	17	3500	0	10000	11	6500	0	10000					27	2500							Assets/Art/Characters/Players/M5/P_M5_RobotA_1_LOD0.prefab	20092
100050302	鸣神换装1，特武1	零一式 点防御无人机“朝露”	10005	3	2	0		72,610180219,610180220,610180222		72,610180219,610180220,610180222						M5_SpecialWeapon1_2										3									1	101	200	910008,910012,910013,910015	5,5,5,5	600	4	19	3500	0	10000	11	4500	0	10000	5	3000	0	10000	16	6500	0	10000									27	3000							Assets/Art/Characters/Players/M5/P_M5_Robot_2_LOD0.prefab	20093
100050401	鸣神默认，特武2	一六式 机动锚爪“疾风”	10005	4	1	0		10580307,10580311		10580307,10580311	10580315					M5_SpecialWeapon2_1										4									1	101	200	910007,910012,910014,910015	5,5,5,5	600	2	19	3500	0	10000	5	6500	0	10000																	27	1500							Assets/Art/Characters/Players/M5/P_M5_ShoulderHooklock_1_LOD0.prefab	20094
100050402	鸣神特武2，换装1	三二式 机雷锚爪“笼鸟”	10005	4	2	0		692,693,744,1057		10580307,10580311						M5_SpecialWeapon2_2										4									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	5	2500	0	10000	17	8000	0	10000	19	2500	0	10000	10	2500	0	10000	11	5000	0	10000					27	1000							Assets/Art/Characters/Players/M5/P_M5_ShoulderCage_2_LOD0.prefab	20095
100050403	鸣神特武2，换装2	一五式 脉冲机雷“天惊”	10005	4	3	0		988		988						M5_SpecialWeapon2_3										4									1	101	200	910008,910012,910013,910015	5,5,5,5	600	4	5	2500	0	10000	10	2500	0	10000	11	2000	0	10000	19	3500	0	10000									27	500							Assets/Art/Characters/Players/M5/P_M5_ShoulderCage_3_LOD0.prefab	20096
100050501	鸣神默认，特武3	零七式 光学迷彩“镜花”	10005	5	1	0		10580201		10580201						M5_SpecialWeapon3_1										5									1	101	200	910007,910012,910014,910015	5,5,5,5	600	1	19	2500	0	10000	11	7000	0	10000																	27	2500							Assets/Art/Characters/Players/M5/P_M5_BackGhost_1_LOD0.prefab	20097
100050601		头部1	10005	6		0										M5_Head_1																																																											
100050701		手臂1	10005	7		0										M5_Arm_1																																																											
100050801		身躯1	10005	8		0										M5_Torso_1																																																											
100050901		腿部1	10005	9		0										M5_Leg_1																																																											
100051001		背部1	10005	10		0										M5_Back_1																																																											
100070101	卢米纳尔默认，LB	“天光”能量炮	10007	1	1	0		728		728						M7_MainWeapon_1										1											200	910001,910011,910014,910016	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20256
